content	x	y	w	h	
attit	5012	6304	72	88	
an	5042	6174	54	218	
Y.	5016	6012	74	380	
mens.	5046	5726	28	666	
7	5120	6460	36	-24	
'	5124	6194	12	242	
^	5100	5766	34	670	
•	5162	6408	14	-8	
cccisus	5142	6096	72	304	
an	5158	5902	48	498	
■	5184	5822	14	578	
c	5146	5780	46	620	
ilQo	4982	2972	90	92	
ill	4980	1690	74	1374	
*	5066	3230	64	-80	
^Jener'-rmpcrwdt	5086	2118	60	1032	
ftfrJ-S	5066	1702	104	1448	
L	5194	3242	96	-44	
^'"■oH't'an.Chr.CV^	5142	1666	80	1532	
oa<>G»aoo	6748	6430	46	214	
^oaaotf	6876	6460	16	162	
!tes>	8820	9972	70	130	
Coruftan&nop	8824	9424	100	678	
lntin0,	8920	9846	84	268	
cxpulsuS	8960	9392	34	722	
?ep-	8834	6370	68	120	
an	8866	6278	52	212	
J.	8838	6124	82	366	
mens.	8870	5820	34	670	
11'	8826	5706	60	784	
Ul*S'	8938	6370	20	90	
coactxis	8962	6050	56	410	
,annO	8992	5748	-2226	712	
L,	8798	2872	60	0	
^^?rnfiiT7mrnnuinTnfffln^	8780	2138	56	734	
f^yttenus.	8854	2412	108	402	
Imp	8870	2264	112	550	
eraui	8890	1964	20	850	
°	8972	2882	44	-52	
-If-	9022	2678	18	152	
ahclicauit	9004	2232	54	598	
coact	8996	1952	26	878	
^	9114	2892	136	-100	
rs	9210	2744	40	48	
<Q	9206	2654	44	138	
<©	9202	2446	48	346	
