content	x	y	w	h	
18	217	259	34	27	
What	229	304	56	17	
is	299	304	15	17	
a	326	309	12	11	
third?	350	304	63	17	
An	227	329	32	16	
interval	273	328	83	17	
which	370	328	60	17	
involves	445	327	83	19	
three	543	328	54	18	
degrees,	612	328	85	23	
as	712	333	21	12	
C	748	328	14	16	
and	778	327	37	16	
E.	830	328	21	16	
How	229	352	49	17	
many	293	357	58	18	
kinds	366	352	56	17	
of	439	351	22	18	
thirds	477	352	61	17	
are	554	358	33	11	
there?	602	352	64	17	
Three—Major	228	376	155	23	
thirds,	395	375	69	21	
Minor	477	376	64	16	
thirds	554	376	61	17	
and	628	376	38	16	
Diminished	679	375	119	18	
thirds.	811	375	68	17	
What	228	400	59	18	
is	305	401	16	16	
a	339	406	10	10	
minor	367	400	62	17	
third?	447	399	64	18	
A	229	425	17	17	
third	258	425	52	17	
as	321	430	21	11	
small	354	424	55	17	
as	421	430	21	11	
three	453	424	53	18	
half-steps.	518	423	109	23	
What	229	449	59	18	
is	301	449	15	16	
a	330	454	11	11	
Major	354	449	68	21	
third?	436	447	63	18	
A	229	474	17	16	
third	260	473	52	18	
as	326	477	21	12	
great	361	474	54	21	
as	429	477	20	13	
two	462	472	38	17	
steps.	513	472	59	23	
What	229	497	59	18	
is	301	497	15	17	
a	329	502	11	11	
fourth?	354	496	78	17	
An	228	522	32	17	
interval	272	520	82	19	
which	366	520	60	17	
involves	437	519	84	18	
four	534	518	46	18	
degrees,	590	518	87	25	
as	688	525	20	11	
C.	721	519	22	17	
and	755	518	39	17	
F.	806	517	22	18	
How	229	546	49	17	
many	291	551	58	17	
kinds	361	544	56	18	
of	430	544	22	17	
fourths	466	543	76	18	
are	556	549	32	12	
there?	601	544	65	16	
Three—Perfect	226	568	166	19	
fourth,	405	568	73	20	
Diminished	490	566	120	20	
fourth	623	567	66	18	
and	702	567	38	17	
Augmented	753	566	123	23	
fourth.	889	563	72	22	
What	227	594	59	17	
is	303	594	15	16	
a	336	599	11	10	
Diminished	365	592	120	18	
fourth?	504	591	78	18	
A	228	619	17	16	
fourth	260	617	67	17	
as	340	622	21	12	
great	375	618	56	21	
as	444	621	21	12	
one	478	621	35	12	
