content	x	y	w	h	
is	1322	187	47	26	
3-12	1303	220	130	51	
SUIT	496	332	132	59	
TEST	676	329	129	60	
vlv	841	327	97	60	
-	990	325	18	61	
DEPRESS	1048	324	233	58	
Pnl	498	470	106	66	
603	631	468	106	66	
-	787	466	20	67	
EVA	851	465	96	66	
STA	989	463	97	66	
02	1123	461	62	67	
-	1236	460	20	67	
ON	1293	459	62	67	
SYSTEMS	167	913	53	232	
MANAGEMENT	166	653	53	351	
02	505	604	64	68	
FLOW	613	603	115	68	
ind	791	601	90	68	
-	923	600	21	69	
0.2-0.4	989	599	232	67	
LB	1261	596	64	69	
/	1336	596	21	69	
HR	1357	596	77	68	
SUIT	505	678	134	63	
PRESS	677	675	157	62	
ind	892	671	94	63	
Slight	1091	671	199	64	
>	1334	665	22	68	
CABIN	1399	664	161	64	
PRESS	1612	658	160	65	
ind	1825	653	91	66	
SUIT	504	748	132	59	
TEST	684	745	129	60	
vlv	849	743	97	61	
-	998	742	18	61	
OFF	1053	741	97	60	
Pnl	500	812	108	74	
380	649	810	97	74	
-	787	808	22	75	
02	850	807	70	74	
DEMAND	959	805	197	73	
REG	1192	802	97	74	
vlv	1339	800	89	74	
-	1479	798	22	75	
BOTH	1545	797	124	74	
(	1721	795	22	75	
verify	1751	795	203	72	
)	1957	792	22	75	
CMP	509	958	101	63	
HELMET	645	956	205	61	
/	864	953	19	64	
GLOVE	886	952	164	62	
DONNING	1094	949	229	62	
Purge	506	1092	169	71	
vlv	714	1089	104	72	
-	859	1087	22	73	
Pull	920	1086	133	71	
pin	1087	1083	96	72	
,	1207	1082	22	73	
activate	1271	1081	262	69	
purge	1573	1076	168	71	
vlv	1789	1073	94	72	
LO	1923	1071	55	73	
(	620	1160	20	67	
Hand	641	1159	142	66	
to	829	1157	50	67	
CDR	931	1156	87	67	
)	1035	1155	20	67	
CMP	515	1226	100	68	
-	657	1224	21	69	
PGA	725	1223	90	69	
diverter	853	1222	267	66	
vlvs	1171	1218	126	68	
(	1414	1216	21	69	
2	1449	1215	21	69	
)	1477	1214	21	69	
vertical	1543	1213	274	64	
LM	145	1553	56	51	
INTERFACE	146	1443	57	292	
GO	615	1372	61	54	
TO	721	1371	61	54	
CM	824	1369	52	55	
EVA	928	1368	95	54	
CUE	1072	1366	89	55	
CARD	1203	1365	128	54	
Don	516	1506	93	64	
helmet	653	1504	200	63	
,	870	1502	19	65	
lock	932	1501	127	64	
Don	517	1574	89	68	
LEVA	657	1572	134	68	
,	801	1571	21	69	
verify	859	1570	202	67	
alignment	1105	1568	305	66	
Don	516	1638	92	71	
comfort	663	1638	238	71	
gloves	934	1638	202	71	
Don	519	1712	89	68	
one	651	1710	110	68	
glove	799	1708	162	67	
,	978	1705	21	69	
lock	1037	1704	124	68	
Pnl	516	1776	106	66	
603	649	1774	106	67	
-	799	1773	20	67	
EVA	863	1772	96	66	
Sta	1005	1771	88	66	
02	1143	1769	52	67	
-	1247	1768	20	67	
OFF	1311	1768	96	66	
Don	519	1848	89	68	
other	659	1846	159	68	
glove	869	1844	162	67	
,	1048	1842	21	69	
lock	1109	1841	122	68	
CM	163	2256	54	60	
EVA	163	2153	53	92	
Pnl	516	1982	102	70	
603	653	1980	112	71	
-	802	1979	21	71	
EVA	871	1978	93	71	
Sta	1006	1977	93	70	
02	1146	1976	52	70	
-	1256	1975	21	71	
ON	1308	1974	66	71	
,	1392	1973	21	71	
Modulate	1445	1973	272	68	
off	1762	1970	102	70	
/	1868	1969	21	71	
on	1891	1968	66	71	
as	1999	1967	66	71	
required	622	2052	274	71	
to	949	2047	41	75	
pressurize	1032	2046	341	71	
CMP	1426	2041	87	74	
Cuff	528	2122	131	68	
Gage	693	2120	134	68	
-	873	2118	21	69	
3.7	939	2118	89	68	
-	1083	2116	21	69	
4.0	1141	2116	100	68	
psig	1281	2114	134	68	
Pnl	521	2190	105	64	
604	662	2188	93	64	
-	804	2186	19	65	
SUIT	866	2186	130	63	
PRESS	1046	2183	157	64	
ALARM	1250	2181	157	63	
-	1464	2179	19	65	
ON	1520	2178	59	64	
Verify	526	2260	199	70	
EVA	773	2255	95	71	
Warning	894	2253	251	69	
Tone	1191	2249	121	70	
-	1359	2246	22	73	
off	1422	2245	95	72	
7/9/71	2446	2249	63	207	
Pnl	523	2394	102	70	
10	669	2393	54	70	
-	773	2392	21	71	
Adjust	833	2391	203	70	
CMP	1081	2389	92	71	
Master	1204	2388	203	70	
Vol	1452	2386	102	70	
if	1599	2385	54	71	
required	1697	2384	268	69	
Pnl	525	2466	100	68	
351	668	2464	100	69	
-	810	2463	21	69	
EMER	871	2462	132	68	
CAB	1043	2460	90	69	
PRESS	1186	2459	159	68	
sel	1396	2457	89	68	
-	1531	2456	21	69	
OFF	1589	2455	110	68	
DATE	2474	2530	52	134	
EVA	523	2602	100	62	
WARNING	655	2600	237	61	
TONE	942	2597	131	62	
CHECK	1116	2595	160	62	
CMP	529	2742	99	68	
Monitor	657	2741	241	68	
cuff	949	2740	131	68	
gage	1124	2739	124	68	
