content	x	y	w	h	
ele	1042	521	16	15	
OOOOOO	1267	515	214	21	
19	1818	517	22	19	
Islets	2120	518	96	19	
ce	1990	517	4	19	
acets	2396	521	96	15	
che	2872	521	17	19	
sectoceclcelet	2821	520	228	18	
356	2913	527	158	9	
SETS	3163	525	31	17	
JOGO	561	520	72	22	
SLO	771	519	95	22	
al	513	560	11	21	
2011	553	560	76	20	
2010	648	559	93	20	
2011	745	558	68	20	
2010	839	557	99	21	
2011	934	556	91	20	
28	1035	555	43	21	
MMC	883	577	72	11	
O	660	584	5	18	
w	703	581	5	18	
OWO	739	578	107	16	
AWI	1117	561	15	10	
C	1510	539	3	15	
C	1603	539	3	15	
SO	1711	557	4	15	
WWW	1677	557	8	15	
SOWI	1620	557	48	16	
SO	1526	558	4	15	
lli	1561	574	4	12	
O	1711	573	10	12	
2011	1277	555	25	19	
2010	1317	555	91	18	
2011	1409	554	65	19	
with	1269	572	38	17	
WOCOS	1355	572	108	16	
Je	3066	547	94	14	
284	1880	556	47	19	
110	1762	557	13	19	
280	1788	557	53	19	
92	1791	576	24	17	
10	513	578	24	13	
2012	2294	561	69	16	
Ae	960	576	132	18	
OWN	2152	560	31	15	
SOWINSON	2082	558	118	15	
oll	1948	576	2	14	
c	2011	577	2	14	
al	2046	577	2	14	
MR2	2569	561	73	18	
2	2667	561	10	18	
IMP	2589	581	40	11	
011	2823	560	48	18	
e	1530	578	2	11	
SOWO	3008	564	65	15	
co	3267	715	13	17	
MARIA	3218	757	35	19	
CONTAINING	1837	726	863	113	
:	2751	722	35	117	
custo	257	801	39	19	
OWN	274	842	22	18	
“	513	793	55	184	
Original	599	793	605	182	
Sacred	408	1032	424	147	
Harp	908	1021	342	149	
A	1551	854	18	64	
SUPERIOR	1608	854	276	64	
COLLECTION	1908	854	385	65	
OF	2322	854	82	64	
STANDARD	2421	855	309	64	
MELODIES	2767	854	308	65	
OF	1672	924	76	47	
ODES	1776	925	151	46	
,	1937	925	13	46	
ANTHEMS	1975	926	301	47	
,	2270	927	13	46	
AND	2313	926	119	47	
CHURCH	2466	927	250	47	
MUSIC	2754	929	176	46	
AND	1842	987	119	47	
HYMNS	1991	988	233	47	
OF	2249	989	76	46	
HIGH	2353	989	148	46	
REPUTE	2538	989	225	47	
Bliss	3227	899	21	75	
Revised	1674	1097	288	78	
,	1974	1098	22	77	
Corrected	2025	1099	366	78	
and	2426	1100	132	78	
Enlarged	2603	1101	342	79	
e	3231	1212	6	15	
RUDIMENTS	1797	1266	271	47	
,	2076	1266	13	46	
RETAINING	2132	1267	245	46	
ALL	2431	1268	85	47	
VALUABLE	2567	1268	252	47	
STANDARD	1801	1319	249	59	
REGULATIONS	2065	1320	335	59	
,	2401	1321	16	58	
ARRANGED	2427	1321	248	59	
WITH	2693	1322	115	58	
ALL	1796	1390	85	46	
MODERN	1900	1390	200	46	
UP	2135	1391	58	46	
-	2198	1391	13	46	
TO	2223	1391	42	47	
-	2278	1392	13	46	
DATE	2290	1392	120	46	
IMPROVEMENTS	2452	1392	365	47	
Gun	3257	1434	29	20	
The	1606	1622	133	102	
Best	1779	1621	177	102	
and	1985	1620	132	102	
Most	2146	1619	216	102	
Valuable	2399	1618	335	102	
Sacred	2778	1616	246	102	
Tune	1855	1744	197	94	
and	2080	1743	135	94	
Hymn	2256	1743	226	93	
Book	2524	1742	186	93	
FROM	1733	1888	106	47	
THE	1881	1889	85	46	
PENS	1994	1890	109	45	
OF	2128	1890	59	46	
AUTHORS	2210	1890	216	47	
OF	2448	1891	59	47	
UNQUESTIONED	2528	1892	354	47	
REPUTATION	1789	1944	286	42	
AND	2110	1945	87	41	
ABILITY	2230	1946	174	41	
TO	2442	1946	45	41	
BE	2516	1947	52	40	
FOUND	2597	1946	156	42	
IN	2783	1947	27	41	
AMERICA	1851	1992	202	45	
AND	2070	1995	93	42	
MANY	2181	1995	137	44	
OTHER	2337	1996	152	44	
COUNTRIES	2510	1997	256	45	
ALSO	1544	2068	103	58	
,	1660	2068	16	58	
CONTAINING	1691	2068	286	59	
A	2008	2070	16	58	
LARGE	2045	2070	152	58	
LOT	2210	2070	91	59	
OF	2313	2070	65	58	
NEW	2390	2071	92	58	
MUSIC	2515	2072	133	58	
OF	2673	2072	65	58	
FINE	2757	2073	93	57	
QUALITY	2877	2073	195	58	
THE	1676	2153	81	48	
MOST	1774	2154	134	47	
COMPLETE	1938	2155	244	48	
ASSORTMENT	2207	2156	304	49	
AND	2540	2157	87	48	
COLLECTION	2658	2158	289	49	
OF	1905	2211	55	50	
SACRED	1983	2211	171	49	
MUSIC	2183	2210	135	50	
YET	2360	2209	87	50	
PUBLISHED	2468	2209	247	49	
WITH	1542	2291	115	46	
COMPLETE	1693	2291	236	47	
SKETCH	1949	2292	172	46	
OF	2147	2293	59	46	
THE	2231	2294	85	46	
AUTHORS	2332	2293	215	48	
OF	2561	2294	59	46	
TUNES	2645	2295	142	46	
AND	2802	2295	92	46	
HYMNS	2904	2296	178	46	
CONNECTED	1942	2363	283	47	
WITH	2250	2365	124	45	
EACH	2409	2365	113	47	
TUNE	2566	2365	111	47	
COPYRIGHTED	611	2440	216	36	
BY	854	2439	34	37	
J	913	2439	10	37	
.	925	2439	10	37	
S	955	2438	10	37	
.	970	2438	10	37	
JAMES	1000	2438	98	37	
1911	792	2489	127	38	
Sea	3247	2422	25	54	
All	1854	2470	97	85	
Founded	1983	2472	235	86	
on	2252	2475	65	85	
Scripture	2352	2476	274	87	
Text	2645	2480	132	86	
,	2780	2481	25	84	
Quotations	1728	2572	312	78	
and	2066	2574	99	76	
Citations	2196	2573	258	78	
from	2490	2574	108	77	
the	2646	2574	89	78	
Bible	2765	2574	142	78	
ema	3246	2560	33	33	
Set	3256	2693	18	32	
emma	3247	2749	27	30	
Delete	490	2790	60	21	
ce	394	2791	4	20	
bectolselebolo	870	2786	181	22	
beleto	1532	2787	60	19	
celetbeler	1438	2787	137	20	
To	2125	2786	3	17	
cele	2086	2786	29	18	
eletbelets	2338	2784	126	24	
T	2418	2784	6	23	
Tag	2489	2787	18	18	
CTS	2781	2790	17	18	
cereticelet	2730	2790	136	16	
23	899	2809	63	13	
ee	3263	2797	5	15	
celets	1805	2787	57	20	
beleto	1715	2785	57	20	
Tolelets	1938	2781	98	26	
WIN	1766	2824	18	20	
IWW	1706	2824	39	20	
WWW	1907	2823	44	20	
SOOM	1898	2840	34	18	
74	305	2833	29	11	
WC	609	2830	6	16	
WANSOWSW	540	2830	167	17	
WWWWWWWW	828	2826	156	20	
WIN	919	2827	17	18	
AWOW	1119	2828	69	11	
SOWN	1532	2825	53	18	
SO	1437	2825	4	18	
WINDOW	1395	2825	82	19	
DIA	1555	2828	21	9	
6	2347	2824	5	19	
WIN	2316	2824	14	20	
OWN	2247	2825	28	19	
SOWWIN	2177	2825	60	19	
W	2049	2826	5	19	
UHI	708	2846	32	15	
O	736	2846	3	15	
LIN	808	2846	24	15	
C	853	2846	3	15	
A	1216	2845	3	9	
A	2071	2837	3	12	
D	1240	2847	3	9	
WD	1266	2844	58	17	
OR	1324	2844	32	17	
WIWC	1366	2844	67	16	
E	1496	2844	3	15	
CO	1510	2844	31	15	
22EUR	2804	2832	69	14	
00	2067	2844	29	16	
Aluno	2202	2836	43	29	
2011	2637	2831	42	11	
OWN	2535	2828	43	13	
OO	2455	2828	5	12	
CONWIN	2731	2830	60	15	
COCA	2637	2844	39	21	
201	2950	2834	2	14	
ve	2157	2846	31	16	
1	3020	2834	3	14	
101111122	3038	2834	76	15	
2011102	3123	2834	61	16	
0111	3259	2838	26	12	
O	2720	2851	3	11	
IN	2863	2849	18	13	
