content	x	y	w	h	
84	455	347	74	65	
Key	544	482	87	44	
of	647	480	45	38	
A	703	482	32	32	
Major.	753	478	132	46	
MOUNTVILLE.	1742	324	511	61	
7s,	2325	341	89	49	
6s.	2454	325	90	51	
“I/Jok	1607	434	119	32	
not	1739	436	58	25	
thou	1808	433	82	27	
upon	1901	437	90	28	
the	2001	430	59	28	
wine	2071	430	87	26	
when	2170	429	96	27	
it	2279	429	26	26	
is	2315	428	28	27	
red.”—Prov.	2355	424	233	32	
23:	2600	425	49	26	
31	2667	423	35	28	
i.	596	776	27	25	
Throughout	652	757	242	56	
our	907	771	63	26	
wide-spread	984	758	240	45	
union,	1238	758	125	41	
What	1382	756	117	38	
cheering	1511	753	171	44	
scenes	1695	762	126	26	
arise,	1835	751	107	43	
The	1958	750	80	36	
temp’rance	2050	746	222	46	
flag	2284	746	74	43	
is	2373	746	30	35	
waving	2413	743	123	44	
Where’er	2548	740	193	42	
we	2752	751	56	25	
turn	2818	741	84	35	
our	2913	749	66	25	
eyes,	2991	747	101	34	
Bright	3109	736	129	45	
in	3249	737	36	33	
the	3294	736	63	35	
South	3374	731	117	43	
’tis	3507	733	60	37	
floating,	3580	731	167	46	
The	3761	730	81	40	
North	644	1600	115	41	
has	777	1601	70	36	
raised	864	1600	117	36	
it	999	1600	27	35	
high,	1101	1597	105	44	
The	1330	1594	80	36	
East	1428	1593	91	36	
and	1535	1592	72	35	
West	1625	1590	109	38	
unfurl	1751	1589	121	37	
it,	1891	1589	38	43	
The	1965	1588	79	35	
East	2062	1587	91	36	
and	2170	1585	72	36	
West	2261	1585	110	40	
unfurl	2388	1583	121	37	
it,	2528	1584	39	42	
.	2605	1622	2	3	
The	2648	1581	78	36	
East	2745	1579	91	38	
and	2853	1578	71	36	
West	2946	1577	106	39	
unfurl	3070	1575	120	38	
it,	3209	1577	39	42	
In	3270	1575	38	35	
gio	3343	1574	58	45	
-	3420	1594	11	6	
ry	3449	1585	43	33	
to	3537	1576	38	34	
the	3622	1574	62	37	
skies.	3703	1574	112	35	
2	470	2229	21	25	
Ten	517	2216	78	37	
thousand	611	2214	185	38	
times	813	2213	107	39	
ten	937	2214	60	34	
thousand	1015	2209	186	38	
Around	562	2269	149	36	
her	728	2268	64	35	
banner	810	2265	138	38	
stand,	967	2264	121	44	
Resolved	518	2323	180	39	
to	714	2327	37	32	
drive	771	2321	101	37	
intemperance	890	2320	264	44	
From	562	2380	107	36	
our	694	2389	64	26	
beloved	784	2375	152	39	
land.	961	2374	96	37	
From	518	2436	106	38	
every	643	2445	112	34	
rolling	772	2432	127	46	
river,	918	2432	107	43	
From	564	2491	107	36	
city,	689	2491	87	43	
town,	793	2491	116	42	
and	927	2488	71	35	
plain—	1017	2486	144	44	
The	522	2547	79	38	
cry	618	2558	63	32	
is	698	2546	30	36	
heard,	746	2543	124	42	
Deliver	892	2541	148	37	
From	566	2603	105	36	
rum’s	689	2601	116	36	
destructive	822	2598	221	39	
reign.	1069	2597	112	44	
3	1340	2217	16	31	
What	1384	2205	118	37	
though	1518	2203	141	44	
the	1677	2202	63	36	
gifts	1758	2202	87	44	
of	1864	2202	36	34	
Heaven	1919	2200	151	36	
On	1429	2260	63	36	
every	1511	2269	111	35	
hand	1638	2258	99	36	
abound,	1755	2257	157	44	
And	1385	2316	82	36	
God’s	1486	2313	121	38	
abundant	1625	2313	188	37	
blessing	1831	2312	161	44	
Our	1429	2371	83	36	
dear-loved	1529	2369	206	37	
nation	1754	2368	123	37	
crown—	1896	2377	167	26	
In	1388	2428	37	34	
vain,	1442	2426	103	44	
with	1562	2426	89	36	
lavished	1671	2424	165	36	
kindness,	1855	2423	192	42	
Do	1432	2483	58	35	
all	1508	2482	46	36	
these	1570	2481	106	36	
blessings	1692	2479	184	45	
come,	1892	2489	115	33	
While	1381	2539	123	38	
drunkards,in	1519	2536	259	46	
their	1792	2536	94	36	
blindness,	1897	2534	201	43	
Bow	1433	2594	89	37	
down,	1540	2593	121	44	
the	1679	2592	63	36	
slaves	1760	2591	123	37	
of	1900	2591	37	35	
rum.	1954	2600	92	26	
4	2205	2208	22	31	
Shall	2252	2195	102	39	
we,	2371	2207	69	33	
whose	2460	2196	126	36	
souls	2604	2195	100	35	
are	2721	2205	60	25	
lighted	2798	2192	137	46	
With	2297	2251	105	41	
ardour	2420	2252	131	35	
from	2566	2252	93	34	
on	2677	2261	46	25	
high,—	2742	2249	152	44	
Shall	2253	2306	100	40	
we,	2371	2319	67	31	
to	2457	2311	37	33	
men	2514	2318	80	24	
benighted,	2615	2304	209	47	
The	2298	2363	78	37	
helping	2393	2363	147	45	
hand	2559	2362	99	36	
deny;	2675	2362	116	44	
No,	2254	2419	68	43	
no	2342	2430	45	24	
!	2403	2420	7	34	
our	2437	2428	65	27	
tongues,	2519	2421	171	40	
unceasing,	2710	2415	211	44	
Deliverance	2298	2473	238	39	
shall	2554	2472	93	37	
proclaim,	2665	2470	184	47	
Till	2290	2531	69	37	
not	2377	2534	64	34	
one	2456	2540	69	27	
erring	2542	2529	119	44	
mortal	2679	2529	126	37	
Shall	2297	2586	101	39	
hear	2416	2586	88	37	
the	2520	2586	63	35	
drunkard’s	2601	2582	222	39	
shame.	2841	2582	141	37	
5	3074	2199	17	34	
Waft,	3119	2189	120	46	
waft,	3256	2191	105	42	
ye	3378	2199	46	36	
winds,	3439	2188	135	46	
the	3590	2186	65	38	
story,	3671	2188	118	42	
And	3164	2245	81	36	
you,	3262	2256	86	34	
ye	3367	2256	45	34	
waters,	3428	2246	148	44	
roll,	3593	2241	78	47	
Till,	3119	2300	83	46	
like	3221	2302	72	36	
a	3310	2314	22	23	
sea	3348	2310	64	29	
of	3429	2301	37	35	
glory,	3487	2299	117	45	
It	3166	2357	30	37	
spreads	3212	2357	148	44	
from	3377	2354	92	40	
pole	3490	2354	78	45	
to	3585	2357	37	34	
pole,	3640	2353	92	46	
Till	3122	2412	67	39	
the	3206	2414	63	36	
last	3286	2413	71	36	
wretched	3373	2410	182	41	
drunkard	3574	2408	185	38	
His	3168	2468	67	37	
liberty	3251	2468	130	44	
shall	3398	2466	94	39	
gain,	3509	2465	101	45	
And	3130	2524	80	38	
temperance,	3228	2524	239	46	
all	3487	2522	45	35	
victorious,	3549	2521	210	45	
Throughout	3170	2576	244	48	
the	3429	2577	62	39	
nation	3510	2578	122	37	
reign.	3651	2576	112	46	
This	566	2716	90	34	
is	682	2714	30	36	
one	738	2723	67	26	
of	830	2712	36	36	
the	890	2711	62	36	
early	978	2710	98	44	
tunes	1099	2710	109	35	
on	1233	2718	46	25	
the	1304	2709	63	35	
subject	1392	2706	142	45	
of	1559	2706	38	35	
temperance,	1619	2706	240	44	
but	1879	2703	65	36	
the	1966	2703	64	37	
author	2055	2701	130	38	
of	2209	2700	38	38	
the	2270	2700	63	41	
music	2359	2698	114	39	
and	2496	2697	73	38	
words	2593	2697	121	37	
is	2739	2698	31	35	
unknown,	2796	2695	204	42	
