content	x	y	w	h	
Sacreb	356	1029	484	173	
COPYRIGHTED	608	2449	223	22	
BY	852	2448	36	22	
J.	907	2448	24	21	
1911	795	2493	111	28	
s.	950	2448	25	21	
JAMES	994	2447	101	22	
CONTAINING.	1850	743	914	76	
A	1538	863	42	43	
SUPERIOR	1599	865	286	43	
COLLECTION	1904	866	398	43	
OF	2323	868	79	42	
STANDARD	2422	869	321	42	
MELODIES	2773	870	302	44	
OF	1669	927	78	42	
ODES,	1776	928	166	49	
ANTHEMS,	1971	927	307	50	
AND	2306	929	131	41	
CHURCH	2467	930	260	42	
MUSIC	2758	931	189	44	
AND	1839	989	130	42	
HYMNS	1999	985	220	47	
OF	2246	990	79	42	
HIGH	2354	991	154	42	
REPUTE	2540	992	228	43	
Covvccteö	2017	1107	377	54	
RUDIMENTS,	1797	1269	286	44	
RETAINING	2129	1269	254	42	
ALL	2427	1271	93	41	
VALUABLE	2563	1271	256	43	
STANDARD	1794	1330	259	42	
REGULATIONS,	2067	1331	340	45	
ARRANGED	2419	1332	261	42	
WITH	2693	1333	125	42	
ALL	1794	1392	93	41	
MODERN	1906	1392	198	42	
UP-TO-DATE	2134	1392	283	43	
IMPROVEMENTS	2445	1393	374	45	
anb	1983	1634	127	70	
*lost	2143	1632	209	83	
Valuable	2380	1631	351	76	
Satreb	2766	1634	262	77	
tune	1847	1745	201	75	
anb	2082	1747	127	70	
FROM	1727	1898	124	31	
THE	1874	1898	94	31	
PENS	1992	1898	109	31	
OF	2126	1898	59	31	
AUTHORS	2206	1898	215	32	
OF	2446	1900	58	31	
UNQUESTIONED	2528	1901	362	33	
REPUTATION	1789	1949	291	33	
AND	2104	1949	98	31	
ABILITY	2225	1950	186	31	
TO	2433	1951	64	31	
BE	2517	1952	56	31	
FOUND	2595	1952	161	32	
IN	2781	1954	46	31	
AMERICA	1847	2000	205	31	
AND	2067	2000	99	31	
MANY	2183	2001	137	31	
OTHER	2336	2002	155	31	
COUNTRIES	2508	2003	259	33	
ALSO,	1540	2084	126	36	
CONTAINING	1684	2083	295	32	
A	1996	2083	29	31	
LARGE	2042	2083	147	31	
LOT	2206	2084	91	31	
OF	2313	2084	59	31	
NEW	2387	2085	110	31	
MUSIC	2514	2086	142	32	
OF	2672	2087	60	31	
FINE	2747	2088	101	31	
QUALITY	2871	2089	204	33	
THE	1664	2167	91	30	
MOST	1781	2167	126	31	
COMPLETE	1932	2167	249	31	
ASSORTMENT	2203	2167	306	32	
AND	2531	2169	98	31	
COLLECTION	2654	2168	296	34	
OF	1902	2218	59	31	
SACRED	1983	2217	177	32	
MUSIC	2185	2218	142	32	
YET	2350	2219	92	31	
PUBLISHED	2466	2220	253	32	
WITH	1541	2301	126	31	
COMPLETE	1685	2301	249	31	
SKETCH	1946	2301	181	31	
OF	2146	2301	59	31	
THE	2218	2301	95	31	
AUTHORS	2328	2302	215	32	
OF	2560	2304	60	30	
TUNES	2634	2304	148	32	
AND	2797	2306	99	30	
HYMNS	2910	2307	163	32	
CONNECTED	1941	2372	289	31	
WITH	2253	2373	127	31	
EACH	2407	2374	123	31	
TUNE	2553	2375	125	31	
All	1844	2488	98	57	
3fmtithPh	1967	2488	256	56	
Srriptitrr	2345	2489	276	69	
Crxt,	2643	2492	145	63	
(Qltntattüitg	1714	2582	320	65	
Citattmt5	2186	2582	264	55	
frnnt	2479	2584	136	55	
thr	2642	2586	84	54	
