content	x	y	w	h	
LITICA	-16	252	161	101	
EMBLEMATA	856	326	647	87	
palmis	20	349	85	93	
,	113	361	12	83	
te	5	428	16	84	
thura	45	434	73	94	
ferac	137	448	54	91	
leniar	14	516	75	96	
iras	104	530	38	91	
,	158	540	10	86	
nulta	-3	598	57	101	
roget	85	615	68	103	
.	159	629	8	91	
EMBLEMA	663	493	630	108	
LXXI	1363	493	324	108	
.	1669	493	31	108	
Oculi	1037	681	154	95	
alieni	1206	681	177	95	
.	1382	681	27	95	
atque	-15	690	81	86	
libellos	75	696	107	87	
,	184	702	18	81	
Inde	-3	783	67	76	
fui	74	783	44	76	
.	108	783	22	76	
Ebera	-8	862	84	86	
ducas	90	867	75	85	
Ea	-15	955	47	85	
vocent	49	955	101	85	
.	140	955	24	85	
curaffe	16	1038	98	91	
falutem	132	1042	101	91	
rapie	-17	1121	86	96	
in	89	1121	19	96	
de	116	1121	35	96	
mali	165	1121	61	96	
megoria	-12	1213	118	93	
Reges	120	1213	91	93	
W	1638	1302	15	15	
-	-16	1310	25	67	
vocat	14	1307	92	63	
.	96	1302	25	67	
Win	1736	1340	33	37	
WOTE	1768	1503	13	95	
liciter	3	1388	93	72	
armis	105	1388	75	72	
:	181	1388	20	72	
ta	6	1463	31	85	
dabunt	49	1463	114	85	
.	148	1463	24	85	
medere	-12	1551	106	84	
vindo	108	1551	96	84	
e	-8	1637	28	96	
bella	26	1637	72	96	
gerent	106	1637	104	96	
Gm	1821	1609	11	46	
LXXI	1727	1961	223	65	
.	1955	1961	18	65	
Miferum	729	2102	222	120	
eft	1011	2106	65	118	
alieno	1105	2108	170	120	
cernere	1277	2111	229	120	
vultu	1525	2114	158	119	
.	1701	2117	32	118	
Hei	379	2289	137	95	
mihi	528	2289	171	95	
,	684	2289	27	95	
quàm	711	2289	147	95	
miſerum	887	2289	254	95	
eft	1190	2289	82	95	
alieno	1287	2289	186	95	
cernere	1499	2289	219	95	
vuleu	1739	2289	150	95	
Omnia	470	2379	214	83	
!	696	2381	22	81	
conſpicias	729	2381	310	83	
,	1040	2383	22	81	
quæ	1076	2383	114	82	
potes	1216	2384	168	82	
,	1385	2385	22	81	
ipfe	1418	2386	102	81	
tuo	1538	2386	103	82	
.	1647	2387	22	81	
Aſpice	382	2455	208	88	
,	590	2455	25	88	
quàm	624	2455	146	88	
falebras	816	2455	238	88	
offendat	1092	2455	263	88	
cæcus	1380	2455	182	88	
ad	1587	2455	65	88	
omnes	1677	2455	200	88	
,	1877	2455	25	88	
Sie	474	2539	72	84	
licer	572	2539	133	84	
aſſuetæ	723	2539	206	84	
dux	961	2539	121	84	
canis	1101	2539	150	84	
antè	1282	2539	141	84	
viæ	1463	2539	85	84	
.	1568	2539	24	84	
Infelix	384	2627	205	79	
Princeps	606	2625	284	79	
,	886	2623	24	81	
qui	933	2623	105	80	
dum	1037	2622	116	80	
fibi	1203	2621	106	80	
credita	1330	2620	202	80	
ſpectae	1551	2618	214	80	
Omnia	479	2703	213	85	
,	694	2703	24	85	
niloculis	727	2703	274	85	
excutit	1019	2703	223	85	
ipſe	1276	2703	91	85	
ſuis	1402	2703	107	85	
!	1512	2703	24	85	
Ducitur	385	2784	258	95	
ah	660	2784	71	95	
,	739	2784	27	95	
non	766	2784	109	95	
quò	900	2784	122	95	
regni	1039	2784	172	95	
tutela	1212	2784	177	95	
faluſque	1417	2784	244	95	
,	1661	2784	27	95	
Sed	478	2865	91	92	
quò	616	2865	119	92	
ductoris	765	2865	260	92	
commoda	1048	2865	307	92	
fpefque	1374	2865	222	92	
trahunt	1636	2865	230	92	
.	1866	2865	26	92	
Vtque	393	2950	194	83	
fic	606	2950	59	83	
ille	694	2950	88	83	
fagax	803	2950	159	83	
,	969	2950	24	83	
&	1003	2950	24	83	
gnarus	1076	2950	208	83	
qua	1303	2950	107	83	
fit	1428	2950	60	83	
eundum	1505	2950	213	83	
,	1751	2950	24	83	
Qui	478	3027	127	88	
præit	621	3027	157	88	
,	785	3027	25	88	
&	821	3027	25	88	
tuto	894	3027	112	88	
tramite	1047	3027	220	88	
ſignat	1294	3027	175	88	
iter	1492	3027	103	88	
:	1595	3027	25	88	
Non	388	3109	133	93	
tamen	562	3109	183	93	
efficiet	788	3109	203	93	
,	993	3109	27	93	
ne	1035	3109	85	93	
peccent	1133	3109	237	93	
plurima	1399	3109	246	93	
Reges	1655	3109	182	93	
.	1839	3109	27	93	
Sæpe	483	3192	152	94	
labat	660	3192	159	94	
,	808	3192	27	94	
catuli	848	3192	178	94	
qui	1046	3192	95	94	
præeuncis	1165	3192	289	94	
eget	1487	3192	134	94	
.	1624	3192	27	94	
Quid	1876	3261	177	108	
EMBLA	195	3192	103	94	
