content	x	y	w	h	
7/1/71	3247	376	34	101	
ABNORMAL	3208	699	56	261	
VEHICLE	3209	1013	57	230	
DYNAMICS	3210	1288	57	264	
RAPID	3210	2879	57	165	
IMU	3210	3097	57	90	
REALIGN	3210	3229	57	238	
Use	3144	68	69	98	
ACA	3144	211	68	97	
Hardover	3145	351	69	273	
to	3145	679	69	38	
Stabilize	3146	771	69	301	
Vehicle	3146	1121	68	231	
1	3144	2340	68	19	
)	3144	2367	68	19	
AGS	3144	2431	69	97	
INERTIAL	3143	2579	68	258	
FDAI	3142	2887	68	131	
TO	3142	3059	68	63	
0	3142	3168	68	19	
°	3142	3202	68	19	
,	3141	3243	68	19	
0	3141	3306	68	19	
°	3141	3340	68	19	
,	3141	3381	68	19	
0	3141	3443	68	19	
°	3141	3478	68	19	
If	3072	85	69	51	
RCS	3072	181	69	88	
TCA	3072	321	69	97	
LT	3072	451	69	76	
ON	3072	559	69	63	
-	3072	640	69	20	
CB	3072	663	69	63	
QUAD	3072	778	69	124	
TCA	3072	943	69	99	
-	3072	1088	69	20	
OPEN	3072	1147	69	133	
2	3074	2338	65	17	
)	3074	2365	65	17	
141	3073	2434	66	100	
N20E	3072	2569	66	137	
,	3071	2722	65	17	
E	3070	2788	65	17	
,	3070	2827	65	17	
E	3069	2893	65	17	
,	3069	2926	65	17	
E	3069	2998	65	17	
,	3068	3038	65	17	
GUID	3006	68	75	145	
CONT	3006	255	75	126	
-	3006	393	75	21	
AGS	3006	421	75	96	
,	3006	537	75	21	
MODE	3006	593	75	138	
CONT	3006	771	75	137	
-	3006	917	75	21	
ATT	3006	945	75	97	
HOLD	3006	1083	75	137	
,	3006	1229	75	21	
ATT	3005	1284	75	107	
CONT	3005	1433	75	126	
(	3005	1571	75	21	
3	3005	1609	75	21	
)	3005	1639	75	21	
-MODE	3005	1675	75	165	
CONT	3005	1881	75	134	
,	3005	2027	75	21	
3	3010	2340	71	20	
)	3010	2369	71	20	
V40	3010	2439	71	91	
N20	3010	2573	71	91	
0	3010	2722	71	20	
°	3010	2751	71	20	
,	3010	2787	71	20	
0	3010	2859	71	20	
°	3010	2888	71	20	
,	3010	2931	71	20	
0	3009	2996	71	20	
°	3009	3032	71	20	
ON	3009	3091	71	65	
AGS	3009	3192	71	101	
FDAI	3009	3336	71	137	
,	3009	3485	71	20	
ENTR	3009	3547	71	125	
V77E	2934	140	71	136	
(	2933	329	70	20	
PGNS	2933	355	71	127	
ONLY	2931	524	70	137	
)	2931	663	70	20	
WAIT	2934	2423	63	149	
11	2931	2611	61	68	
SEC	2930	2720	62	86	
.	2929	2824	61	16	
If	2864	81	69	63	
Not	2864	179	69	99	
Stabilized	2864	319	68	334	
-	2865	674	69	20	
CB	2865	707	69	51	
(	2865	779	69	20	
11	2865	812	69	51	
)	2865	877	69	20	
STAB	2865	943	68	133	
/	2866	1087	69	20	
CONT	2866	1120	69	134	
:	2866	1262	69	20	
ATT	2866	1293	69	97	
DIR	2866	1433	69	88	
CONT	2866	1575	68	134	
-	2867	1717	69	20	
OPEN	2867	1731	69	143	
4	2866	2329	71	20	
)	2866	2365	71	20	
P51E	2866	2432	71	137	
,	2866	2581	71	20	
PRO	2866	2641	71	101	
,	2866	2754	71	20	
POOE	2866	2814	70	140	
If	2796	83	73	55	
Not	2796	176	73	105	
Stabilized	2796	318	73	338	
-	2796	669	73	21	
TTCA	2796	703	73	132	
/	2796	840	73	21	
TRANSL	2796	883	72	187	
(	2797	1091	73	21	
2	2797	1121	73	21	
)	2797	1151	73	21	
-	2797	1225	73	21	
DISABLE	2797	1295	73	228	
,	2797	1543	73	21	
DEADBAND	2797	1607	73	275	
-	2797	1920	73	21	
MAX	2797	1983	73	104	
5	2796	2331	69	20	
)	2796	2366	69	20	
V25NOZE	2796	2429	70	241	
,	2795	2688	69	20	
77E	2795	2750	69	98	
,	2795	2863	69	20	
10000E	2795	2932	70	196	
,	2794	3136	69	20	
JE	2794	3202	69	63	
If	2723	83	70	65	
Not	2723	176	70	110	
Stabilized	2724	315	70	343	
-	2724	670	70	20	
ACA	2724	704	70	99	
PROP	2725	836	70	135	
(	2725	982	70	20	
2	2725	1018	70	20	
)	2725	1053	70	20	
-	2725	1124	70	20	
DISABLE	2725	1191	69	238	
6	2730	2327	77	22	
)	2730	2365	77	22	
PERFORM	2730	2441	77	233	
P52	2730	2715	77	99	
,	2730	2825	77	22	
OPTION	2730	2884	77	198	
3	2730	3137	77	22	
(	2730	3208	77	22	
AUTO	2730	3237	77	128	
OPTICS	2731	3409	77	198	
ARE	2731	3648	77	99	
GOOD	2731	3779	77	140	
)	2731	3933	77	22	
NOTE	2658	2432	71	137	
:	2658	2581	71	20	
FOR	2658	2677	71	101	
TEMPORARY	2658	2823	71	301	
LOSS	2658	3159	71	137	
OF	2658	3339	71	65	
CDR'S	2658	3440	71	164	
BUS	2658	3651	71	103	
,	2658	3762	71	20	
UPDATE	2658	3822	71	209	
LGC	2587	2432	62	98	
CLOCK	2587	2568	62	166	
WITH	2586	2773	62	138	
V55	2586	2955	62	97	
TO	2586	3103	62	45	
COMPLETE	2586	3201	62	264	
RECOVERY	2585	3507	62	276	
.	2585	3797	62	17	
LIGHT	2476	170	54	172	
MEANING	2478	763	54	240	
IMMEDIATE	2484	1811	69	307	
ACTION	2484	2151	69	205	
(	2484	2410	69	20	
POSSIBLE	2484	2433	69	277	
OPERATIONAL	2484	2739	68	378	
IMPLICATIONS	2485	3171	69	403	
)	2485	3579	69	20	
DC	2374	81	58	53	
BUS	2373	179	58	97	
CDR	2372	629	55	95	
BUS	2373	769	55	95	
FAILURE	2373	909	54	238	
(	2380	1578	73	21	
DPS	2380	1607	73	94	
GOES	2380	1736	72	132	
TO	2381	1914	73	67	
100	2381	2029	73	83	
%	2381	2126	73	21	
And	2381	2189	72	104	
GDA	2382	2328	73	105	
LOCKED	2382	2470	72	210	
)	2383	2681	73	21	
BATTERY	2306	73	57	242	
GUIDE	2308	1559	69	175	
CONT	2308	1777	69	136	
-	2308	1956	69	20	
AGS	2308	2015	69	108	
,	2308	2131	69	20	
SUIT	2308	2199	69	131	
FAN	2308	2365	69	97	
-	2308	2509	69	20	
2	2308	2579	69	20	
,	2308	2614	69	20	
CDR	2308	2679	69	99	
AUDIO	2308	2813	69	165	
CONT	2308	3032	68	124	
-	2309	3202	69	20	
BU	2309	3267	69	63	
,	2309	3349	69	20	
C	2224	77	53	15	
&	2224	114	53	15	
W	2224	147	53	15	
LTS	2225	209	53	99	
:	2225	319	53	15	
SUIT	2230	565	59	124	
/	2230	704	59	17	
FAN	2230	728	59	93	
HEATER	2231	936	52	201	
S	2242	1567	73	21	
-	2242	1611	73	21	
BD	2242	1636	73	67	
-	2242	1707	73	21	
XMTR	2242	1743	73	127	
/	2241	1885	73	21	
RCVR	2241	1910	73	132	
&	2241	2093	73	21	
PWR	2241	2157	73	105	
AMPL	2241	2297	73	132	
-	2240	2477	73	21	
PRIM	2240	2543	73	127	
,	2240	2684	73	21	
INV	2240	2760	73	82	
2	2240	2891	73	21	
,	2240	2929	73	21	
Activate	2240	2990	74	272	
Sec	2239	3311	73	94	
Glycol	2239	3432	73	220	
Loop	2238	3678	73	132	
ASC	2154	144	53	92	
PRESS	2155	281	53	172	
INVERTER	2160	565	55	261	
ECS	2164	940	53	98	
TO	2168	1567	67	61	
START	2168	1667	66	171	
DPS	2169	1879	67	95	
:	2169	1992	67	19	
DES	2169	2090	67	96	
ENG	2170	2226	67	96	
CMD	2170	2372	67	95	
OVRD	2170	2495	67	139	
-	2171	2686	67	19	
ON	2171	2743	67	61	
CES	2086	143	55	101	
AC	2087	283	55	61	
RNDZ	2090	559	57	132	
RDR	2090	733	57	87	
S	2092	947	55	16	
-	2093	981	55	16	
BD	2094	1009	55	60	
RCVR	2096	1115	54	128	
.	2098	1247	55	16	
TO	2100	1569	71	53	
STOP	2100	1666	71	139	
DPS	2101	1851	71	91	
:	2101	1954	71	20	
DES	2101	2086	71	101	
ENG	2101	2233	71	80	
CMD	2101	2370	70	90	
OVRD	2102	2503	71	130	
-	2102	2681	71	20	
OFF	2102	2741	71	101	
,	2102	2861	71	20	
ENG	2102	2923	70	92	
ARM	2103	3058	71	92	
-	2103	3207	71	20	
OFF	2103	3267	71	101	
TAGS	2016	131	57	116	
PRE	2020	555	52	99	
AMPS	2021	698	52	136	
TO	2027	1568	60	56	
START	2028	1670	60	169	
APS	2028	1877	59	95	
:	2029	1993	60	17	
AGS	2029	2088	59	102	
Auto	2030	2227	60	129	
ON	2031	2396	60	67	
UNSTAGED	2028	3711	59	279	
M45	2034	4094	69	98	
)	2033	4203	69	20	
LGC	1944	140	53	100	
TO	1962	1574	69	51	
STOP	1962	1667	69	135	
APS	1962	1845	68	97	
:	1963	1961	69	20	
AGS	1963	2083	69	108	
Auto	1963	2223	69	130	
OFF	1963	2397	68	99	
,	1964	2514	69	20	
ABORT	1964	2573	69	167	
STAGE	1964	2783	69	171	
-	1964	2997	69	20	
Reset	1964	3053	68	181	
STAGED	1960	3719	57	194	
(	1966	4071	71	19	
M47	1965	4095	71	100	
)	1964	4208	71	19	
LMP	1814	626	56	95	
BUS	1815	768	56	96	
FAILURE	1815	913	55	224	
DC	1812	75	56	62	
BUS	1814	181	55	100	
BATTERY	1744	75	55	240	
C	1675	83	57	16	
&	1675	118	57	16	
W	1675	147	57	16	
LTS	1675	216	56	98	
:	1676	327	57	16	
CES	1674	417	53	109	
AC	1676	562	53	61	
RCS	1680	734	56	99	
TCA	1682	875	56	99	
CES	1606	417	50	104	
DC	1608	566	50	57	
INVERTER	1610	742	52	260	
AGS	1536	419	53	101	
PRE	1539	736	52	98	
AMPS	1540	878	52	129	
Either	1470	620	68	210	
He	1469	869	67	72	
PRESS	1469	973	67	169	
<	1469	1153	67	19	
2775psi	1468	1183	67	248	
(	1404	637	75	21	
Before	1404	659	75	209	
Staging	1404	903	74	247	
)	1405	1153	75	21	
ASC	1468	72	58	98	
PRESS	1467	215	58	158	
DES	1190	75	58	88	
REG	1189	206	57	98	
220	1192	626	71	101	
psi	1192	760	71	111	
>	1192	876	71	20	
He	1192	898	72	78	
Press	1191	1008	71	173	
>	1191	1186	71	20	
260psi	1191	1220	71	206	
(	1820	1573	70	20	
DPS	1820	1608	70	90	
GOES	1821	1730	70	144	
TO	1821	1919	69	53	
100	1822	2027	70	90	
%	1822	2120	70	20	
And	1823	2187	70	109	
GDA	1823	2329	70	99	
LOCKED	1824	2474	70	196	
)	1825	2681	70	20	
GUID	1751	1559	70	143	
CONT	1751	1747	70	124	
-	1751	1918	70	20	
PGNS	1751	1987	70	127	
,	1751	2131	70	20	
SUIT	1751	2191	69	136	
FAN	1752	2372	70	89	
-	1752	2508	70	20	
1	1752	2579	70	20	
,	1752	2614	70	20	
LMP	1752	2674	70	99	
AUDIO	1752	2819	70	158	
CONT	1752	3032	70	124	
-	1752	3203	70	20	
BU	1752	3272	70	53	
,	1752	3345	70	20	
PWR	1680	1562	67	105	
AMPL	1680	1705	67	129	
-	1680	1885	67	19	
SEC	1680	1949	66	95	
,	1681	2062	67	19	
INV	1681	2128	67	97	
1	1681	2266	67	19	
TO	1610	1571	73	54	
START	1611	1672	73	171	
APS	1612	1869	73	104	
/	1612	1987	73	21	
DPS	1612	2023	73	94	
:	1613	2127	73	21	
ENG	1613	2229	73	93	
START	1614	2369	73	168	
-	1615	2579	73	21	
PUSH	1615	2640	73	124	
UNSTAGED	1618	3712	71	272	
(	1618	4077	71	20	
M45	1618	4094	71	101	
)	1618	4207	71	20	
TO	1540	1571	61	56	
STOP	1540	1667	61	129	
APS	1540	1845	61	95	
/	1540	1954	61	17	
DPS	1540	1977	62	96	
:	1539	2096	61	17	
ENG	1540	2219	61	96	
STOP	1540	2364	61	133	
-	1540	2542	61	17	
PUSH	1540	2609	61	122	
STAGED	1539	3712	56	207	
M47	1542	4091	60	104	
)	1543	4202	61	17	
IF	1470	1569	65	61	
APS	1470	1670	65	92	
NOT	1470	1808	64	102	
PRESSURIZED	1471	1946	65	376	
-	1471	2366	65	18	
CONSULT	1471	2434	64	240	
MSEN	1472	2711	65	133	
,	1472	2862	65	18	
GO	1472	2916	65	60	
TO	1472	3032	65	47	
MAL	1472	3119	64	101	
PROC	1473	3266	65	134	
APS	1473	3435	65	103	
-	1473	3555	65	18	
1	1473	3588	65	18	
IF	1400	1571	59	54	
APS	1400	1673	59	92	
PRESSURIZED	1400	1808	58	377	
-	1401	2234	59	17	
CLOSE	1401	2297	59	164	
ASC	1401	2507	59	92	
He	1401	2634	59	76	
REG	1401	2744	58	93	
1	1402	2894	59	17	
&	1402	2960	59	17	
