content	x	y	w	h	
EVENT	646	5401	63	214	
GET	643	4812	69	123	
TIG	644	4630	69	97	
APOLLO	566	1591	80	239	
15	571	1282	77	56	
INERTIAL	653	1580	82	306	
AND	654	1217	82	114	
RELATIVE	655	1046	82	314	
PLOTS	656	668	82	201	
DATE	544	209	170	92	
5/14/71	768	212	309	95	
CSM	809	2405	74	115	
AT	811	2238	74	77	
CSI	812	2114	74	124	
INS	889	5387	72	114	
CSM	889	3972	76	130	
AT	895	3796	73	63	
ΤΡΙ	899	3677	74	110	
CSI	923	2662	75	109	
1.	822	1589	75	67	
10	824	1459	74	53	
<	826	1338	73	20	
PDI	827	1261	75	124	
1	828	1078	73	20	
<	829	996	74	20	
15	830	919	74	66	
2.	905	1595	78	72	
13	906	1458	78	56	
<	907	1336	78	21	
PDI	908	1264	79	123	
2	910	1084	78	21	
<	910	1004	78	21	
15	911	923	78	72	
3	1000	1588	63	18	
.	1000	1549	63	17	
T2-2	1001	1393	74	167	
LOS	1008	3910	105	95	
ΤΡΙ	1076	3476	67	117	
AOS	1104	2170	36	137	
CSI	1139	5399	66	128	
TPF	1140	2447	64	109	
PC	1385	5402	68	85	
CDH	1628	5404	65	115	
LS	1615	3071	66	79	
PC	1674	2536	66	57	
CSM	1757	3962	67	113	
AT	1760	3792	67	72	
INS	1762	3653	68	114	
INS	1745	3186	65	107	
ΤΡΙ	1882	5410	67	123	
CDH	1962	3143	69	122	
S	1946	2112	60	6	
CSM	2203	3640	75	103	
AT	2210	3485	73	88	
CDH	2216	3360	76	114	
E	2384	3014	58	16	
1	2374	2708	81	19	
Rev.	2378	2591	86	153	
Catch	2386	2387	87	190	
Up	2394	2146	84	86	
DISPLACEMENT	3187	3934	495	94	
(	2633	3929	25	89	
NM	2599	3928	65	89	
)	2507	3928	25	89	
VERTICAL	3180	3996	312	71	
LM	2699	3667	68	73	
ABOVE	2700	3542	70	197	
100	2798	3443	72	115	
CSI	3006	3631	72	131	
HORIZONTAL	2989	2908	87	414	
DISPLACEMENT	2990	2442	87	505	
(	2992	1884	85	24	
NM	2992	1862	85	77	
)	2992	1763	85	24	
ELM	3289	4366	70	98	
AHEADI	3290	4218	72	251	
100	3360	4046	74	108	
200	3370	2536	67	107	
#	3368	2064	73	20	
300	3368	2030	74	101	
LM	3296	1469	67	73	
BEHIND	3298	1342	67	252	
400	3371	1529	68	105	
INS	3472	1819	67	115	
CSI	3506	2524	68	135	
100	3359	2964	85	110	
TPI	3425	3400	76	127	
ECDH	3467	3204	70	152	
EINS	3504	3496	69	152	
2+	3616	3590	59	79	
1	3624	3359	68	19	
+	3624	3325	68	19	
10	3624	3276	68	48	
2	3618	3038	74	20	
+	3618	2993	74	21	
151	3618	2950	73	107	
13	3697	3589	69	72	
100	3791	3454	71	111	
M	3871	3607	66	17	
BELOW	3872	3526	69	197	
7	3601	1952	78	21	
+	3602	1913	79	21	
15	3602	1868	79	58	
+	3602	1794	79	21	
T2-2	3604	1764	79	161	
PAGE	3794	223	178	76	
31	4034	223	70	76	
PREPARED	4156	5488	82	334	
BY	4163	5100	76	68	
FPRD	4164	4978	79	155	
/	4168	4804	76	21	
OPS	4168	4775	78	120	
MAY	4248	5491	75	128	
3	4250	5303	74	20	
,	4250	5267	74	20	
1971	4250	5179	75	148	
PAGE	4235	902	73	151	
A	4235	690	73	20	
-	4236	644	73	20	
4	4236	608	73	20	
HAM	4508	3920	75	123	
CHART	4511	3732	76	214	
LM	4466	3212	81	88	
BAILOUT	4468	3073	81	308	
REL	4469	2712	80	115	
TRAJECTORY	4561	3116	77	438	
A	4510	2251	72	20	
-	4511	2200	72	20	
6	4511	2162	72	19	
A	4525	1460	70	18	
-	4525	1404	70	19	
4	4526	1369	70	19	
