content	x	y	w	h	
ലലലല	3103	1896	71	135	
ലലലലല	3204	2015	85	158	
ലലലല	3324	2168	60	142	
ലലലല	3416	2298	58	143	
TA	982	3484	280	200	
COUR	2076	1018	156	49	
DES	2276	1022	119	49	
LOGES	2446	1027	204	49	
VATICAN	590	1062	237	38	
PL	2280	1107	53	40	
.	2349	1110	6	38	
34	2381	1110	54	40	
AN	3912	1103	60	39	
1516	4035	1104	86	40	
VANOVNOJNOJOWOZNAWNOWNPANDAN	2071	1366	698	37	
OVOMOVOVOVA	1689	1569	20	238	
ORIGOsoooooo	1764	1741	1208	79	
SUD	3013	1835	38	15	
SOK	3111	1814	44	97	
SISSE	3100	1851	94	136	
SIS	1466	2101	50	30	
DAN	3009	2539	42	14	
PE	853	2622	85	52	
1099	951	2628	35	48	
)	1010	2631	10	47	
The	3312	2662	16	22	
Lo	1118	2723	114	35	
uit	662	2744	36	39	
,	702	2740	15	42	
hogy	767	2732	75	35	
az	882	2719	37	39	
23	3510	3274	27	75	
w	3831	3295	24	6	
اور	846	3549	8	29	
PRI	3690	3499	81	154	
SALAAAAAA	3852	3635	105	149	
1000000	1272	3675	231	206	
LRUNINNI	1372	3822	158	110	
LLLLLERE	1271	3923	105	84	
OCCOCO	633	3989	20	71	
80000000	3440	3923	51	91	
50000000	4074	3888	25	102	
usulise	2311	4158	34	197	
COOCOOOOOOOOOO000.000	3689	4074	96	168	
DODIOQ00	3260	4130	72	126	
MY	3548	4782	10	82	
Moc	3207	5134	32	19	
Echelle	2212	5207	72	24	
de	2293	5205	21	26	
0.072	2328	5204	52	26	
Milli	2386	5203	42	25	
p	2435	5205	7	23	
Met	2464	5204	34	21	
Sulpis	3988	5885	69	29	
50	4075	5886	17	29	
Raffaello	601	5941	115	29	
Sanzio	739	5944	85	29	
Pellegrino	602	5968	132	40	
da	752	5970	27	38	
Modena	792	5970	94	39	
Cio	602	6001	37	28	
da	657	6001	24	28	
Udine	696	6001	70	29	
DECORATION	1291	6093	262	33	
DE	1586	6086	52	39	
LA	1670	6084	52	39	
6ME	1757	6083	62	38	
VOUTE	1851	6080	131	37	
DE	2019	6078	44	37	
LA	2101	6076	50	38	
GALERIE	2184	6075	174	35	
DU	2397	6071	57	37	
2	2494	6069	10	38	
MEETAGE	2513	6069	195	34	
DITE	2740	6064	91	36	
DES	2867	6063	71	36	
LOGES	2976	6060	124	36	
DE	3134	6057	47	38	
RAPHAEL	3215	6056	193	33	
Imp	3765	6138	36	28	
Lamoureux	3816	6138	127	27	
.	3945	6136	5	29	
Paris	3960	6135	57	28	
205	4048	6135	46	27	
,	4104	6134	1	28	
VOA	602	6172	61	26	
MOREL	672	6173	107	28	
et	793	6176	23	26	
Editeurs	872	6177	109	28	
