content	x	y	w	h	
ME	704	1142	628	550	
Gio	1578	1861	42	30	
Brun	1644	1858	65	29	
Soul	1727	1854	61	30	
AVANSI	335	1913	219	63	
DEL	586	1905	105	66	
CASTELLO	731	1901	291	59	
DELL	1055	1890	133	65	
'	1185	1886	11	69	
ACQUA	1217	1885	197	63	
CLAUDIA	1446	1878	240	61	
W.	1717	1869	53	67	
79	1778	1867	29	69	
.	1808	1866	12	69	
nomio	1394	2202	69	2	
ABONDAO	1280	2270	102	16	
40003	1379	2231	86	9	
.	1458	2201	13	19	
ŅAww	1257	2297	47	4	
whico92	1318	2275	89	12	
AJO2	1407	2242	59	1	
PORTATA	1278	2346	142	20	
AMORTAR	1269	2370	103	9	
OTO	1379	2338	47	8	
2	1427	2324	11	19	
/	1440	2321	24	15	
GATEDY	1321	2397	94	1	
ADATO	1227	2443	63	7	
OTIVO	1363	2411	62	7	
OIT	1430	2395	39	13	
Wien	1331	2502	60	4	
SUSNYA	1375	2524	89	10	
2	553	2670	18	35	
RY	1098	2830	22	14	
ohn	1097	2850	24	14	
Emu	1095	2872	21	17	
IEEJRSEL	1814	2742	45	240	
Gio	1589	3043	39	30	
:	1637	3041	9	31	
Brun	1653	3041	68	28	
Soul	1733	3038	63	28	
MONUMENTO	341	3107	339	46	
DEL	706	3093	97	55	
CONDOTTO	835	3088	287	48	
DELL	1145	3076	123	54	
'	1263	3072	11	59	
ACQUA	1289	3071	180	52	
CLAUDIA	1507	3062	212	51	
N	1747	3053	19	58	
:	1782	3051	19	58	
80	1800	3051	45	57	
.	1836	3049	12	59	
