content	x	y	w	h	
RUDIMENTS	1005	455	429	53	
OF	1491	458	91	51	
MUSIC,	1645	458	236	57	
Continued.	2014	460	331	54	
9	3209	473	30	50	
COMPOUND.	765	526	278	42	
12.	223	595	47	32	
How	294	594	87	32	
is	408	596	29	31	
the	464	594	58	33	
first	549	594	77	33	
mode	651	597	99	31	
of	775	598	41	30	
compound	841	600	191	39	
time	1061	602	80	29	
known?	1168	601	142	31	
5.	1838	544	29	30	
What	1890	544	105	32	
is	2022	545	28	29	
a	2080	554	19	20	
Diatonic	2127	545	160	31	
scale?	2315	547	108	31	
The	1839	596	70	30	
different	1941	596	164	31	
graduations	2135	597	223	41	
of	2391	600	38	30	
tones	2459	602	97	29	
or	2587	610	39	21	
gamut	2657	604	119	38	
arranged	2808	604	168	43	
in	3008	605	35	30	
a	3074	615	20	20	
preparee	3124	615	166	32	
By	221	639	52	39	
the	299	638	57	30	
figures	383	638	126	40	
six	536	639	51	31	
over	614	648	80	21	
four.	723	640	89	30	
It	863	641	33	31	
has	925	642	59	30	
a	1014	652	19	20	
dotted	1062	643	120	30	
semi-breve	1211	644	200	33	
for	1440	646	56	30	
measure	1523	656	154	20	
order	1755	647	101	31	
in	1879	648	35	31	
conformity	1937	648	207	42	
to	2167	652	36	28	
some	2226	659	91	22	
particular	2339	651	190	41	
key.	2552	653	75	41	
notes,	138	684	105	33	
rendered	266	680	165	30	
in	454	681	35	29	
two	510	683	67	28	
and	601	681	67	30	
one-half	692	682	155	30	
seconds,	869	684	152	36	
two	1043	687	66	28	
beats	1132	685	97	32	
to	1252	689	36	28	
the	1311	687	57	31	
measure,	1391	697	165	27	
down	1581	688	97	31	
6.	1837	702	28	29	
What	1887	700	106	31	
is	2016	701	28	30	
a	2071	711	20	20	
Diatonic	2115	701	161	32	
Major	2302	703	119	41	
scale?	2446	704	108	31	
and	137	723	66	30	
up,	226	733	58	31	
accented	308	722	160	31	
on	491	732	44	20	
first	558	723	76	31	
and	658	724	67	30	
fourth	750	724	119	32	
parts	891	729	99	37	
of	1014	727	39	29	
the	1075	727	56	32	
measure.	1154	738	164	22	
It	1365	730	34	31	
is	1421	731	28	32	
also	1474	730	71	32	
called	1569	731	108	30	
six-four	136	766	148	30	
time.	308	766	91	29	
(Example	450	765	185	40	
13.	220	809	47	29	
How	292	807	88	30	
about	407	807	105	31	
the	537	808	57	30	
second	618	809	126	29	
mode	770	810	99	31	
of:	895	811	52	30	
compound	959	814	192	38	
time?	1178	814	101	30	
It	218	849	35	32	
is	274	851	28	30	
known	326	850	122	30	
by	471	850	45	40	
six	539	851	50	30	
over	613	860	80	21	
eight.	715	852	103	40	
One	842	854	73	32	
and	939	854	68	29	
one-half	1031	855	154	30	
seconds	1209	857	140	30	
to	1374	861	34	27	
the	1433	859	56	31	
measure,	1513	869	165	26	
two	135	897	65	27	
beats,	231	893	107	36	
down	370	892	99	30	
and	503	893	66	30	
up,	604	904	58	31	
accented	696	896	160	29	
on	889	905	44	21	
the	965	897	56	31	
first	1055	898	75	30	
and	1164	900	66	29	
fourth	1266	900	118	30	
parts	1415	904	99	37	
of	1546	902	40	29	
the	1619	905	56	27	
measure.	134	945	162	21	
It	339	935	33	31	
has	392	936	59	30	
