content	x	y	w	h	
W	665	437	27	104	
.	722	439	27	104	
P	769	440	27	104	
.	800	441	27	104	
Reeves	837	442	304	113	
ENLARGED	711	697	256	41	
EDITION	1015	697	188	41	
Soul	519	819	335	194	
Echoes	987	819	457	194	
A	778	1066	17	62	
COLLECTION	826	1066	272	62	
OF	1126	1066	57	62	
.	432	1182	29	99	
.	462	1182	29	99	
Songs	490	1182	169	99	
For	720	1182	99	99	
Religious	856	1182	287	99	
Meetings	1174	1182	295	99	
.	1472	1182	29	99	
.	1492	1182	29	99	
NO	742	1356	236	143	
.	991	1356	42	143	
2	1122	1356	42	143	
EDITED	637	1702	172	58	
AND	830	1702	100	58	
COMPILED	965	1702	227	58	
BY	1228	1702	76	58	
Bishop	438	1829	193	67	
J	669	1826	21	69	
.	690	1826	21	69	
S	732	1826	21	69	
.	760	1826	21	69	
Caldwell	798	1825	245	67	
,	1047	1823	21	69	
D	1096	1822	21	69	
.	1138	1822	21	69	
D	1187	1821	21	69	
.	1229	1821	21	69	
Bishop	561	1923	197	81	
L	779	1923	23	81	
.	812	1923	23	81	
J	861	1923	23	81	
.	885	1923	23	81	
Coppin	941	1923	188	81	
,	1140	1923	23	81	
D	1189	1923	23	81	
.	1230	1923	23	81	
D	1271	1923	23	81	
.	1312	1923	23	81	
Bishop	622	2028	192	70	
G	839	2025	21	72	
.	890	2025	21	72	
L	919	2025	21	72	
.	956	2024	21	72	
Blackwell	990	2024	275	70	
,	1263	2021	21	72	
D	1314	2021	21	72	
.	1350	2021	21	72	
D	1387	2020	21	72	
.	1430	2020	21	72	
Rev	729	2123	121	77	
.	857	2123	22	77	
C	904	2123	22	77	
.	935	2123	22	77	
A	990	2123	22	77	
.	1029	2123	22	77	
Tindley	1078	2123	216	77	
,	1302	2123	22	77	
D	1356	2123	22	77	
.	1395	2123	22	77	
D	1450	2123	22	77	
Soul	578	2362	104	62	
Echoes	715	2362	149	62	
Publishing	915	2362	236	62	
Company	1175	2362	203	62	
420	690	2433	78	61	
South	796	2433	116	61	
Eleventh	975	2433	182	61	
St	1186	2433	56	61	
.	1240	2433	17	61	
Philadelphia	789	2508	257	56	
,	1054	2508	16	56	
Pa	1105	2508	62	56	
.	1168	2508	16	56	
Copyright	865	2705	134	42	
,	995	2705	11	42	
1909	1017	2705	55	42	
Soul	555	2755	73	50	
Echoes	658	2755	110	50	
Publishing	790	2755	174	50	
Company	989	2755	149	50	
For	459	2835	58	50	
Sale	532	2835	65	50	
at	612	2835	38	50	
A	665	2835	14	50	
.	686	2835	14	50	
M	716	2835	14	50	
.	747	2835	14	50	
E	778	2835	14	50	
.	798	2835	14	50	
Z	829	2835	14	50	
.	849	2835	14	50	
Publication	882	2835	181	50	
House	1091	2835	105	50	
,	1196	2835	14	50	
Charlotte	1224	2835	148	50	
,	1374	2835	14	50	
N	1405	2835	14	50	
.	1425	2835	14	50	
C	1456	2835	14	50	
.	1476	2835	14	50	
