content	x	y	w	h	
7/1/71	650	246	130	51	
EVA	2543	243	112	68	
3	2727	244	18	67	
SUIT	3635	408	164	91	
ISOL	3861	408	140	91	
(	4065	408	27	91	
Both	4101	408	162	91	
)	4277	408	27	91	
-	4360	408	27	91	
SUIT	4442	408	149	91	
FLOW	4640	408	154	91	
CABIN	277	519	187	65	
DEPRESS	524	521	286	63	
POST	2491	524	159	65	
EVA	2700	526	118	63	
3	2884	527	17	63	
PLSS	3634	494	166	93	
PUMP	3855	494	156	93	
-	4062	494	27	93	
OFF	4145	494	119	93	
(	4325	494	27	93	
Left	4347	494	165	93	
)	4531	494	27	93	
PLSS	3651	575	141	89	
FAN	3849	576	112	88	
-	4024	576	24	88	
OFF	4098	578	115	88	
(	4283	578	24	87	
Left	4299	578	177	89	
)	4488	579	25	88	
Confirm	278	685	269	85	
Go	602	685	77	85	
For	742	685	109	85	
Depress	903	685	283	85	
From	1240	685	141	85	
Hou	1445	685	109	85	
CB	283	764	62	84	
(	372	765	22	85	
16	404	765	63	85	
)	493	765	23	85	
ECS	518	765	121	86	
:	656	767	23	84	
CABIN	785	765	181	83	
REPRESS	1030	767	282	83	
-	1368	768	22	82	
Open	1444	770	155	81	
PLSS	1955	765	161	68	
PRIM	2170	764	149	69	
H20	2373	762	118	69	
-	2549	761	19	69	
CLOSE	2629	761	194	67	
Disconnect	3638	749	416	92	
PLSS	4104	749	149	92	
H20	4302	749	117	92	
From	4482	749	140	92	
PGA	4685	749	115	92	
CABIN	274	857	192	69	
REPRESS	532	856	278	69	
VLV	874	856	108	67	
-	1039	854	18	69	
CLOSE	1119	854	192	69	
Fwd	1961	848	112	69	
Hatch	2122	847	205	69	
-	2385	845	19	69	
Close	2460	845	196	69	
&	2717	844	19	69	
Lock	2795	844	154	69	
Connect	3646	838	279	70	
LM	3981	838	60	70	
H20	4095	838	118	70	
TO	4274	838	67	70	
PGA	4396	838	119	70	
Dump	1956	932	158	87	
Valves	2167	922	250	89	
(	2475	924	25	87	
Both	2509	924	144	89	
)	2681	925	25	88	
-	2769	925	24	88	
AUTO	2838	931	157	69	
Ovhd	278	1025	165	81	
Or	490	1023	77	83	
Fwd	621	1023	106	82	
Dump	778	1022	164	83	
Vlv	997	1020	108	83	
-	1163	1020	24	83	
OPEN	1246	1020	150	82	
Then	1457	1019	146	83	
AUTO	1656	1017	162	83	
@	1873	1017	24	83	
PLSS	3646	998	157	88	
Mode	3847	998	162	88	
(	4067	998	25	88	
Both	4098	998	157	88	
)	4271	998	25	88	
-	4360	998	26	88	
0	4440	998	25	88	
3.5	373	1097	103	91	
Psia	539	1097	149	91	
(	752	1097	27	91	
Verify	788	1097	232	91	
Cuff	1083	1097	162	91	
Gage	1281	1097	167	91	
Does	1498	1097	149	91	
NOTE	1953	1092	163	87	
:	2132	1092	25	87	
PLSS	2218	1092	156	87	
02	2429	1092	63	87	
&	2553	1092	25	87	
PRESS	2627	1092	202	87	
Flags	2881	1092	201	87	
May	3126	1092	124	87	
Come	3305	1092	157	87	
AUDIO	3646	1088	189	69	
CB	3897	1091	60	68	
-	4029	1094	18	66	
Open	4101	1091	147	82	
Not	355	1189	132	85	
Drop	527	1189	163	83	
Below	742	1188	186	84	
4.6	991	1186	110	85	
Psig	1156	1186	160	85	
)	1334	1186	23	85	
On	2038	1183	79	86	
During	2170	1182	245	84	
Repress	2459	1179	289	84	
.	2761	1176	26	85	
If	2890	1176	64	84	
PLSS	3001	1174	156	84	
02	3212	1172	79	85	
<	3339	1171	25	86	
10	3377	1171	80	84	
%	3462	1169	25	86	
Connect	3640	1173	281	67	
To	3981	1173	60	67	
LM	4101	1173	62	67	
Comm	4230	1173	149	67	
Verify	283	1272	236	84	
:	542	1275	23	82	
Manually	2033	1269	340	83	
Control	2426	1268	285	83	
Cabin	2764	1266	180	85	
Repress	3010	1265	273	84	
To	3350	1263	62	84	
Cabin	361	1355	189	66	
At	616	1355	76	66	
3.5	745	1355	105	66	
Psia	908	1355	152	66	
Maintain	2039	1346	323	75	
Positive	2427	1346	325	75	
PGA	2805	1346	108	75	
Pressure	2961	1346	326	75	
.	3306	1346	22	75	
AUDIO	3644	1342	193	73	
CB	3895	1342	66	73	
-	4025	1342	21	73	
Close	4099	1342	205	73	
LM	358	1435	78	85	
Suit	487	1435	160	85	
Circuit	702	1435	281	85	
Lockup	1031	1435	241	85	
At	1319	1435	95	85	
4.3	1452	1435	122	85	
Psia	1627	1435	148	85	
(	2052	1425	27	92	
Leave	2083	1425	213	92	
Cabin	2346	1425	183	92	
Repress	2595	1425	269	92	
CB	2927	1425	66	92	
Open	3042	1425	154	92	
For	3259	1425	115	92	
AUDIO	3646	1420	195	88	
(	3903	1421	24	87	
CDR	3932	1421	110	87	
&	4104	1423	24	86	
LMP	4189	1423	110	86	
)	4315	1423	24	86	
PGA	363	1517	122	86	
>	532	1518	24	86	
4.6	613	1518	110	86	
Psig	778	1520	165	86	
&	996	1521	24	86	
Decaying	1077	1521	324	88	
Manual	2039	1509	257	94	
Repress	2346	1514	282	94	
)	2634	1517	25	91	
VHF	3723	1512	123	66	
A	3898	1512	19	66	
-	3985	1512	19	66	
RCV	4061	1512	112	66	
B	3894	1601	18	63	
-	3986	1600	18	62	
OFF	4061	1598	109	61	
Start	282	1694	199	69	
Wrist	520	1694	210	69	
Watch	780	1694	199	69	
:	1043	1694	19	69	
00	1080	1694	62	69	
CABIN	1968	1687	189	66	
REPRESS	2214	1687	286	66	
AUTO	2640	1689	144	65	
MODE	3719	1681	162	68	
ICS	4075	1680	98	72	
/	4198	1681	19	71	
PTT	4227	1681	119	73	
CB	1959	1764	84	90	
(	2056	1764	27	91	
16	2104	1762	51	91	
)	2176	1762	27	91	
ECS	2217	1762	116	91	
:	2351	1761	27	90	
CABIN	2469	1761	196	89	
REPRESS	2715	1759	282	89	
-	3061	1758	27	90	
Close	3142	1756	201	91	
RELAY	3723	1760	202	67	
-	3985	1760	19	67	
OFF	4061	1760	112	67	
Ovhd	279	1853	167	91	
Or	496	1853	66	91	
Fwd	625	1853	103	91	
Dump	791	1853	157	91	
Valve	1003	1853	199	91	
-	1253	1853	27	91	
OPEN	1335	1853	149	91	
MASTER	1960	1850	247	91	
ALARM	2260	1850	196	91	
&	2510	1850	27	91	
CABIN	2587	1850	200	91	
Warning	2836	1850	296	91	
Lt	3177	1850	84	91	
-	3312	1850	27	91	
On	3380	1850	84	91	
Verify	286	1942	236	83	
:	545	1944	23	81	
Verify	1966	1936	239	85	
Cabin	2263	1936	193	85	
Press	2509	1936	195	85	
Increasing	2773	1936	403	85	
COMM	3645	1933	148	62	
:	3823	1936	16	60	
Tone	375	2025	154	88	
-	536	2024	25	87	
On	576	2024	67	87	
&	705	2024	25	87	
H20	776	2024	125	86	
Flag	957	2022	167	88	
-	1169	2022	25	88	
A	1249	2021	25	87	
(	1338	2021	25	87	
1.2-1.7	1378	2021	273	86	
Psia	1707	2019	156	88	
)	1882	2018	25	87	
PRESS	1965	2018	207	87	
REG	2214	2016	113	87	
A	2389	2016	25	88	
&	2469	2016	25	88	
B	2558	2016	25	88	
-	2648	2014	25	88	
CABIN	2724	2014	190	88	
VHF	3646	2016	114	66	
A	3818	2016	19	66	
XMTR	3896	2016	159	66	
OFF	4187	2017	111	65	
PGA	367	2105	120	94	
>	539	2107	26	94	
4.6	610	2107	121	94	
Psig	782	2108	166	94	
&	997	2108	26	94	
Decaying	1077	2110	333	95	
A	3817	2099	18	66	
RCVR	3895	2099	155	68	
-	4115	2101	18	66	
ON	4187	2102	72	66	
PLSS	1964	2191	156	67	
02	2174	2193	72	65	
OFF	2380	2191	117	68	
@	2559	2191	19	68	
Cabin	2639	2191	184	68	
>	2891	2191	19	68	
2.5	2968	2191	107	68	
Psia	3134	2191	154	68	
B	3817	2185	17	63	
XMTR	3906	2185	142	61	
&	4115	2184	17	62	
RCVR	4183	2184	155	62	
-	4398	2182	17	63	
OFF	4484	2182	117	63	
Partially	280	2279	368	86	
Open	696	2276	160	89	
Fwd	917	2274	102	89	
Hatch	1077	2273	196	89	
TLM	3654	2268	92	65	
BIOMED	3806	2268	249	65	
RIGHT	4186	2270	205	64	
CABIN	1964	2357	192	88	
Warning	2205	2356	302	89	
Lt	2552	2354	84	89	
-	2686	2354	25	89	
Off	2761	2354	114	89	
PCM	3809	2348	110	71	
-	3987	2349	18	70	
HI	4055	2349	87	71	
FINAL	276	2447	200	68	
PREP	536	2447	157	68	
FOR	743	2447	116	68	
EGRESS	912	2447	234	68	
:	1213	2447	19	68	
03	1247	2447	76	68	
Verify	1968	2443	245	89	
Cabin	2266	2442	184	90	
Press	2515	2442	201	89	
Stable	2761	2440	250	89	
At	3059	2439	67	90	
4.6-5	3176	2439	199	89	
Psia	3437	2437	150	91	
VHF	3649	2437	118	89	
ANTENNA	3815	2436	283	90	
-	4149	2434	26	91	
AFT	4227	2434	130	91	
Use	1957	2524	133	85	
Purge	2132	2524	207	85	
Valve	2394	2524	195	85	
To	2642	2524	64	85	
Depress	2761	2524	285	85	
PGA	3102	2524	110	85	
As	3259	2524	79	85	
Reqd	3377	2524	166	85	
PLSS	284	2612	162	74	
PRIM	494	2612	147	74	
H20	691	2612	128	74	
-	875	2612	21	74	
OPEN	954	2612	151	74	
OPEN	951	2603	154	91	
(	1179	2608	23	88	
H20	1197	2608	123	89	
Flag	1378	2611	157	89	
-	1590	2614	24	88	
PLSS	3651	2605	153	82	
/	3818	2603	24	84	
OPS	3858	2601	110	85	
DOFFING	4031	2600	272	81	
Clear	364	2690	205	88	
In	626	2690	66	88	
2-4	751	2690	110	88	
Min	903	2690	113	88	
)	1046	2690	25	88	
POST	1962	2693	171	73	
EVA	2178	2693	115	73	
SYSTEMS	2349	2693	276	73	
CONFIGURATION	2681	2693	523	73	
Disconnect	3644	2768	414	76	
OPS	4108	2768	108	76	
Actuator	4267	2768	326	76	
From	4654	2768	136	76	
RCU'S	4861	2768	201	76	
Fwd	285	2868	118	68	
Hatch	448	2868	200	68	
Open	788	2866	157	83	
Verify	1973	2858	244	94	
EVA	2272	2858	104	94	
CB	2430	2858	73	94	
Configuration	2558	2858	526	94	
Disconnect	3642	2858	415	69	
RCU'S	4103	2855	201	71	
From	4364	2853	140	71	
PGA	4573	2852	114	72	
(	2059	2934	25	89	
White	2086	2934	202	89	
Dots	2349	2934	159	89	
Out	2555	2934	125	89	
+	2725	2934	26	89	
EVA	2799	2934	113	89	
Decals	2968	2934	240	89	
)	3226	2934	25	89	
Verify	3643	2938	241	87	
Pump	3944	2936	152	88	
,	4112	2935	25	89	
Fan	4200	2933	102	89	
-	4366	2933	25	89	
OFF	4444	2932	116	89	
(	4619	2932	25	89	
Left	4650	2932	159	87	
)	4828	2930	25	89	
MODE	4857	2930	165	88	
SEL	5078	2929	102	87	
-	5208	2927	25	89	
O	5244	2927	26	89	
Rest	281	3030	163	91	
Until	497	3030	196	91	
Cooling	742	3030	295	91	
Sufficient	1087	3030	416	91	
CB	1975	3027	63	86	
(	2064	3027	25	86	
16	2097	3027	64	86	
)	2187	3026	25	86	
ECS	2260	3026	111	86	
:	2397	3026	25	86	
SUIT	2474	3026	151	84	
FAN	2683	3024	111	86	
2	2852	3024	25	86	
-	2940	3024	24	86	
Close	3013	3023	202	85	
Disconnect	3646	3017	420	85	
RCU	4105	3017	111	85	
From	4282	3017	139	85	
PLSS	4488	3017	148	85	
,	4663	3017	24	85	
Stow	4734	3017	151	85	
On	4940	3017	79	85	
Verify	286	3116	239	82	
:	549	3119	20	79	
SUIT	2051	3111	159	74	
FAN	2261	3111	118	74	
