content	x	y	w	h	
HADLEY	655	3396	48	236	
-	653	3149	49	14	
APENNINE	653	3110	48	282	
LANDING	650	2761	48	249	
SITE	648	2440	48	126	
APOLLO	724	3382	62	238	
15	720	3083	65	37	
-1	719	3006	64	49	
:	719	2958	64	19	
12,500	718	2944	63	176	
AND	715	2706	63	103	
1	713	2543	64	19	
:	713	2530	64	19	
25,000	713	2504	62	191	
GEOLOGIC	800	3298	51	271	
MAP	796	2959	52	123	
EXPLANATION	794	2782	49	374	
ADDITIONAL	972	4350	76	398	
MATERIALS	979	3878	57	380	
AGE	980	3242	54	118	
MAIN	982	5292	68	158	
SEQUENCE	982	5060	68	348	
CRATERS	1073	5148	63	307	
GEOLOGIC	971	2093	71	307	
SYMBOLS	971	1711	69	301	
(	970	1344	70	20	
WHITE	970	1325	70	201	
)	970	1106	70	20	
GEOLOGIC	1079	2148	65	267	
CONTACT	1078	1817	64	259	
;	1075	1549	66	18	
DASHED	1075	1501	65	219	
WHERE	1074	1237	65	196	
INDEFINITE	1073	991	64	306	
DOTTED	1164	2150	48	228	
WHERE	1163	1868	48	198	
BURIED	1162	1602	47	196	
OR	1160	1349	49	74	
HIDDEN	1159	1214	49	193	
HALO	1273	4873	47	158	
CRATER	1280	2141	51	220	
RIM	1280	1850	50	86	
CREST	1277	1673	52	187	
6	1284	5030	37	10	
5	1345	5026	45	12	
SECONDARY	1295	4358	49	344	
CRATER	1292	3970	51	217	
MATERIALS	1290	3706	50	332	
NORTH	1373	4134	45	183	
CLUSTER	1372	3893	44	238	
NORTH	1450	4134	46	187	
RAY	1450	3904	46	114	
4	1423	5023	40	11	
COPERN	1618	3226	324	66	
ICAN	1547	3136	159	68	
3	1498	5023	39	11	
2	1566	5024	40	10	
TALUS	1655	4226	52	180	
(	1654	3994	54	15	
HADLEY	1654	3983	52	239	
RILLE	1651	3694	54	164	
)	1651	3520	54	15	
I	1636	2467	78	21	
-	1637	2357	78	21	
..	1638	2237	78	42	
PARTIALLY	1398	2148	70	319	
MANTLED	1398	1772	70	276	
OR	1400	1438	57	74	
FLOODED	1400	1308	55	265	
CRATER	1398	985	56	214	
RIM	1398	703	55	72	
CREST	1478	2144	50	186	
SCARP	1564	2134	63	178	
;	1564	1943	63	18	
GEOLOGIC	1564	1892	63	271	
CONTACT	1564	1544	62	255	
WHEN	1562	1242	64	167	
SOLID	1562	1002	64	155	
;	1562	835	64	18	
DASHED	1562	744	64	228	
WHERE	1648	2148	64	204	
INFERRED	1646	1884	64	270	
;	1644	1597	66	18	
DOTTED	1644	1530	65	232	
WHERE	1642	1230	65	196	
HIDDEN	1640	976	65	204	
;	1639	757	66	18	
BARBS	1735	2152	47	196	
POINT	1735	1883	47	181	
POINT	1730	1879	51	178	
DOWNSLOPE	1729	1637	50	362	
TOP	1822	2126	68	97	
OF	1822	1986	68	65	
SHARP	1822	1866	68	185	
SCARP	1822	1638	67	184	
EDGE	1930	2143	52	144	
OF	1928	1938	53	69	
RILLE	1928	1819	53	174	
OR	1927	1582	53	69	
RILLE	1928	1440	50	161	
-	1928	1256	50	13	
LIKE	1928	1229	50	121	
DEPRESSION	1925	1034	51	346	
00	1872	5058	43	88	
ERATOS	2032	3226	302	69	
THENIAN	2032	3136	297	75	
LINEAMENTS	2024	2149	46	365	
MARE	2035	3977	49	162	
MATERIALS	2035	3744	44	322	
THE	2116	3877	43	97	
PLAINS	2111	3686	47	195	
DARK	2125	4878	49	143	
FRONT	2123	4697	49	188	
ch	2141	2566	39	58	
CHAIN	2126	2141	48	150	
CRATERS	2120	1912	55	261	
-	2179	4040	8	30	
ELONGATED	2288	2155	48	347	
OR	2286	1754	49	65	
IRREGULAR	2286	1626	47	307	
CRATERS	2284	1255	47	272	
e	2308	2525	34	11	
ST	2329	5041	39	56	
.	2329	4986	39	9	
GEORGE	2372	5101	39	181	
CRATER	2414	5098	42	169	
CRATER	2311	3901	42	222	
RIM	2310	3589	43	69	
MATERIALS	2371	3857	48	327	
ST	2443	3941	53	69	
.	2443	3878	53	14	
GEORGE	2442	3816	51	220	
RIM	2440	3535	52	76	
IMBRIAN	2533	3222	281	68	
X	2443	2514	42	11	
BLOCKS	2436	2148	46	227	
NORTH	2479	4362	45	189	
COMPLEX	2550	4398	45	277	
TRAVERSE	2585	2131	60	336	
SYMBOLS	2582	1718	60	302	
(	2578	1334	68	18	
BLACK	2578	1316	69	216	
)	2579	1085	68	19	
UPLAND	2602	3930	50	234	
UNITS	2602	3647	49	172	
FRONT	2690	3942	64	190	
(	2689	3686	65	18	
breccia	2689	3672	65	195	
)	2689	3469	65	18	
NOMINAL	2702	2149	53	252	
LRV	2700	1834	54	116	
