content	x	y	w	h	
FACIES	1360	911	451	117	
EXTERNA	1887	911	550	117	
TEMPLI	2522	911	395	117	
SANCTÆ	2976	911	444	117	
AS	1342	1044	225	102	
.	1557	1046	28	102	
PHILIPPO	1605	1046	416	104	
NERIO	2077	1047	270	102	
FVNDATÆ	2420	1049	479	104	
FAMILIÆ	2964	1051	419	104	
MARIÆ	3638	915	330	123	
A	4049	912	37	126	
VALLICELLA	4140	910	609	121	
CONGREGATIONIS	4835	903	856	119	
CESIÆ	3684	1065	305	82	
MAGNIFICENTIA	4081	1062	835	76	
EXÆDIFICATI	5017	1051	707	80	
Fausto	4971	1165	176	79	
Rughesio	5186	1162	226	78	
Architecto	5450	1160	214	77	
MINSALUAN	3730	4306	43	165	
20	3872	7107	75	28	
Scala	3402	7187	137	104	
palmorum	3595	7189	269	104	
20	5838	7722	66	63	
