content	x	y	w	h	
1	1538	993	17	23	
.	1558	1006	17	23	
D	1574	1015	17	23	
ARKIS	1624	1033	102	2	
O	1878	1032	11	25	
MOORE	1900	1037	103	45	
NEW	1249	1119	57	22	
TO	1320	1114	46	13	
78	2236	1116	52	41	
ON	2310	1126	42	38	
.	2363	1133	13	35	
Het	2524	1211	43	43	
Me	2571	1240	39	39	
LEN	2602	1260	65	54	
-	906	1266	12	30	
M6WH	916	1263	91	22	
SHOOTER	943	1269	141	53	
CYDON	2627	1277	94	28	
WH	557	1439	97	33	
BELL	662	1434	69	9	
300000	799	601	2107	684	
.	2974	597	207	687	
CORO7180	434	1219	2745	792	
0000000	364	1947	2815	649	
DR	1150	1867	38	35	
.	1192	1867	10	34	
S	1210	1866	10	34	
.	1234	1866	10	34	
W	1245	1865	10	34	
.	1269	1864	10	34	
EVERETT	1288	1862	144	30	
C	2092	1855	12	43	
.	2117	1855	12	43	
J	2149	1855	12	43	
.	2167	1855	12	43	
Griges	2183	1855	165	42	
SM	2528	1883	68	63	
.	2579	1917	30	38	
DE	2587	1922	69	63	
JWA	397	1926	100	80	
GBM	773	1929	101	68	
J	1609	1914	27	36	
.	1621	1922	27	36	
5	1644	1935	27	36	
.	1660	1945	27	36	
J	1679	1957	27	36	
DENSON	2602	1937	156	27	
UDENS	2933	1949	165	21	
WARDIN	464	1977	136	22	
DING	544	1981	89	3	
YOLDER	848	1966	158	2	
JAMES	1681	1955	163	39	
CHAIRMAN	1624	1993	170	33	
J	2132	2483	25	39	
.	2146	2490	25	39	
E	2161	2496	25	39	
.	2182	2505	25	39	
EA	2199	2512	67	59	
BSA	2507	2485	111	70	
JC	2932	2474	63	54	
.	2982	2494	23	37	
BR	2986	2497	76	59	
b	373	2513	24	34	
.	384	2520	24	34	
LAN	393	2524	90	71	
NEW	1199	2517	90	53	
EASO	2214	2518	98	32	
KE	2624	2511	57	22	
ROWN	3032	2513	135	6	
NACH	544	2540	107	18	
.	636	2469	28	30	
WTON	1261	2538	117	7	
.	1371	2501	21	37	
OGZ	1677	2583	65	41	
ETRE	1753	2585	91	42	
The	381	2685	83	58	
foregoing	479	2685	221	58	
photographs	719	2685	294	57	
contain	1027	2684	159	58	
the	1212	2684	66	58	
committee	1299	2683	239	58	
appointed	1549	2683	237	57	
by	1803	2682	54	58	
the	1877	2682	74	58	
United	1966	2682	156	58	
Sacred	2145	2682	154	57	
Harp	2320	2681	115	58	
Musical	2454	2681	185	58	
Association	2660	2680	251	58	
in	2941	2680	33	58	
September	3010	2680	243	57	
,	3259	2679	16	58	
1906	300	2746	87	61	
,	396	2745	17	62	
who	426	2745	98	62	
have	543	2745	110	62	
just	682	2745	77	62	
completed	778	2745	235	61	
the	1046	2744	61	62	
revision	1131	2744	187	61	
and	1339	2743	89	62	
compilation	1446	2743	266	62	
and	1742	2742	80	62	
present	1846	2742	184	62	
the	2047	2742	71	62	
Original	2153	2742	201	61	
Sacred	2378	2741	146	62	
Harp	2564	2741	115	61	
as	2718	2740	46	62	
revised	2788	2740	159	62	
by	2975	2740	57	62	
them	3055	2740	93	61	
.	3168	2739	17	62	
A	3237	2739	17	62	
perusal	295	2814	177	48	
of	485	2813	54	49	
its	556	2813	42	49	
pages	625	2813	132	49	
will	778	2813	85	48	
show	884	2812	105	49	
the	1024	2812	70	49	
work	1113	2812	107	49	
done	1250	2812	114	48	
.	1365	2811	14	49	
Further	1435	2811	177	49	
statements	1632	2811	246	48	
of	1907	2810	45	49	
the	1969	2810	70	49	
corrections	2062	2810	262	48	
in	2346	2809	27	49	
music	2399	2809	134	49	
,	2540	2809	14	49	
additions	2565	2809	224	48	
made	2799	2808	130	49	
,	2930	2808	14	49	
in	2966	2808	27	49	
this	3024	2808	79	49	
valua	3132	2807	132	49	
ble	296	2875	65	50	
song	392	2874	105	50	
book	510	2874	110	50	
will	646	2874	95	50	
be	755	2874	56	50	
found	832	2873	134	50	
in	992	2873	27	50	
the	1053	2873	71	50	
Introductory	1143	2873	293	49	
,	1440	2872	14	50	
by	1468	2872	64	50	
the	1551	2872	71	50	
chairman	1648	2872	207	49	
of	1886	2871	45	50	
the	1961	2871	64	50	
committee	2049	2871	239	49	
,	2291	2870	14	50	
on	2323	2870	47	50	
following	2403	2870	213	50	
pages	2637	2870	130	49	
.	2771	2869	14	50	
