content	x	y	w	h	
He's	6447	1976	39	17	
OTROS	3136	2085	52	24	
Mathmic	3739	2206	21	107	
MELLETT	4655	2200	41	13	
HERBICIC	3376	2207	72	15	
LUNSTITE	3525	2209	247	15	
UPTOWE	3752	2208	84	16	
rega	1548	2435	42	30	
Toto	1545	2459	86	34	
UNITS	3091	2813	77	19	
PUIDUST	3397	2809	94	22	
قانون	3495	2847	53	21	
با	3408	2844	2	22	
um	5501	3040	24	15	
1	3107	3147	24	233	
TMU	5510	3357	41	18	
FONTANA	2157	4362	502	102	
SV	2723	4362	112	102	
LA	2898	4362	112	102	
PIAZZA	3083	4362	339	102	
DELLA	3502	4362	325	102	
BASILICA	3881	4362	452	102	
DI	4390	4362	112	102	
S.	4553	4362	75	102	
MARIA	4629	4362	271	102	
IN	4988	4362	56	102	
TRASTEVERE	5145	4362	608	102	
.	5768	4362	30	102	
Architeta	2511	4488	324	114	
di	2869	4488	85	114	
Gio	2995	4488	116	114	
.	3112	4488	33	114	
Fontana	3174	4488	262	114	
,	3468	4488	33	114	
sotto	3514	4488	155	114	
Clem	3746	4488	133	114	
:	3915	4488	33	114	
VIII	3984	4488	136	114	
riſtorata	4152	4488	248	114	
,	4432	4488	33	114	
e	4466	4488	33	114	
rialzata	4543	4488	253	114	
sotto	4834	4488	126	114	
Aleſs	5016	4488	155	114	
VII	5197	4488	97	114	
.	5302	4488	33	114	
Glac	4849	4646	142	73	
Roſſi	5012	4644	131	74	
le	5166	4643	42	75	
stampa	5235	4642	167	73	
in	5437	4640	27	75	
Roma	5519	4639	152	74	
alla	5706	4637	81	75	
pace	5828	4636	106	74	
co	5972	4636	27	73	
priui	6023	4634	135	73	
del	6164	4633	76	75	
.	6242	4633	21	74	
S.P.	6274	4633	110	73	
GB	1596	4644	106	58	
Falda	1726	4644	129	59	
del	1890	4646	82	57	
.	1970	4646	15	57	
et	1996	4646	53	57	
inc	2071	4646	66	57	
.	2140	4647	16	58	
32	6482	4631	86	81	
