content	x	y	w	h	
SUIS	1595	483	46	17	
Most	634	557	268	124	
Popular	931	557	337	124	
All	1309	557	125	124	
Purpose	1490	557	327	124	
Book	1882	557	174	124	
Published	2115	557	395	124	
.	2526	557	36	124	
(	702	826	65	219	
C	790	826	65	219	
.	922	826	65	219	
,	966	826	65	219	
C	1142	826	65	219	
.	1274	826	65	219	
and	1410	826	219	219	
C	1758	826	65	219	
.	1868	826	65	219	
·	1273	1082	39	141	
155	1397	1084	198	143	
,	1611	1087	39	141	
000	1654	1088	256	143	
have	1947	1093	180	143	
been	2158	1096	180	144	
sold	2390	1100	141	142	
3	2669	1105	39	141	
and	1069	1269	150	95	
the	1262	1269	108	95	
demand	1409	1269	314	95	
continues	1762	1269	381	95	
unabated	2185	1269	368	95	
.	2556	1269	27	95	
75	689	1509	86	116	
Cents	814	1509	227	116	
per	1078	1509	133	116	
Copy	1239	1509	213	116	
;	1447	1509	34	116	
$	1506	1509	34	116	
7	1565	1509	34	116	
.	1600	1509	34	116	
50	1628	1509	107	116	
per	1774	1509	133	116	
Doz	1942	1509	166	116	
.	2096	1509	34	116	
,	2119	1509	34	116	
Postpaid	2195	1509	344	116	
.	2544	1509	34	116	
Copy	675	1713	179	76	
of	889	1713	70	76	
The	989	1713	130	76	
Music	1131	1713	218	76	
Teacher	1387	1713	277	76	
and	1697	1713	120	76	
complete	1851	1713	314	76	
Catalogue	2211	1713	360	76	
sent	1179	1803	152	77	
free	1364	1803	128	77	
on	1530	1803	71	77	
Application	1649	1803	396	77	
.	2065	1803	22	77	
THE	768	1968	100	86	
A	902	1968	25	86	
.	938	1968	25	86	
J	982	1968	25	86	
.	999	1968	25	86	
SHOWALTER	1041	1968	337	86	
CO	1411	1968	64	86	
.	1474	1968	25	86	
,	1501	1968	25	86	
'	1598	1968	25	86	
THE	1692	1968	111	86	
SHOWALTER	1824	1968	333	86	
-	2169	1968	25	86	
LINCOLN	2207	1968	214	86	
CO	2467	1968	64	86	
.	2530	1968	25	86	
,	2557	1968	25	86	
DALTON	853	2062	228	62	
,	1095	2062	17	62	
GEORGIA	1123	2062	242	62	
.	1378	2062	17	62	
DALLAS	1878	2066	225	54	
,	2108	2066	15	54	
TEXAS	2154	2066	175	54	
.	2333	2066	15	54	
EVESANANDSANSA	487	2203	617	29	
EXUSUSSUUUURAUSSURSURALIS	520	2228	642	33	
WAVAANANENAWANAMAN	1333	2205	583	31	
DANANMUSENAVEVEDSSVEN	1944	2205	560	29	
