content	x	y	w	h	
84	454	346	75	64	
Key	544	484	87	42	
of	647	480	46	39	
A	704	482	32	32	
Major.	753	479	133	45	
MOUNTVILLE.	1743	326	510	59	
7s,	2325	340	89	51	
6s.	2454	324	90	52	
“1,00k	1608	433	119	33	
not	1740	436	57	24	
thou	1809	433	81	26	
upon	1902	439	89	26	
the	2003	431	57	26	
wine	2072	430	86	26	
when	2169	428	96	28	
it	2279	429	25	26	
is	2315	429	27	26	
red.”—Prov.	2356	424	231	33	
23:	2600	425	48	26	
31	2668	424	33	27	
i.	596	776	27	25	
Throughout	652	758	243	53	
our	908	770	63	28	
wide-spread	985	757	240	46	
union,	1239	759	125	39	
What	1383	755	116	40	
cheering	1512	753	169	45	
scenes	1696	761	126	27	
arise,	1836	751	106	42	
The	1959	748	79	38	
temp’rance	2051	746	221	46	
flag	2285	747	73	42	
is	2374	746	29	35	
waving	2414	743	122	44	
Where’er	2549	741	192	41	
we	2753	750	55	27	
turn	2819	740	83	37	
our	2914	748	65	25	
eyes,	2992	747	100	35	
Bright	3110	737	128	44	
in	3250	738	35	33	
the	3295	734	62	39	
South	3375	733	116	40	
’tis	3507	734	60	36	
floating,	3580	732	166	47	
The	3761	730	80	39	
North	645	1600	114	42	
has	778	1601	69	36	
raised	865	1600	116	36	
it	999	1600	27	35	
high,	1102	1596	104	46	
The	1330	1593	80	37	
East	1428	1593	91	36	
and	1536	1592	71	36	
West	1626	1589	108	39	
unfurl	1751	1590	121	35	
it,	1890	1590	39	42	
The	1964	1587	79	37	
East	2062	1586	91	36	
and	2169	1586	72	35	
West	2260	1585	110	40	
unfurl	2387	1583	122	37	
it,	2527	1583	40	44	
.	2604	1623	3	3	
The	2647	1581	79	36	
East	2745	1579	91	40	
and	2852	1579	72	36	
West	2946	1577	106	39	
unfurl	3069	1575	120	37	
it,	3209	1577	39	42	
In	3270	1576	37	34	
gio	3342	1573	58	46	
-	3419	1593	11	7	
ry	3449	1586	42	32	
to	3537	1577	37	33	
the	3621	1575	63	36	
skies.	3702	1573	113	36	
2	469	2228	21	26	
Ten	516	2216	79	37	
thousand	610	2213	186	41	
times	813	2213	107	37	
ten	937	2215	60	34	
thousand	1015	2208	187	41	
Around	560	2268	149	38	
her	726	2268	65	35	
banner	808	2266	138	37	
stand,	965	2264	121	44	
Resolved	517	2323	182	40	
to	712	2326	39	33	
drive	770	2322	102	36	
intemperance	889	2318	265	47	
From	563	2380	106	37	
our	695	2389	64	25	
beloved	785	2376	152	38	
land.	962	2375	96	36	
From	519	2437	105	36	
every	644	2444	111	35	
rolling	772	2433	127	44	
river,	918	2432	107	43	
From	564	2492	107	36	
city,	688	2491	88	43	
town,	793	2491	115	41	
and	927	2488	72	35	
plain—	1017	2484	144	46	
The	521	2548	79	36	
cry	617	2558	63	33	
is	697	2546	30	36	
heard,	744	2544	125	41	
Deliver	891	2541	148	38	
From	564	2603	105	36	
rum’s	687	2602	116	36	
destructive	821	2597	220	40	
reign.	1067	2597	112	45	
3	1340	2217	16	31	
What	1384	2204	119	39	
though	1518	2202	142	46	
the	1677	2202	63	37	
gifts	1759	2202	86	44	
of	1864	2201	37	35	
Heaven	1920	2200	151	36	
On	1428	2259	64	38	
every	1511	2269	110	36	
hand	1638	2258	98	37	
abound,	1755	2257	157	44	
And	1385	2315	82	38	
God’s	1486	2312	121	40	
abundant	1624	2313	188	37	
blessing	1831	2312	161	43	
Our	1430	2370	84	38	
dear-loved	1529	2368	208	40	
nation	1754	2369	123	36	
crown—	1896	2377	167	27	
In	1389	2428	36	34	
vain,	1443	2426	102	45	
with	1563	2426	89	37	
lavished	1672	2424	166	36	
kindness,	1856	2423	192	43	
Do	1433	2482	57	36	
all	1508	2483	46	36	
these	1570	2480	106	38	
blessings	1693	2479	183	45	
come,	1893	2489	115	34	
While	1379	2538	124	40	
drunkards,in	1517	2536	260	48	
their	1791	2536	94	36	
blindness.	1897	2533	195	38	
Bow	1432	2594	89	37	
down,	1539	2593	121	45	
the	1677	2592	64	37	
slaves	1759	2591	122	36	
of	1899	2591	37	35	
rum.	1953	2600	91	27	
4	2206	2208	22	32	
Shall	2253	2195	102	39	
we,	2372	2206	69	35	
whose	2460	2195	126	38	
souls	2604	2195	101	35	
are	2722	2204	59	25	
lighted	2799	2190	137	47	
With	2297	2252	104	40	
ardour	2421	2251	129	38	
from	2566	2252	92	34	
on	2677	2261	46	24	
high,—	2742	2248	151	46	
Shall	2252	2307	100	39	
we,	2370	2319	67	32	
to	2457	2310	36	33	
men	2514	2317	80	26	
benighted,	2614	2305	209	46	
The	2298	2363	78	37	
helping	2393	2363	148	45	
hand	2559	2363	99	35	
deny;	2676	2362	116	43	
No,	2254	2419	70	44	
no	2343	2430	46	25	
!	2403	2421	9	33	
our	2438	2428	65	26	
tongues,	2519	2420	173	42	
unceasing,	2711	2415	211	44	
Deliverance	2300	2474	238	37	
shall	2556	2473	93	36	
proclaim,	2667	2471	184	47	
Till	2290	2531	68	36	
not	2377	2534	63	34	
one	2457	2540	67	25	
erring	2542	2530	118	43	
mortal	2679	2528	126	37	
Shall	2296	2586	102	38	
hear	2415	2586	88	36	
the	2519	2585	63	37	
drunkard’s	2600	2582	222	41	
shame.	2840	2582	142	39	
This	566	2716	91	35	
is	683	2715	30	35	
one	739	2723	66	26	
of	830	2712	37	35	
the	891	2711	62	37	
early	977	2710	100	45	
tunes	1099	2710	110	36	
on	1233	2718	47	26	
the	1304	2708	64	36	
subject	1392	2705	142	46	
of	1558	2705	38	37	
temperance,	1619	2706	240	44	
but	1879	2703	65	36	
the	1966	2702	63	39	
author	2054	2702	131	36	
of	2209	2701	38	36	
the	2270	2701	63	40	
music	2358	2698	114	38	
and	2497	2697	72	37	
words	2593	2697	122	37	
is	2740	2697	31	35	
unknown,	2797	2693	198	40	
5	3075	2199	16	35	
Waft,	3122	2191	117	43	
waft,	3257	2189	104	46	
ye	3379	2200	45	34	
winds,	3441	2188	133	46	
the	3592	2187	63	38	
story,	3673	2187	116	43	
And	3164	2247	81	35	
you,	3262	2256	86	35	
ye	3367	2256	44	33	
waters,	3428	2246	147	43	
roll,	3593	2242	77	45	
Till,	3119	2302	82	43	
like	3221	2302	71	35	
a	3310	2312	21	25	
sea	3349	2311	62	27	
of	3429	2301	37	35	
glory,	3487	2298	116	46	
It	3167	2358	29	35	
spreads	3212	2357	148	45	
from	3377	2355	92	38	
pole	3490	2355	79	44	
to	3586	2357	36	34	
pole,	3639	2354	93	44	
Till	3122	2413	68	37	
the	3207	2414	63	35	
last	3287	2412	71	38	
wretched	3374	2411	182	40	
drunkard	3574	2408	185	39	
His	3169	2469	67	36	
liberty	3253	2467	129	46	
shall	3400	2467	92	38	
gain,	3510	2466	100	44	
And	3129	2526	81	35	
temperance,	3227	2523	239	48	
all	3485	2522	46	36	
victorious,	3548	2519	210	47	
Throughout	3171	2577	242	48	
the	3429	2578	62	37	
nation	3509	2577	123	39	
reign.	3651	2576	112	46	
