content	x	y	w	h	
EDMONDS.	1262	464	361	48	
7,	1689	479	53	44	
8.	1767	466	51	47	
(Original.)	1887	466	316	61	
from	1053	555	81	27	
the	1145	557	53	24	
beginning	1208	556	172	32	
of	1389	555	33	26	
the	1432	558	53	24	
creation	1495	558	134	25	
God	1641	558	65	25	
made	1717	558	88	25	
them	1816	558	84	24	
male	1912	558	80	25	
and	2003	558	60	24	
female.	2072	557	119	26	
10	2361	561	29	24	
:	2402	568	6	17	
6.	2425	562	24	23	
Key	235	614	80	39	
of	329	611	42	32	
F	381	611	30	32	
Sharp	427	612	113	40	
Minor.	554	611	128	31	
1869.	2493	614	90	30	
Alto	2629	614	82	31	
by	2726	614	48	40	
S.	2788	616	35	31	
115	3186	488	80	44	
M.	2842	618	48	30	
DENSON,	2906	618	169	38	
1911.	3096	620	89	31	
1	1521	663	18	28	
tztz	1088	780	112	39	
ed,	1058	861	51	38	
He	1133	861	51	33	
dwelt	1200	861	101	33	
in	1317	861	32	32	
Eden's	1367	860	126	34	
shade;	1506	862	119	37	
ed,	1056	902	51	40	
Be-fore	1127	902	131	33	
a	1281	912	20	23	
bride	1324	902	90	33	
was	1429	913	73	23	
1	1520	944	18	28	
1	1518	1184	19	29	
2	1661	664	21	27	
made.	1629	904	106	33	
2	1661	946	20	26	
2	1659	1185	21	28	
ELI).	2157	611	93	34	
E.	2269	611	43	33	
DUMAS,	2329	614	147	37	
ä—n-n	2308	691	157	28	
1.	441	872	27	24	
When	487	862	115	36	
AS	489	904	48	32	
Adam	660	861	107	33	
was	783	871	73	22	
cre-at	872	863	103	31	
Moses	664	903	115	33	
has	794	902	64	33	
re-lat	875	902	97	33	
2.	1876	872	30	23	
Ten	1928	860	72	34	
thousand	2012	861	171	34	
times	2192	862	100	33	
ten	2306	864	57	31	
thousand,	2376	862	183	41	
Of	2570	863	53	34	
creatures	2633	866	167	32	
swarmed	2810	866	165	33	
around,	2987	868	139	40	
14.	166	1034	55	38	
4	318	1287	58	52	
4	324	1570	41	49	
fore	323	2006	71	33	
3.	458	1395	28	31	
He	513	1385	51	33	
Till,	504	1426	77	41	
had	647	1385	68	33	
no	731	1394	43	23	
conso	789	1394	104	23	
-	909	1402	15	7	
la	940	1384	31	33	
-	993	1402	13	6	
to	665	1429	35	31	
his	716	1426	54	33	
ad-mi	786	1426	103	33	
-	906	1443	12	6	
ra	934	1435	36	23	
tion,	1027	1385	83	40	
But	1126	1384	67	34	
seemed	1204	1384	133	33	
as	1353	1393	38	24	
one	1404	1394	64	23	
alone,	1479	1384	111	40	
4.	1857	1392	31	31	
This	1906	1383	87	34	
woman	2008	1393	134	24	
was	2154	1394	74	23	
not	2244	1387	59	31	
taken	2316	1384	105	35	
From	2439	1384	98	34	
Adam's	2554	1385	142	34	
head,	2711	1386	99	41	
we	2826	1397	52	23	
know;	2893	1387	114	41	
And	3097	1389	74	32	
-	992	1443	15	7	
tion,	1028	1427	83	39	
He	1128	1426	50	32	
found	1193	1426	106	32	
he'd	1316	1425	78	33	
lost	1411	1425	66	34	
a	1491	1436	20	22	
1	1519	1466	17	29	
bone.	1623	1425	98	34	
2	1659	1467	21	27	
a	426	2015	21	23	
bride	476	2004	91	33	
was	581	2013	75	24	
form	685	2003	86	33	
-	795	2020	11	7	
ed,	829	2003	49	38	
Or	918	2001	54	35	
o'er	696	2474	69	34	
him,	807	2475	83	40	
It's	909	2473	59	35	
a	1027	2012	21	23	
ev	1011	2484	44	23	
-	1076	2019	14	7	
ny	1112	2012	48	30	
