content	x	y	w	h	
TO	4619	1004	38	41	
VHF	4690	1004	82	41	
RECOVERY	4785	1004	204	41	
ANT	4611	1055	93	36	
NO	4718	1057	65	35	
.	4799	1057	8	35	
1	4836	1057	8	35	
AREA	1695	1073	92	45	
A	1818	1073	13	45	
10	6026	1082	28	48	
11	6282	1089	31	42	
AREA	10527	1136	89	48	
A	10661	1141	11	45	
FLOODLIGHTS	2039	1168	103	19	
PRIMARY	1943	1197	62	17	
AREA	2372	1195	95	35	
B	2496	1190	11	39	
POST	2253	1227	35	21	
LOG	2299	1227	23	21	
SECONDARY	2145	1255	92	15	
BACON	2254	1253	66	17	
ON	2176	1275	26	18	
LIGHTS	2250	1273	67	17	
TO	4619	1187	34	37	
VHF	4692	1189	74	37	
RECOVERY	4787	1189	198	41	
ANT	4609	1234	94	46	
NO	4715	1234	71	46	
.	4795	1234	13	46	
2	4829	1234	12	46	
DIGITM	6724	1195	111	40	
Buxor	6890	1202	106	38	
TASR	7019	1206	97	39	
How	6880	1258	40	35	
$	6973	1263	7	33	
50	6987	1265	33	33	
RAST	6656	1284	109	39	
ST	6790	1290	44	39	
TES	6907	1299	102	37	
AREA	9838	1246	87	41	
B	9958	1250	10	39	
FLOODLIGHTS	10217	1251	112	19	
©	6072	1290	34	9	
co	5305	1311	42	17	
PRIMARY	10346	1284	65	18	
C	10013	1311	2	20	
W	10030	1312	2	21	
LAM	10052	1314	22	21	
TEST	10033	1333	32	18	
Mon	6336	1350	49	34	
Sea	6438	1351	66	34	
SECONDARY	10102	1329	91	23	
ON	10131	1350	24	20	
NOTE	8726	1383	120	38	
:	8858	1383	8	38	
OFF	2179	1407	31	19	
OFF	2274	1409	29	20	
OFF	9953	1417	29	14	
OFF	1885	1436	27	15	
MRIGHT	1996	1436	50	17	
FROM	4617	1402	101	48	
VHF	4751	1402	77	48	
RECOVERY	4839	1402	206	48	
BEACON	4614	1460	165	33	
ON	5292	1395	37	155	
Panel	8912	1382	98	39	
numbers	9024	1382	147	40	
and	9193	1383	57	40	
area	9274	1383	71	39	
divisions	9367	1385	163	39	
will	9537	1385	79	39	
not	9628	1387	63	39	
be	8905	1427	45	50	
labeled	8970	1427	136	51	
on	9127	1429	35	51	
display	9188	1431	121	51	
console	9335	1433	132	51	
.	9476	1434	13	49	
They	9530	1434	74	50	
are	9621	1436	58	49	
used	8910	1478	73	48	
for	9012	1480	47	48	
location	9073	1480	148	49	
reference	9247	1482	173	49	
only	9437	1483	74	48	
.	9522	1483	11	48	
OFF	10133	1483	29	15	
©	5988	1521	5	23	
OFF	10300	1531	31	15	
BRIGHT	10414	1529	56	17	
PTT	1820	1568	21	17	
