content	x	y	w	h	
KEY	900	551	102	48	
Ep	1031	551	52	48	
.	1090	551	13	48	
KEY	2300	537	102	65	
AD	2437	537	60	65	
.	2494	537	18	65	
Do	891	771	44	48	
Re	949	771	45	48	
Mi	1006	771	52	48	
Fa	1062	771	43	48	
Sol	1118	771	55	48	
LAN	1187	771	68	48	
Da	1281	771	53	48	
Do	2319	775	40	44	
Re	2382	775	40	44	
Mi	2443	775	48	44	
Fa	2499	775	40	44	
Sol	2548	775	56	44	
LaTiL	2611	775	136	44	
KEY	1641	1090	96	62	
Db	1771	1090	57	62	
.	1832	1090	17	62	
#	1451	1180	48	9	
tattoo	1446	1236	54	89	
Do	1637	1320	38	51	
Re	1692	1320	47	51	
Mi	1750	1320	47	51	
Fa	1802	1320	47	51	
Sol	1856	1320	58	51	
LaTi	1921	1320	92	51	
Do	2025	1320	47	51	
.	2076	1320	14	51	
KEY	928	1657	103	48	
GD	1054	1657	61	48	
KEY	2329	1650	105	62	
A	2470	1650	17	62	
MINOR	2517	1650	151	62	
Do	952	1909	49	44	
Re	1011	1909	48	44	
Mi	1061	1909	65	44	
Fa	1130	1909	40	44	
Sol	1185	1909	50	44	
Lati	1247	1909	87	44	
Do	1350	1909	40	44	
.	1393	1909	12	44	
La	2316	1909	44	42	
Ti	2384	1910	37	41	
Do	2433	1911	45	41	
Re	2490	1911	53	42	
Mi	2551	1912	60	42	
Fa	2614	1913	44	41	
Si	2678	1914	37	41	
La	2737	1915	37	41	
Bopyright	1399	2200	153	44	
,	1551	2200	12	44	
1967	1576	2200	51	44	
,	1629	2200	12	44	
by	1655	2200	32	44	
A	1706	2200	12	44	
.	1724	2200	12	44	
J	1755	2200	12	44	
.	1769	2200	12	44	
SHOWALTER	1790	2200	190	44	
&	2003	2200	12	44	
Co	2038	2200	32	44	
