content	x	y	w	h	
art	2854	2525	88	44	
.	2948	2525	11	44	
XVIII	2977	2523	144	44	
.	3124	2523	11	44	
MAGNÆ	1530	962	425	101	
ICHNOGRAPHIÆ	2051	957	780	100	
CAMPI	2937	950	342	103	
MARTII	3298	947	399	103	
.	3711	945	30	105	
vii	4458	965	107	94	
intertexta	868	1110	283	81	
,	1181	1108	23	83	
has	1236	1107	97	82	
literas	1359	1107	184	80	
circum	1568	1105	169	81	
continens	1785	1104	250	80	
,	2052	1102	24	82	
MARIA	2099	1100	264	81	
.	2380	1099	23	82	
NO	2427	1099	134	82	
Aurelio	2880	1090	205	70	
Sex	3211	1075	86	90	
.	3312	1076	24	89	
Aurel	3377	1078	163	90	
.	3538	1079	23	89	
Vi	3600	1079	97	91	
&	3690	1081	23	89	
t	3709	1081	23	89	
.	3735	1081	23	89	
de	3798	1083	64	89	
vir	3906	1084	86	89	
,	3998	1084	23	89	
illuftrib	4051	1086	224	91	
.	4277	1089	23	89	
cap	4332	1089	78	89	
.	4423	1091	23	89	
26	4452	1091	81	89	
STRA	869	1198	212	74	
.	1081	1198	20	74	
FLORENTISSIMA	1142	1198	602	74	
.	1749	1198	19	74	
Laminula	1824	1198	270	74	
item	2131	1198	107	74	
aurea	2278	1198	150	74	
cum	2458	1198	95	74	
P.	2873	1174	70	96	
Vi	2970	1174	70	96	
&	3039	1174	28	96	
t	3068	1174	28	96	
.	3088	1174	28	96	
Reg	3130	1174	110	96	
.	3243	1174	28	96	
IX	3283	1174	54	96	
.	3339	1174	28	96	
Vrbis	3388	1174	176	96	
.	3581	1174	28	96	
Exſtant	3657	1174	228	96	
rudera	3890	1174	202	96	
.	4114	1174	28	96	
Notantur	4172	1174	291	96	
in	4506	1174	36	96	
iis	875	1291	77	92	
verbis	1012	1289	163	92	
Græce	1212	1289	165	90	
fcriptis	1455	1288	198	90	
MIXAHL	1693	1286	308	90	
.	2006	1284	26	92	
TABPIHL	2073	1284	303	90	
.	2380	1283	26	92	
PA	2448	1281	82	92	
Tab	2880	1271	100	89	
.	2995	1271	24	89	
II	3046	1270	33	88	
.	3085	1270	25	88	
num	3125	1270	115	88	
.	3266	1270	24	88	
27.	3306	1270	115	87	
in	3448	1268	50	89	
1.	3525	1268	114	89	
&	3664	1268	25	89	
ejus	3764	1267	115	88	
indice	3906	1267	193	88	
num	4140	1265	101	89	
.	4277	1265	25	89	
47.	4303	1265	128	89	
Rex	4448	1265	114	87	
OAHL	874	1371	212	96	
.	1087	1371	28	96	
OYPIHL	1140	1371	298	96	
.	1435	1371	29	96	
Inter	1508	1371	128	96	
reliquas	1669	1371	241	96	
inaures	1931	1371	204	96	
,	2162	1371	28	96	
monilia	2213	1371	217	96	
,	2442	1371	28	96	
ac	2508	1371	70	96	
cenſentur	2875	1348	296	106	
Cap	3201	1348	120	106	
.	3320	1348	30	106	
VI	3365	1348	57	106	
.	3417	1348	30	106	
art	3472	1348	76	106	
.	3554	1348	30	106	
xi	3599	1348	59	106	
.	3651	1348	29	106	
&	3704	1348	30	106	
oſtenduntur	3791	1348	356	106	
ſcenographi	4178	1348	377	106	
fimilia	863	1462	186	93	
ornamenta	1096	1460	286	95	
muliebria	1394	1460	284	94	
,	1714	1459	27	95	
quæ	1780	1459	108	93	
in	1928	1457	54	95	
ea	2025	1457	54	95	
capſula	2112	1457	186	93	
inerant	2340	1455	194	95	
in	2974	1449	46	63	
Tab	3072	1449	100	65	
.	3182	1451	17	63	
XXXIV	3221	1451	161	63	
.	3388	1451	18	63	
&	3459	1452	18	63	
XXXV	3543	1452	147	63	
.	3692	1454	17	63	
quidam	876	1548	186	99	
ceu	1118	1548	86	99	
nodus	1224	1548	170	99	
ſmaragdorum	1418	1548	357	99	
,	1816	1548	28	99	
variarumque	1865	1548	373	99	
gemmarum	2265	1548	291	99	
Anubis	2786	1532	222	90	
in	3041	1532	33	90	
Regione	3109	1532	273	90	
Tranſtiberina	3422	1532	402	90	
.	3841	1532	25	90	
Spartian	3923	1532	221	90	
,	4157	1532	25	90	
in	4212	1532	51	90	
Caracallo	4299	1532	240	90	
.	4545	1532	24	90	
fuit	873	1646	116	100	
,	1007	1644	30	101	
atque	1070	1643	164	99	
ex	1254	1641	57	101	
puro	1347	1639	119	100	
auro	1483	1638	130	99	
ornamentum	1643	1636	314	98	
,	1988	1631	30	102	
quod	2051	1631	130	100	
rizzam	2215	1630	203	98	
vo	2469	1626	77	102	
Apollinis	2786	1626	288	100	
in	3104	1625	56	101	
Circo	3193	1625	164	100	
Flaminio	3403	1623	260	100	
.	3690	1622	30	101	
Sex	3761	1622	101	99	
.	3866	1620	29	101	
Rufus	3911	1620	194	101	
Reg	4122	1618	101	102	
.	4227	1618	30	102	
IX	4274	1618	39	102	
.	4321	1618	29	102	
Urbisa	4376	1617	196	101	
cant	876	1739	119	89	
.	1004	1738	26	90	
Præterea	1075	1738	249	88	
palmi	1365	1734	170	90	
prope	1557	1733	146	90	
longitudine	1726	1731	317	89	
ex	2080	1728	52	90	
uno	2165	1728	106	90	
latere	2293	1726	162	91	
has	2473	1725	92	90	
Exſtant	2868	1707	230	95	
veſtigia	3115	1707	227	95	
quæ	3389	1707	96	95	
notantur	3531	1707	264	95	
Tab	3832	1707	95	95	
.	3940	1707	28	95	
II	3980	1707	54	95	
.	4027	1707	28	95	
num	4074	1707	108	95	
.	4211	1707	28	95	
17.	4253	1707	110	95	
III	4377	1707	68	95	
.	4443	1707	28	95	
&	4511	1707	28	95	
notas	863	1813	162	93	
habens	1068	1813	184	93	
,	1277	1813	27	93	
DOMINO	1342	1813	325	93	
.	1671	1813	26	93	
NOSTRO	1731	1813	325	93	
.	2065	1813	26	93	
HONORIO	2115	1813	370	93	
.;	2502	1813	70	93	
ejus	2880	1794	118	99	
indice	3012	1794	183	99	
num.ss.	3217	1794	268	99	
Oftenduntur	3512	1794	386	99	
autem	3920	1794	154	99	
ſcenographice	4133	1794	422	99	
ex	873	1915	57	78	
alio	979	1915	106	76	
,	1112	1914	21	77	
DOMINA	1173	1914	323	75	
.	1501	1912	21	77	
NOSTRA	1557	1912	326	76	
.	1896	1910	21	78	
MARIA	1938	1910	257	76	
.	2212	1909	21	77	
Sorex	2299	1909	149	75	
ex	2503	1907	55	77	
in	2877	1891	38	71	
Tab	2978	1893	101	73	
.	3093	1894	19	71	
XVII	3120	1894	130	73	
.	3253	1896	18	71	
Celydonia	883	1997	260	91	
,	1167	1996	26	92	
conchylia	1236	1996	254	90	
inſuper	1520	1994	188	90	
,	1730	1993	26	91	
ac	1794	1993	65	91	
patera	1867	1993	166	90	
ex	2054	1991	70	92	
cryſtallo	2141	1991	228	90	
.	2385	1989	26	92	
Au	2469	1989	65	92	
·	2733	1978	28	98	
Apollinis	2790	1978	276	97	
,	3085	1975	28	98	
&	3153	1975	28	98	
Clathræ	3227	1975	233	97	
in	3506	1972	54	98	
foro	3601	1972	112	98	
Salluſtii	3745	1970	241	97	
.	4005	1968	28	99	
Sex	4071	1968	99	99	
.	4174	1967	28	98	
Rufus	4219	1967	183	96	
,	4414	1965	29	98	
o	4495	1965	28	98	
sea	885	2078	86	102	
pila	1016	2078	105	102	
rotunda	1161	2078	228	102	
,	1398	2078	30	102	
perſimilis	1463	2078	270	102	
luſoriæ	1776	2078	186	102	
,	1976	2078	30	102	
que	2036	2078	104	102	
aperiri	2181	2078	204	102	
facile	2425	2078	142	102	
P.	2877	2072	59	80	
Viet	2953	2070	131	80	
.	3088	2068	24	82	
Reg	3132	2068	109	81	
.	3238	2067	24	82	
vi	3279	2065	62	82	
.	3330	2065	24	82	
Urbis	3385	2064	177	80	
.	3574	2062	24	82	
poterat	870	2186	199	87	
,	1081	2183	25	89	
cum	1155	2183	90	87	
in	1291	2181	49	89	
duas	1378	2180	125	88	
partes	1522	2178	171	87	
eſſet	1723	2177	114	88	
in	1878	2175	49	88	
nucis	1954	2175	154	87	
morem	2141	2172	167	87	
diviſa	2352	2170	182	87	
.	2553	2169	25	88	
Apollinis	2785	2157	288	98	
prope	3088	2154	177	100	
circum	3309	2151	184	99	
Caii	3553	2148	121	99	
&	3701	2146	31	101	
Neronis	3771	2144	254	98	
.	4042	2141	30	101	
Anaftaf	4121	2139	192	100	
.	4321	2136	30	101	
Biblio	4361	2136	195	100	
Aliæ	901	2255	98	96	
gemme	1043	2255	199	96	
innumerabiles	1289	2255	402	96	
fere	1737	2255	99	96	
,	1849	2255	28	96	
quæ	1918	2255	96	96	
tametfi	2057	2255	191	96	
majori	2278	2255	188	96	
ex	2496	2255	70	96	
thecar	2868	2236	172	92	
,	3043	2236	26	92	
in	3080	2236	53	92	
vit	3173	2236	78	92	
,	3256	2236	26	92	
SS	3299	2236	83	92	
.	3378	2236	27	92	
Petri	3435	2236	149	92	
Apoft	3612	2236	138	92	
.	3743	2236	26	92	
Cornelii	3883	2236	220	92	
.	4117	2236	27	92	
parte	865	2356	144	90	
vetuſtate	1042	2354	248	89	
corruptæ	1317	2351	230	90	
effent	1581	2348	146	91	
,	1734	2346	27	92	
nonnulla	1801	2346	238	90	
tamen	2075	2343	162	90	
,	2260	2341	27	92	
quaſi	2322	2341	148	90	
re	2483	2340	54	91	
Boni	2773	2329	157	86	
Eventus	2963	2329	241	86	
cum	3246	2329	99	86	
porticu	3402	2329	212	86	
.	3641	2329	25	86	
Ammian	3722	2329	220	86	
.	3954	2329	25	86	
Marcellin	4012	2329	267	86	
.	4295	2329	24	86	
lib	4340	2329	62	86	
.	4416	2329	24	86	
29	4454	2329	80	86	
.	4538	2329	25	86	
in	2866	2414	47	87	
fin	2975	2415	50	88	
.	3041	2415	24	88	
P.	3114	2415	48	89	
Vi	3195	2417	80	87	
&	3272	2417	24	87	
t	3298	2417	23	87	
.	3325	2417	24	87	
Reg	3390	2419	99	87	
.	3493	2419	24	87	
IX	3543	2420	32	87	
.	3592	2420	23	88	
Orbis	3645	2412	175	68	
centes	878	2449	161	82	
,	1050	2446	26	85	
ac	1110	2444	63	85	
nove	1192	2444	148	84	
,	1363	2441	26	85	
veterem	1442	2440	189	83	
nitorem	1684	2436	191	82	
fervabant	1939	2433	279	80	
.	2235	2428	25	85	
Hæc	2278	2427	137	83	
arca	2446	2425	121	84	
Recenſetur	3939	2412	346	98	
Cap	4310	2420	114	93	
.	4435	2422	24	91	
VI	4492	2423	48	91	
.	4545	2425	24	91	
adſervatur	865	2523	322	91	
in	1205	2522	53	90	
cryptis	1289	2520	199	91	
Vaticanis	1517	2519	291	90	
;	1823	2517	27	92	
ejus	1889	2517	112	90	
ſchema	2022	2515	221	90	
retulimus	2272	2514	299	90	
in	865	2612	52	92	
fronte	970	2611	181	90	
epiſtolæ	1189	2609	235	88	
dedicatoriæ	1476	2606	350	88	
:	1857	2601	27	92	
Bruti	2770	2583	166	89	
Callaici	2961	2585	249	89	
cum	3230	2585	101	90	
coloſſo	3398	2586	206	89	
Martis	3622	2588	205	89	
.	3853	2588	24	89	
Plin	3919	2588	119	90	
.	4042	2590	24	88	
lib	4108	2590	75	88	
.	4187	2590	24	88	
36.	4231	2590	112	90	
cap	4379	2591	75	89	
.	4458	2591	24	89	
sa	4515	2591	48	89	
Neronis	765	2699	255	79	
Domitii	1052	2698	239	79	
.	1315	2696	23	81	
Vide	1384	2696	140	79	
,	1530	2695	23	80	
Cn	1594	2695	91	80	
.	1684	2695	24	80	
Domitii	1723	2693	257	80	
Calvini	1997	2691	245	81	
.	2252	2691	23	81	
Cornel	2880	2673	176	94	
.	3049	2673	26	94	
Nep	3099	2673	107	94	
.	3210	2673	27	94	
apud	3247	2673	135	94	
Priſcian	3418	2673	219	94	
.	3648	2673	26	94	
lib	3711	2673	66	94	
.	3781	2673	27	94	
8.	3832	2673	52	94	
Sex	3904	2673	94	94	
.	4011	2673	26	94	
Ruf	4051	2673	122	94	
.	4172	2673	26	94	
&	4228	2673	27	94	
P.	4332	2673	70	94	
Vict	4412	2673	124	94	
,	4543	2673	26	94	
Paridis	774	2778	211	86	
.	1002	2782	22	82	
Martial	1065	2782	238	85	
.	1300	2785	22	82	
lib.11	1360	2785	177	84	
.	1542	2786	22	83	
epigr	1594	2788	128	83	
.	1736	2790	22	82	
14	1781	2790	75	82	
.	1862	2791	22	83	
Reg	2870	2763	118	93	
.	2988	2763	26	93	
1x	3017	2763	50	93	
.	3072	2763	26	93	
Vrbis	3141	2763	170	93	
.	3323	2763	27	93	
Recenſetur	3380	2763	357	93	
Cap	3759	2763	118	93	
.	3877	2763	26	93	
IVi	3925	2763	93	93	
art	4036	2763	82	93	
.	4111	2763	26	93	
VII	4156	2763	78	93	
.	4240	2763	26	93	
Syllæ	766	2872	154	93	
.	952	2870	28	95	
Epitom	1028	2870	173	94	
.	1223	2869	28	95	
in	1297	2869	36	93	
Liv	1405	2867	96	95	
.	1513	2867	29	95	
lib	1573	2866	70	95	
.	1649	2866	28	95	
90.	1696	2866	96	95	
Lucan	1818	2864	167	95	
.	1997	2864	29	95	
lib	2057	2862	70	95	
.	2133	2862	28	95	
2.	2170	2862	70	95	
Pharſalior	2257	2861	277	93	
:	2540	2859	28	95	
Caftoris	2781	2846	241	95	
in	3060	2846	54	95	
circo	3164	2846	144	95	
Flaminio	3347	2846	266	95	
.	3640	2846	28	95	
Vitruv	3711	2846	213	95	
.	3920	2846	28	95	
lib.4	3970	2846	117	95	
.	4104	2846	28	95	
cap.7	4157	2846	129	95	
.	4298	2846	28	95	
Recen	4340	2846	209	95	
Plutarch	871	2949	230	91	
.	1117	2953	23	89	
in	1160	2953	28	89	
Sylla	1242	2953	127	90	
,	1396	2954	23	89	
&	1460	2954	24	89	
in	1567	2956	28	89	
Pompejo	1639	2956	213	90	
.	1876	2959	24	89	
fetur	2872	2943	143	84	
Cap	3041	2946	108	83	
.	3156	2946	22	83	
IV	3201	2948	31	82	
.	3250	2948	21	82	
art	3304	2948	82	84	
.	3392	2949	21	83	
XII	3430	2949	82	85	
.	3509	2951	22	83	
-	687	3041	22	83	
Vinnii	783	3043	191	84	
Valentis	1015	3045	252	84	
.	1292	3046	22	83	
Plin	1362	3048	109	82	
.	1484	3049	22	83	
lib	1536	3049	57	83	
.	1610	3049	22	83	
7.	1659	3049	60	85	
cap	1754	3051	83	83	
.	1838	3051	22	83	
19	1883	3053	75	82	
.	1972	3053	22	82	
Cereri	2781	3026	194	74	
Eleuſinæ	3002	3026	254	74	
ab	3297	3026	56	74	
Hadriano	3383	3026	294	74	
dicatum	3723	3026	214	74	
.	3983	3026	20	74	
Sex	4062	3026	85	74	
.	4162	3026	20	74	
Aurel	4219	3026	157	74	
.	4377	3026	20	74	
Vid	4414	3026	104	74	
.	4541	3026	20	74	
Ulpii	758	3126	191	106	
Martialis	953	3126	289	106	
Aug.	1263	3126	163	106	
lib	1447	3126	76	106	
.	1526	3126	30	106	
Ex	1568	3126	76	106	
ruderibus	1678	3126	281	106	
,	1973	3126	29	106	
ſubjecta	2137	3126	228	106	
inſcri	2386	3126	171	106	
de	2866	3112	62	90	
Cæſaribus	2956	3114	278	96	
cap	3264	3122	75	91	
.	3354	3125	22	90	
14	3396	3125	64	91	
.	3482	3129	22	89	
ptione	857	3233	170	90	
,	1063	3230	27	92	
quæ	1134	3230	109	90	
,	1270	3229	27	91	
Fulvio	1341	3227	186	90	
,	1560	3225	27	92	
Faunoque	1641	3224	303	88	
auctoribus	1962	3221	321	88	
,	2299	3216	27	91	
inven	2357	3216	168	90	
-	2689	3202	25	90	
Dianæ	2775	3202	194	90	
in	3033	3202	33	90	
Circo	3139	3202	156	90	
Flaminio	3364	3202	257	90	
.	3665	3202	25	90	
Liv	3754	3202	115	90	
.	3869	3202	24	90	
lib	3933	3202	64	90	
.	4014	3202	25	90	
40.	4070	3202	115	90	
Recenſetur	4220	3202	345	90	
ta	855	3319	56	100	
ſunt	937	3317	134	100	
,	1079	3316	31	101	
quo	1154	3314	103	101	
loco	1288	3312	135	102	
deſcribitur	1439	3311	334	98	
.	1783	3308	30	101	
Cap	2861	3303	123	89	
.	2980	3301	28	92	
IV	3019	3300	55	91	
.	3074	3298	28	91	
art	3130	3296	93	90	
.	3216	3295	28	91	
11	3256	3295	38	90	
.	3290	3293	28	91	
DIS	1405	3432	98	54	
.	1522	3429	15	56	
MANIB	1562	3429	215	53	
.	1794	3425	16	57	
Floræ	2785	3382	144	92	
extra	2977	3380	139	92	
portam	3162	3380	185	92	
Collinam	3396	3379	267	91	
.	3713	3379	26	91	
Ovid	3767	3379	157	90	
.	3926	3377	26	92	
faſtor	3974	3377	147	92	
.	4113	3377	26	92	
lib.s.	4166	3377	152	90	
Vitruv	4332	3375	205	92	
.	4545	3375	26	92	
M.	743	3478	106	70	
VLPIO	866	3478	183	70	
.	1076	3478	20	70	
MARTIALI	1119	3478	359	70	
.	1473	3478	20	70	
AVG	1527	3478	132	70	
.	1679	3478	20	70	
LIB	1734	3478	89	70	
.	1828	3478	20	70	
A.	1892	3478	80	70	
MARMORIBVS	1982	3478	464	70	
.	2454	3478	20	70	
lib.7	2868	3468	124	93	
.	3004	3468	26	93	
cap.9	3046	3468	144	93	
.	3191	3468	26	93	
Martial	3246	3468	231	93	
.	3472	3468	26	93	
lib.s.	3541	3468	154	93	
epigr	3735	3468	137	93	
.	3875	3468	27	93	
23.	3919	3468	105	93	
Sex	4051	3468	93	93	
.	4146	3468	27	93	
Rufus	4201	3468	197	93	
,	4417	3468	27	93	
&	4491	3468	27	93	
Signa	685	3565	173	93	
mænium	897	3565	271	93	
Aurelianenſium	1226	3565	471	93	
.	1761	3565	27	93	
Vopifc	1863	3565	177	93	
.	2032	3565	27	93	
in	2131	3565	36	93	
Aureliano	2257	3565	273	93	
,	2539	3565	27	93	
P.	2883	3563	48	85	
Vi	2954	3561	80	85	
&	3038	3561	25	85	
t	3054	3561	25	85	
.	3082	3561	25	85	
Reg	3117	3559	109	86	
.	3229	3559	25	86	
vi	3280	3558	64	85	
.	3335	3558	25	85	
Vrbis	3396	3558	171	83	
.	3579	3556	25	85	
Epitom	871	3666	162	79	
.	1062	3664	23	81	
Sex	1134	3664	83	81	
.	1234	3663	23	80	
Aurel	1304	3663	158	80	
.	1465	3661	23	81	
Vi	1523	3661	88	80	
&	1605	3661	24	81	
t	1630	3661	23	81	
.	1654	3661	23	81	
in	1725	3659	29	81	
Aureliano	1833	3659	276	79	
.	2115	3658	23	80	
Exſtant	2185	3656	229	81	
hæc	2448	3655	116	80	
Fortis	2780	3643	168	89	
Fortunæ	2989	3643	241	89	
in	3283	3643	36	89	
Regione	3380	3643	273	89	
Tranſtiberina	3680	3643	404	89	
.	4112	3643	25	89	
Tacit	4180	3643	139	89	
.	4328	3643	25	89	
annal	4393	3643	160	89	
.	4545	3643	24	89	
mænia	834	3746	233	86	
.	1095	3746	25	86	
Notantur	1153	3746	291	86	
Tab	1486	3746	99	86	
.	1592	3746	25	86	
III	1642	3746	60	86	
.	1697	3746	25	86	
&	1758	3746	25	86	
ejus	1844	3746	113	86	
indice	1991	3746	176	86	
a	2202	3746	25	86	
num.266	2250	3746	287	86	
.	2542	3746	25	86	
lib.2	2864	3734	125	88	
.	2999	3734	25	88	
cap.zr.	3056	3732	223	89	
Varro	3319	3732	155	87	
lib.s.	3517	3730	162	89	
Donar	3706	3729	165	88	
.	3877	3729	25	88	
in	3937	3729	33	88	
Phormion	4037	3727	238	89	
.	4292	3727	24	89	
Terent	4363	3727	181	87	
.	4544	3726	24	88	
ad	856	3836	70	96	
311.	948	3836	159	96	
Recenſentur	1122	3836	385	96	
Cap	1519	3836	124	96	
.	1652	3836	28	96	
VI	1692	3836	54	96	
.	1739	3836	28	96	
art	1799	3836	82	96	
.	1874	3836	28	96	
XVII	1921	3836	125	96	
.	2036	3836	28	96	
act	2864	3827	78	81	
.	2946	3829	22	79	
s	2995	3829	21	79	
.	3027	3829	22	79	
foen	3093	3830	91	80	
.	3196	3830	22	80	
6	3237	3832	21	79	
.	3277	3832	22	79	
Simulacra	674	3911	312	88	
Deorum	1013	3916	228	86	
.	1291	3919	21	83	
Plin	1360	3921	110	84	
.	1484	3922	22	83	
lib	1536	3922	57	84	
.	1610	3924	22	83	
34.	1651	3924	102	84	
35.	1772	3926	103	84	
36	2006	3929	74	84	
.	2096	3930	21	83	
Fortunæ	2780	3907	232	93	
novum	3051	3907	189	93	
.	3285	3907	26	93	
Sex	3357	3907	96	93	
.	3452	3907	27	93	
Rufus	3493	3907	194	93	
,	3698	3907	26	93	
P.ViE	3844	3907	187	93	
.	4053	3907	26	93	
Reg	4091	3907	106	93	
.	4201	3907	26	93	
VII	4248	3907	78	93	
.	4324	3907	26	93	
Urbis	4364	3907	173	93	
.	4530	3907	27	93	
Ferarum	774	4006	228	86	
.	1049	4013	21	81	
Martial	1120	4014	231	85	
.	1344	4018	21	81	
lib.3	1412	4019	116	83	
.	1542	4022	22	81	
epigr	1610	4022	125	85	
.	1747	4026	21	81	
19	1801	4027	72	82	
.	1880	4027	21	81	
Hadriani	2768	3998	298	92	
.	3068	3998	27	92	
Jul	3131	3998	109	92	
.	3226	3998	27	92	
Capitolin	3273	3998	240	92	
.	3527	3998	26	92	
in	3567	3998	54	92	
Antonino	3667	3998	235	92	
Pio	3928	3998	91	92	
,	4033	3998	27	92	
L.Vero	4175	3998	219	92	
.	4408	3998	26	92	
Rew	4446	3998	111	92	
Sphæriſterium	667	4095	414	99	
.	1132	4095	28	99	
Strabo	1202	4095	176	99	
geograph	1405	4095	225	99	
.	1632	4095	28	99	
lib	1671	4095	73	99	
.	1752	4095	28	99	
5.	1805	4095	54	99	
Sueton	1879	4095	175	99	
.	2071	4095	28	99	
in	2118	4095	36	99	
Veſpaſiano	2197	4095	294	99	
.	2504	4095	28	99	
cenſetur	2869	4089	244	89	
Cap	3141	4092	111	87	
.	3261	4093	23	86	
VI	3304	4093	61	88	
.	3358	4095	23	86	
art	3408	4095	84	87	
.	3488	4097	24	85	
VIII	3538	4097	103	87	
.	3635	4098	23	86	
Stabula	681	4182	208	99	
IV	957	4184	54	97	
.	1025	4184	27	97	
factionum	1096	4184	286	98	
.	1418	4185	27	97	
Sex	1499	4185	82	99	
.	1596	4187	27	97	
Rufus	1644	4187	197	97	
,	1851	4187	27	97	
&	1920	4189	27	97	
P.	2036	4189	72	97	
Viet	2130	4189	127	96	
.	2265	4190	27	97	
Reg	2317	4190	111	97	
.	2432	4190	27	97	
Ix	2493	4190	53	97	
.	2551	4190	27	97	
Herculis	2767	4182	278	82	
extra	3066	4179	138	84	
portam	3240	4177	194	84	
Collinam	3487	4176	260	82	
.	3806	4172	25	86	
Liv	3880	4171	113	85	
.	4000	4171	25	85	
lib.26	4043	4169	166	85	
.	4226	4168	25	85	
Urbis	842	4271	182	73	
.	1042	4274	18	70	
-	2688	4269	29	95	
Jani	2777	4268	125	95	
extra	2941	4266	142	93	
portam	3135	4264	180	94	
Carmentalem	3371	4261	389	92	
.	3811	4256	28	95	
Liv	3887	4256	109	94	
.	3995	4255	28	95	
lib.1	4060	4255	126	93	
.	4189	4253	28	95	
Ovid	4242	4252	138	94	
.	4382	4250	29	95	
faſt	4456	4250	85	95	
.	4537	4248	29	95	
Stadium	679	4362	212	96	
.	948	4362	28	96	
Sex	1018	4362	83	96	
,	1113	4362	28	96	
Rufus	1152	4362	191	96	
,	1355	4362	28	96	
Con	1427	4362	70	96	
P.	1537	4362	70	96	
Vi	1619	4362	88	96	
&	1703	4362	28	96	
t	1723	4362	28	96	
.	1752	4362	28	96	
Reg	1813	4362	110	96	
.	1926	4362	28	96	
ix	1970	4362	36	96	
.	2023	4362	28	96	
Urbis	2081	4362	181	96	
.	2275	4362	28	96	
lib.i.	2863	4346	172	90	
2.	3151	4346	65	90	
Serv	3231	4346	141	90	
.	3370	4346	25	90	
in	3427	4346	47	90	
lib.7	3517	4346	120	90	
