content	x	y	w	h	
r.	26	40	117	47	
4'	63	1624	24	61	
IIIII.--	319	30	144	20	
I3o	347	242	42	25	
Key	395	320	31	25	
ofr	449	320	14	25	
F	483	320	0	25	
Major.	503	320	62	25	
-	679	0	0	24	
IIIa	1093	36	61	24	
MIILLENNIUM.	967	222	257	31	
Iz,	1272	222	30	31	
I,	1333	222	30	31	
I2,	1389	222	31	31	
I3-	1446	222	31	31	
.--------a	1726	31	211	66	
]--	2108	79	106	48	
r:3	2161	253	37	29	
zZion	1250	288	36	42	
Songster,	1310	288	90	42	
p.	1418	288	12	42	
63.	1448	288	21	42	
W.	1502	288	42	42	
WaAEnR,183I.	1565	288	150	42	
AIto	1751	288	33	42	
by	1802	288	12	42	
S.	1841	288	9	42	
M.	1874	288	18	42	
DEsoN,	1919	288	87	42	
19I1.]	2021	288	90	42	
C	2210	301	0	55	
xs+---	909	352	682	37	
t--g:-E-	837	355	1361	66	
(---22,	328	382	1799	93	
-	623	395	0	26	
,...ssoonen-c.	463	437	455	51	
s	966	437	0	51	
e	1039	437	5	51	
-este-	1126	437	140	51	
we	1353	437	44	51	
2-	1464	437	39	51	
n	1551	437	0	51	
.o	1784	437	82	51	
9.	1992	437	77	51	
;;G;	2146	437	68	51	
-,	2066	470	24	42	
ae=-EEE-EEtE.	563	503	1531	55	
e:J:.::;;::::,.	374	514	1823	145	
a.	465	589	10	49	
Bt	502	589	27	49	
tumh	589	589	40	49	
cuts	692	589	30	49	
it	772	589	10	49	
a	836	589	3	49	
-	862	589	0	49	
way,	882	589	47	49	
and	952	589	31	49	
love	1013	589	36	49	
melts	1066	589	47	49	
down	1159	589	40	49	
all	1236	589	17	49	
foes,	1283	589	43	49	
The	1376	589	30	49	
pure	1443	589	40	49	
word	1520	589	50	49	
of	1610	589	10	49	
e	1683	589	0	49	
will	1713	589	34	49	
con-er	1763	589	80	49	
all	1863	589	17	49	
who	1930	589	37	49	
op-pese-]	2000	589	114	49	
---=======x-====ztg.	658	629	1163	52	
E	2125	616	0	44	
LS	1997	643	18	25	
E:;-a2	456	650	1691	121	
-3-EEcz	489	667	247	34	
E12-	2029	666	190	26	
.	475	736	3	50	
Let	502	736	21	50	
all	601	736	18	50	
who	694	736	39	50	
would	748	736	57	50	
wish	817	736	39	50	
to	893	736	12	50	
see	953	736	24	50	
Mil	1019	736	24	50	
-	1061	736	3	50	
len	1082	736	21	50	
-	1124	736	0	50	
nium	1151	736	36	50	
be	1232	736	18	50	
-	1268	736	0	50	
gin,	1295	736	30	50	
Come	1361	736	48	50	
out,	1451	736	33	50	
and	1532	736	30	50	
e	1622	736	0	50	
eep-	1667	736	40	50	
a-	1725	736	21	50	
rate	1761	736	30	50	
from	1809	736	33	50	
sin	1866	736	21	50	
-	1908	736	3	50	
ners	1932	736	33	50	
and	1986	736	30	50	
sin.]	2037	736	75	50	
=EE:	991	783	1195	83	
lCEE	332	798	890	88	
32	368	825	63	32	
txztz=xz=z=	1282	832	395	29	
ttzc=zt:cc=--	1070	850	674	29	
--	2134	866	83	31	
z:ezEE-EEEE]	818	933	1297	100	
t	346	956	0	34	
zz=zc	527	958	253	25	
he-------------sr	958	947	444	24	
g	1036	975	0	42	
--ee----:	418	976	1238	91	
------	565	996	88	25	
aIIl	2073	940	36	39	
sz	1858	943	212	26	
------------------	1222	993	346	19	
When	466	1042	56	38	
Je-	556	1042	43	38	
sus'	631	1042	35	38	
pure	687	1042	40	38	
tes-	757	1042	48	38	
ti-	831	1042	32	38	
mo	890	1042	24	38	
-	933	1042	3	38	
ny	954	1042	14	38	
will	1010	1042	35	38	
gain	1109	1042	32	38	
the	1160	1042	27	38	
day,	1229	1042	35	38	
De	1317	1042	19	38	
-	1352	1042	0	38	
nom	1373	1042	27	38	
-	1440	1042	3	38	
i-	1472	1042	19	38	
na	1510	1042	16	38	
-	1542	1042	2	38	
tions,	1558	1042	53	38	
self-ish-ness	1635	1042	123	38	
will	1771	1042	35	38	
van	1835	1042	30	38	
-	1886	1042	3	38	
ish	1905	1042	18	38	
a	1963	1042	0	38	
-	1990	1042	3	38	
way.]	2014	1042	99	38	
lczc	337	1091	291	41	
---+---------rccsz=zzteerz=zrtznEE	819	1072	1360	49	
EE	858	1108	22	41	
IGEEE	332	1124	430	53	
iP-	2122	1044	78	34	
-----------4----------a----	1120	1110	437	21	
zE:EEI	903	1113	1191	68	
-]	2043	1117	55	19	
]----	2113	1117	90	19	
-=====--==-=	410	1152	583	62	
The	486	1182	29	46	
church	531	1182	56	46	
stands	611	1182	59	46	
in	699	1182	11	46	
pur-i-	763	1182	109	46	
ty,	902	1182	24	46	
in	963	1182	11	46	
peace	1009	1182	48	46	
