content	x	y	w	h	
48	365	327	43	26	
no	417	1107	34	32	
,	470	1112	5	31	
Risposta	780	305	128	51	
alla	938	302	55	52	
Canzonetta	1028	300	188	49	
sullo	1240	295	79	52	
sfratto	1330	293	119	51	
di	1478	290	30	52	
Piazza	1538	288	107	51	
Navona	1673	285	130	51	
Portandosi	409	372	181	36	
il	601	371	27	37	
Banchetto	638	371	167	36	
.	823	370	10	37	
Dentro	1026	355	118	49	
delle	1165	355	79	49	
Botteghe	1258	355	148	49	
,	1416	355	14	49	
Far	1648	345	61	51	
Circolo	1724	344	122	50	
gradito	1857	342	122	50	
,	1991	340	15	52	
Ma	405	416	65	39	
se	477	417	29	39	
li	527	417	21	39	
fece	561	417	65	40	
danno	648	418	97	40	
,	762	419	11	39	
E	1034	410	11	37	
sotto	1063	409	72	35	
i	1155	406	11	37	
Tavolati	1186	405	139	33	
.	1339	400	11	37	
OTO	1414	404	52	34	
Ma	1641	397	66	35	
in	1717	395	20	37	
filo	1761	394	38	36	
,	1807	392	11	37	
acciò	1831	391	84	35	
che	1935	388	55	34	
resti	2002	385	73	35	
Questa	418	468	113	45	
dura	550	468	70	45	
partita	633	468	111	45	
,	749	468	12	45	
Nè	1022	453	66	37	
inen	1096	451	64	38	
di	1182	449	30	39	
loro	1222	449	66	37	
Spicciato	1654	443	145	47	
il	1819	438	20	50	
vago	1850	437	76	48	
sito	1940	434	57	49	
.	2013	431	16	50	
Cercò	412	514	95	50	
far	526	513	44	51	
questa	592	512	106	51	
Historia	708	511	130	50	
Ognun	1031	502	112	39	
restò	1161	499	70	40	
dolente	1252	497	123	38	
,	1388	494	12	41	
Cantano	1651	492	139	36	
,	1809	490	10	38	
e	1848	489	10	38	
sonano	1875	489	112	37	
,	2004	488	10	38	
Per	411	568	63	42	
campar	483	566	126	41	
la	623	563	24	43	
Vita	664	562	64	42	
,	742	561	13	43	
Per	1032	546	55	37	
non	1096	545	60	38	
vedere	1179	544	103	37	
Hor	1653	535	71	48	
che	1732	533	64	47	
hanno	1805	531	106	46	
largo	1924	528	78	48	
il	2019	526	28	48	
loco	2061	525	63	47	
,	2138	523	15	49	
E	419	616	9	31	
per	443	618	61	37	
ogni	517	613	79	36	
Cantone	598	609	142	32	
In	1038	589	24	44	
