content	x	y	w	h	
ſogt	9	237	57	77	
.	70	242	13	73	
M	968	300	17	59	
EDWIDE	541	643	100	27	
6	1400	1469	7	27	
12	-1	1526	25	29	
.	12	1523	16	32	
Ik	494	1485	42	58	
ben	555	1485	76	58	
krank	651	1485	135	58	
geweeſt	806	1485	162	58	
,	978	1485	16	58	
ende	997	1485	94	58	
gy	1110	1485	54	58	
hebt	1179	1485	106	58	
my	1302	1502	77	36	
beſogt	752	1538	150	59	
:	900	1538	17	59	
Matth.25.36	915	1538	267	59	
.	1182	1538	17	59	
lendige	6	1608	61	34	
:	59	1599	19	41	
de	80	1595	23	41	
De	2	1694	29	39	
Here	29	1690	44	38	
zal	74	1684	30	39	
15	1917	1689	25	31	
pugalebo	8	1739	97	29	
