content	x	y	w	h	
3-1	1357	278	95	54	
DOCKED	598	388	199	71	
DEACTIVATION	845	386	396	69	
(	1291	382	22	73	
UNSTAGED	1319	382	264	70	
)	1595	379	22	73	
1	448	531	6	57	
V37E	608	533	125	53	
06E	775	532	92	53	
F	609	603	19	63	
50	676	601	59	63	
25	778	600	59	62	
,	852	598	19	63	
00062	912	597	164	60	
CB	609	660	53	71	
(	683	660	20	71	
11	708	660	65	71	
)	777	660	20	71	
IMU	857	660	82	71	
OPR	985	660	91	71	
-	1123	660	20	71	
Open	1183	660	127	71	
PRO	605	732	91	69	
(	751	730	21	70	
Hold	776	730	126	69	
In	959	728	40	70	
Until	1045	727	170	69	
STBY	1261	725	127	69	
Lt	1419	724	77	69	
-	1497	723	21	70	
On	1521	723	66	69	
)	1596	722	21	70	
DOCKED	2471	915	61	199	
DEACTIVATION	2469	675	60	400	
(	2532	773	74	21	
UNSTAGED	2532	745	75	268	
)	2533	469	74	21	
2	448	875	6	55	
.	470	875	2	55	
CB	608	868	66	71	
(	684	867	21	71	
16	711	867	53	71	
)	785	867	21	71	
AEA	845	866	92	71	
-	986	865	21	71	
Open	1047	864	128	71	
(	1231	863	21	71	
AGS	1259	863	91	70	
Warn	1385	862	128	70	
Lt	1558	861	66	70	
-	1634	860	21	71	
ON	1659	860	66	71	
)	1735	859	21	71	
AGS	610	932	94	80	
STATUS	750	931	192	80	
-	990	929	24	81	
OFF	1055	929	94	80	
(	1228	927	24	81	
AGS	1261	927	94	81	
Warn	1387	926	126	80	
Lt	1559	925	76	81	
-	1638	924	24	81	
OFF	1657	924	105	81	
)	1769	923	24	81	
3	452	1086	4	45	
SUIT	611	1078	127	58	
GAS	776	1076	94	59	
DIVERTER	914	1075	262	57	
-	1196	1072	18	59	
EGRESS	1223	1072	201	58	
PRIM	610	1144	123	59	
EVAP	775	1142	138	59	
FLOW	953	1140	126	59	
No.	1118	1137	105	61	
1	1266	1136	18	61	
-	1334	1135	18	61	
CLOSE	1401	1134	153	60	
(	686	1210	21	72	
Dryout	710	1209	207	70	
Complete	954	1206	269	69	
In	1271	1202	41	71	
90	1370	1200	55	72	
min	1452	1199	104	71	
)	1570	1198	21	72	
Start	612	1284	163	55	
Watch	811	1281	169	55	
4	452	1426	3	48	
MASTER	601	1416	205	59	
ARM	854	1413	88	60	
-	996	1412	18	61	
OFF	1061	1411	96	60	
AUDIO	618	1484	157	67	
(	829	1481	21	69	
CDR	853	1481	90	68	
)	962	1480	21	69	
-	1032	1479	21	69	
All	1091	1479	99	68	
Switches	1234	1477	264	66	
-	1508	1474	21	69	
OFF	1532	1474	99	68	
CH	2478	1821	65	58	
.	2479	1759	64	17	
DOCKED	2479	1730	66	194	
DEACTIVATION	2482	1490	68	396	
(	2551	1518	70	19	
STAGED	2552	1493	72	197	
)	2555	1283	70	19	
5	451	1633	4	49	
HELIUM	610	1624	196	57	
MON	850	1621	94	58	
-	1000	1619	18	59	
OFF	1063	1619	93	58	
02	612	1694	66	69	
/	689	1692	21	71	
H20	710	1692	103	70	
QTY	859	1689	93	69	
MON	987	1687	102	69	
-	1136	1684	21	71	
DES	1195	1683	92	70	
2	1344	1681	21	71	
6	451	1835	3	49	
MODE	614	1822	136	72	
CONTROL	795	1820	218	71	
(	1071	1817	22	73	
Both	1099	1816	120	72	
)	1233	1815	22	73	
-	1307	1814	22	73	
OFF	1373	1813	95	72	
RCS	614	1894	98	74	
SYS	763	1892	86	74	
A	893	1890	22	75	
/	931	1890	22	75	
B	961	1890	22	75	
-	999	1889	22	75	
2	1037	1889	22	75	
QUAD	1097	1888	135	74	
1,2,3,4	1268	1886	236	72	
(	1517	1883	22	75	
4	1539	1882	22	75	
)	1577	1882	22	75	
-	1653	1881	22	75	
OFF	1713	1880	97	74	
4	2480	1950	58	16	
.	2480	1915	58	16	
7	458	2040	5	49	
Window	615	2032	197	66	
Shades	865	2028	194	67	
-	1105	2025	21	69	
Close	1171	2024	162	67	
CDR	616	2106	96	60	
Transfer	760	2104	262	58	
to	1073	2100	46	61	
CSM	1170	2099	88	60	
INV	630	2168	90	63	
-	766	2167	18	63	
OFF	826	2167	100	63	
8	454	2311	14	53	
DATE_4	277	2573	50	242	
/	259	2328	66	24	
5	257	2300	66	24	
/	254	2259	66	24	
71	253	2238	62	79	
Configure	625	2303	301	68	
CB's	962	2298	133	71	
Per	1132	2295	95	72	
UNSTAGED	1266	2293	276	67	
INITIAL	1591	2287	214	70	
DEACTIVATION	693	2375	398	57	
Charts	1142	2370	191	59	
EQUIPMENT	2458	3282	67	306	
CYCLING	2457	2935	68	226	
PLAN	2522	3278	75	124	
(	2524	3093	74	20	
NO	2524	3076	74	67	
COOLING	2525	2968	75	226	
)	2527	2726	74	20	
