content	x	y	w	h	
.	5175	1305	4	58	
num	1865	2477	142	50	
28	1897	904	111	79	
CAMPUS	2656	851	504	120	
MARTIUS	3209	846	599	120	
ANTIQUÆ	3874	841	615	119	
URBIS	4558	836	379	121	
.	4959	833	36	124	
dem	1905	1073	133	131	
Provincia	2169	1072	397	128	
abſtulit	2679	1069	277	130	
,	2993	1067	38	130	
&	3139	1067	38	130	
eas	3326	1065	133	131	
præcipue	3539	1065	354	129	
,	3945	1062	38	130	
quas	4076	1062	183	129	
equeſtres	4358	1060	349	129	
a	4803	1057	37	131	
Lylippo	4953	1057	311	129	
fieri	5360	1056	181	128	
vo	5636	1054	117	129	
luit	1907	1173	128	129	
Alexander	2134	1172	391	128	
Macedo	2638	1168	320	129	
,	2983	1167	38	130	
expreſa	3089	1165	322	129	
eorum	3486	1164	228	128	
equitum	3815	1160	308	129	
fimilitudine	4234	1159	494	127	
,	4780	1156	38	130	
qui	4898	1154	131	130	
e	5112	1152	38	131	
fuo	5239	1152	111	129	
exercitu	5418	1151	323	128	
apud	1892	1305	194	108	
Granicum	2174	1304	405	96	
ceciderant	2708	1293	435	94	
De	3325	1281	117	90	
hoc	3509	1280	118	90	
Metello	3728	1276	297	90	
ita	4142	1273	93	92	
ait	4327	1272	119	91	
Hic	5286	1272	150	94	
idem	5554	1281	138	93	
Paterculus	4532	1275	449	94	
(	5038	1267	30	101	
1	5059	1267	30	101	
)	5078	1267	31	101	
primus	1886	1396	297	135	
omnium	2218	1392	291	136	
Romæ	2603	1389	255	137	
ædein	2911	1388	213	135	
ex	3207	1386	79	137	
marmore	3328	1384	373	135	
in	3766	1381	51	137	
iis	3886	1381	101	135	
ipfis	4044	1380	147	135	
monumentis	4243	1378	519	134	
(	4828	1373	40	137	
nimirum	4893	1373	339	135	
prope	5328	1370	217	135	
pora	5586	1368	165	135	
ticum	1895	1492	191	139	
,	2161	1491	41	140	
de	2259	1489	105	140	
qua	2448	1489	141	138	
diximus	2656	1488	323	138	
,	3012	1484	41	140	
&	3139	1484	42	140	
ftatuarum	3289	1483	393	138	
ornatum	3766	1479	325	139	
,	4161	1478	41	140	
quas	4256	1476	199	140	
tranſtulerat	4519	1475	504	138	
e	5083	1471	41	140	
Macedonia	5191	1471	470	137	
)	5692	1468	41	140	
molitus	1868	1615	316	112	
,	2206	1610	36	117	
vel	2300	1608	135	116	
magnificentiæ	2440	1607	533	109	
,	3017	1599	35	117	
vel	3122	1597	137	116	
luxuriæ	3299	1594	264	114	
princeps	3634	1589	339	114	
fuit	4055	1584	124	116	
(	4234	1581	35	117	
o	4256	1581	36	117	
VI	1992	1708	112	121	
.	2087	1707	35	120	
Per	2224	1707	143	119	
hæc	2438	1705	156	121	
ipfa	2667	1703	138	121	
tempora	2898	1702	316	119	
(	3286	1699	35	120	
Metelli	3418	1699	299	119	
porticus	3799	1695	334	119	
ad	4197	1694	112	119	
delubrum	4363	1692	361	119	
Jovis	4814	1689	220	119	
Statoris	5120	1687	330	119	
orna	5526	1684	207	121	
ta	1878	1805	89	124	
eſt	2061	1803	73	124	
acceſſione	2229	1803	384	123	
aliarum	2667	1800	293	122	
duarum	3057	1799	293	122	
ædium	3454	1797	249	122	
,	3766	1795	36	124	
Jovis	3850	1794	225	124	
fcilicet	4164	1792	265	124	
iterum	4514	1791	231	123	
,	4814	1789	36	124	
non	4920	1789	143	124	
tamen	5146	1787	250	123	
Stato	5497	1786	239	122	
ris	1881	1918	115	112	
,	2034	1916	33	113	
&	2148	1916	33	113	
Junonis	2300	1915	302	111	
(	2685	1913	33	113	
Tab	2796	1913	115	111	
.	2938	1911	33	113	
IIII	3012	1911	101	113	
.	3109	1911	33	113	
fig	3204	1910	80	112	
.	3293	1910	32	112	
II	3367	1910	42	112	
.	3418	1908	33	113	
num	3520	1908	129	113	
.	3692	1907	33	112	
24.	3771	1907	130	112	
)	3932	1907	33	112	
,	4024	1905	33	113	
de	4125	1908	83	111	
quibus	4272	1908	268	111	
fic	4604	1908	81	111	
Plinius	4765	1908	305	111	
(	5110	1908	33	111	
»	5133	1908	32	111	
)	5155	1908	33	111	
:	5223	1908	33	111	
Nec	5319	1908	159	111	
Sau	5569	1908	160	111	
rum	1880	2008	119	137	
,	2070	2008	40	137	
atque	2170	2008	214	137	
Batrachum	2457	2008	386	137	
obliterari	2970	2008	366	137	
convenit	3418	2008	363	137	
,	3805	2008	39	137	
qui	3930	2008	117	137	
fecere	4111	2008	244	137	
templa	4435	2008	261	137	
Octaviæ	4780	2008	305	137	
porticibus	5178	2008	393	137	
in	5627	2008	102	137	
cluſa	1874	2108	173	140	
,	2085	2108	41	140	
natione	2199	2108	299	140	
ipſi	2554	2108	146	140	
Lacones	2760	2108	322	140	
:	3134	2108	41	140	
Quidam	3273	2108	269	140	
&	3672	2108	41	140	
opibus	3817	2108	262	140	
præpotentes	4159	2108	487	140	
fuiſſe	4726	2108	219	140	
eos	5023	2108	139	140	
putant	5229	2108	275	140	
,	5545	2108	41	140	
ac	5648	2108	77	140	
ſua	1873	2237	122	117	
impenfà	2095	2232	301	112	
conftruxifle	2488	2222	440	109	
inſcriptionem	3130	2208	492	129	
fperantes	3742	2214	368	130	
;	4155	2219	34	125	
qua	4277	2221	139	126	
negata	4492	2222	246	128	
hoc	5014	2224	148	93	
tamen	5247	2229	225	92	
alio	5587	2234	115	90	
loco	1871	2326	164	118	
&	2118	2327	31	116	
modo	2242	2329	244	118	
uſurpaſſe	2572	2332	351	118	
Sunt	3078	2319	191	116	
certe	3352	2321	180	116	
etiamnum	3621	2324	344	116	
in	4100	2327	43	115	
columnarum	4218	2327	468	118	
fpiris	4803	2332	215	116	
inſcalpta	5093	2334	342	116	
nomi	5491	2337	228	116	
eorum	2123	2443	218	109	
argumenta	2467	2440	411	106	
,	2915	2435	34	111	
lacerta	3019	2434	255	109	
,	3310	2432	34	111	
atque	3409	2430	234	109	
rana	3695	2427	174	109	
(	3908	2425	34	111	
d	3931	2425	33	111	
)	3965	2425	33	111	
VII	1967	2530	146	128	
.	2091	2530	38	128	
Anno	2256	2530	197	128	
poft	2531	2530	132	128	
Urbem	2723	2530	254	128	
conditam	3099	2530	347	128	
dcxvII	3550	2530	226	128	
.	3755	2530	37	128	
P.	3867	2530	94	128	
Furio	4004	2530	236	128	
Philo	4332	2530	200	128	
,	4580	2530	37	128	
Sex	4667	2530	128	128	
,	4812	2530	37	128	
Atilio	4912	2530	213	128	
Serrano	5208	2530	326	128	
Cos	5582	2530	128	128	
.	5701	2530	38	128	
D.	1877	2641	110	120	
Junius	2040	2641	270	120	
Brutus	2390	2641	269	120	
Callaicus	2736	2641	383	120	
,	3142	2641	35	120	
poſtquam	3249	2641	342	120	
de	3689	2637	97	135	
Luſitanis	3847	2638	395	138	
Galatiiſque	4287	2641	497	139	
triumphavit	4859	2646	502	139	
,	5399	2651	37	134	
ædem	5499	2653	192	135	
ſibi	1869	2759	153	127	
cognominem	2085	2756	467	125	
prope	2688	2751	203	127	
Circum	2970	2748	266	127	
Flaminium	3349	2745	435	125	
exſtruxit	3889	2740	360	125	
Tab	4421	2746	126	115	
.	4577	2748	30	113	
IIII	4635	2749	114	115	
.	4748	2753	30	113	
fig	4880	2754	80	115	
.	4977	2756	30	113	
II	5064	2757	39	115	
.	5102	2759	30	114	
num	5222	2764	154	112	
.	5407	2767	29	110	
25.	5481	2769	126	112	
)	5629	2770	29	110	
:	5695	2772	29	110	
Mars	1850	2852	226	122	
eſt	2146	2852	102	122	
,	2290	2852	34	122	
inquit	2409	2852	228	122	
Plinius	2699	2852	320	122	
(	3050	2852	35	122	
3	3074	2852	35	122	
)	3099	2852	34	122	
coloſſeus	3254	2849	354	125	
ejufdem	3700	2853	262	122	
(	4103	2856	33	121	
ideſt	4177	2856	174	122	
Scopæ	4430	2857	211	123	
opus	4714	2859	185	123	
)	4949	2861	33	121	
in	5062	2862	64	121	
templo	5202	2862	251	123	
Bruti	5533	2865	205	123	
Callaici	1869	2958	299	122	
apud	2227	2958	191	122	
Circuin	2507	2958	281	122	
eumdem	2896	2958	285	122	
ad	3313	2958	65	122	
Flumentanam	3479	2958	518	122	
Portam	4116	2958	242	122	
eunti	4488	2958	204	122	
Hoc	5123	2956	174	128	
templum	5378	2969	298	131	
jure	1873	3072	139	107	
fibi	2093	3067	152	109	
vindicavit	2314	3064	392	104	
Mars	2770	3054	212	109	
(	3040	3051	34	110	
4	3051	3051	34	110	
)	3080	3049	34	111	
tanto	3255	3065	179	96	
coloſſo	3532	3065	263	96	
ibi	3884	3065	108	96	
fimulatus	4058	3065	369	96	
.	4452	3065	28	96	
VIII	1964	3168	162	110	
.	2119	3168	31	110	
Anno	2285	3168	195	110	
Urbis	2552	3168	230	110	
DCXLIIII	2878	3168	245	110	
.	3120	3168	31	110	
I.	3247	3168	102	110	
Cæcilio	3403	3168	275	110	
Metello	3767	3168	306	110	
,	4132	3168	31	110	
qui	4255	3172	136	122	
poftea	4475	3173	219	123	
Numidicus	4783	3175	465	124	
appellatus	5320	3180	407	122	
eft	1866	3262	87	121	
,	2026	3264	33	121	
M.	2148	3264	130	121	
Junio	2303	3265	219	121	
Silano	2609	3267	265	121	
Cos	2948	3268	139	121	
.	3089	3268	34	121	
M.	3194	3270	158	121	
Minucius	3404	3270	396	123	
Rufus	3890	3273	256	123	
,	4181	3275	33	121	
poſtquam	4301	3275	349	123	
de	4778	3278	88	121	
Scordiſcis	4949	3278	417	124	
Tribal	5452	3281	270	123	
lifque	1866	3372	243	129	
ex	2176	3373	70	128	
Thracia	2351	3373	321	129	
triumphavit	2769	3375	508	130	
,	3307	3378	37	127	
exftruxit	3439	3378	367	129	
in	3890	3380	71	129	
Campo	4066	3381	256	129	
Martio	4424	3383	310	129	
porticus	4814	3384	338	130	
(	5267	3386	36	127	
Tab	5368	3386	127	129	
.	5512	3388	36	127	
IIII	5597	3388	111	127	
.	5705	3388	37	127	
fig	1861	3471	88	125	
.	1955	3471	35	125	
II	2035	3473	47	124	
.	2093	3473	35	124	
num	2177	3473	135	126	
.	2358	3475	35	124	
26.	2442	3475	121	126	
)	2609	3476	35	125	
,	2696	3476	35	125	
de	2819	3478	92	124	
quibus	3002	3478	248	126	
Paterculus	3330	3479	436	128	
(	3815	3483	34	124	
)	3866	3483	35	124	
:	3940	3483	35	124	
Per	4063	3484	139	125	
eadem	4280	3486	209	124	
tempora	4637	3488	329	125	
clarus	5060	3489	227	126	
ejus	5365	3491	143	126	
Mi	5570	3492	157	126	
nucii	1844	3594	210	84	
qui	2205	3575	126	129	
porticus	2380	3576	307	129	
,	2743	3578	36	127	
quæ	2845	3579	126	128	
hodie	3077	3581	229	128	
celebres	3391	3583	315	129	
funt	3770	3584	160	129	
,	3955	3586	36	127	
molitus	4045	3587	310	130	
eft	4435	3589	90	128	
,	4561	3591	36	127	
ex	4662	3591	93	127	
Scordiſcis	4830	3592	391	129	
triumphus	5299	3596	436	129	
Duas	2282	3679	210	128	
nempe	2543	3683	252	127	
:	2825	3684	34	126	
alteram	2925	3686	295	129	
,	3284	3689	35	126	
poſtea	3401	3691	237	127	
