content	x	y	w	h	
DACI	681	144	161	42	
20	893	146	73	38	
PAGE	624	193	166	61	
30	858	188	50	64	
DATE	3485	156	162	76	
4/12/71	3697	157	305	78	
G	202	720	90	26	
&	201	648	90	26	
C	201	585	90	26	
DISPLAYS	285	851	81	467	
DPS	1891	887	143	65	
ĐSP	1901	956	120	69	
MAL	2060	954	121	68	
FUNCTION	2203	953	323	66	
INDEX	2585	949	198	68	
PGNS	224	1483	96	239	
1	1157	1301	6	65	
DES	1571	1289	118	86	
REG	1741	1290	107	86	
lu	4479	1659	10	21	
la	1144	1547	81	87	
FUEL	1318	1544	144	87	
/	1490	1543	27	88	
OXID	1518	1543	162	86	
PRESS	1739	1541	203	86	
ABNORMAL	1984	1539	332	84	
2	1143	1634	25	84	
FUEL	1320	1632	151	82	
/	1493	1629	25	84	
OXID	1521	1629	160	83	
TEMP	1745	1627	151	82	
ABNORMAL	1947	1625	320	80	
He	1304	1719	84	73	
PRESS	1434	1718	211	73	
ABNORMAL	1695	1716	319	72	
DES	1311	1797	117	80	
He	1473	1796	93	81	
REG	1610	1795	104	81	
1	1789	1794	24	81	
(	1830	1794	24	81	
2	1872	1794	23	81	
)	1909	1794	23	81	
TB	2042	1793	61	81	
-	2128	1793	24	81	
BP	2156	1793	75	80	
DES	1309	1883	120	84	
HE	1474	1882	94	84	
REG	1606	1882	120	83	
2	1790	1881	25	84	
(	1833	1881	24	84	
1	1875	1881	25	84	
)	1909	1881	24	84	
TB	2032	1880	77	84	
-	2121	1880	25	84	
GRAY	2159	1880	163	82	
3	1162	1724	6	65	
4	1156	1806	6	66	
or	1128	1951	57	62	
AGS	216	2206	90	197	
6	1147	2192	4	59	
DES	1610	2175	114	85	
QTY	1785	2180	113	85	
0o	1140	2536	37	42	
v	1139	2448	36	10	
PQGS	1310	2389	161	81	
IND	1531	2387	107	81	
ABNORMAL	1698	2384	314	80	
FUEL	1313	2464	155	95	
VENT	1532	2464	159	95	
(	1744	2464	26	95	
OXID	1781	2464	151	95	
VENT	1986	2464	176	95	
)	2164	2464	27	95	
TB	2261	2464	53	95	
-	2336	2464	26	95	
ABNORMAL	2371	2464	331	95	
8	1150	2477	21	68	
CES	234	2939	85	162	
DPS	161	3633	87	186	
