content	x	y	w	h	
7/1/71	565	187	124	45	
EQUIPMENT	233	455	375	74	
PREP	655	455	149	74	
EVA	864	455	104	74	
3	1041	455	21	74	
PLSS	3599	458	148	65	
COMM	3810	460	146	63	
CHECK	4013	461	203	63	
PLSS	1903	715	160	64	
DONNING	2120	716	275	66	
Stow	235	623	147	81	
PGA	446	625	114	81	
Gas	606	625	127	81	
Conn	782	625	146	82	
Plugs	985	626	195	81	
In	1245	628	59	81	
Purse	1369	628	195	81	
Empty	235	712	201	79	
PGA	489	710	116	81	
Pockets	652	709	280	79	
Into	993	707	144	80	
Purse	1196	706	198	79	
PGA	238	793	115	79	
Relief	405	793	247	81	
Valve	697	794	205	81	
Cap	949	796	112	79	
In	1121	796	58	79	
Pkt	1242	796	114	81	
Verify	235	877	236	79	
Watch	521	874	198	79	
On	778	872	75	81	
PGA	907	871	114	80	
Verify	3680	620	236	88	
Powerdown	3970	623	369	89	
CB	4392	628	75	86	
Configuration	4523	629	514	91	
H	5149	637	22	84	
(	3774	703	24	87	
White	3802	703	202	89	
Dots	4062	706	158	87	
Out	4266	707	123	88	
)	4395	707	23	87	
0	5151	724	16	63	
Verify	3684	792	242	89	
Voice	3974	792	193	89	
Comm	4228	792	139	89	
With	4417	792	164	89	
Hou	4628	792	127	89	
U	5149	813	17	56	
&	5149	939	16	53	
Perform	226	1035	274	92	
OPS	575	1035	105	92	
Check	730	1035	202	92	
(	995	1035	27	92	
Both	1032	1035	150	92	
)	1202	1035	26	92	
*	1915	881	20	71	
*	2001	881	20	71	
*	2088	881	20	71	
*	2166	881	20	71	
LMP	2239	881	120	71	
1st	2410	881	121	71	
:	2546	881	20	71	
*	2625	881	21	71	
*	2711	881	20	71	
*	2790	881	21	71	
*	2877	881	21	71	
Set	1909	962	112	76	
PLSS	2082	965	150	76	
On	2287	968	64	74	
Mid	2410	970	114	75	
-	2545	971	19	74	
Step	2586	971	147	77	
Verify	1911	1045	236	86	
OPS	2201	1046	120	86	
Reg	2372	1048	120	84	
Decay	2537	1049	204	85	
Unstow	1904	1134	239	73	
02	2208	1134	66	73	
Nozzle	2323	1134	245	73	
&	2631	1134	21	73	
Antenna	2706	1134	285	73	
Lead	3033	1134	161	73	
Secure	1908	1210	247	91	
Flaps	2207	1217	197	90	
C	5146	1066	14	54	
D	5151	1147	3	61	
