content	x	y	w	h	
2	604	355	29	48	
RUDIMENTS	1636	357	462	55	
Contnued	2135	360	305	56	
Octave.	1075	418	287	52	
An	594	476	56	32	
octave	667	480	128	30	
is	812	477	32	34	
an	861	487	44	23	
interval	923	477	152	35	
of	1091	479	38	33	
eight	1144	480	96	42	
degrees,	1256	481	161	41	
orfe	463	521	67	30	
and	539	520	69	31	
includes	620	520	160	35	
eight,	799	523	107	38	
as	926	533	40	22	
follows;	984	522	148	39	
The	1463	480	77	33	
first	1552	481	78	33	
octave	1642	486	129	28	
begins	1780	483	127	41	
on	1922	492	43	21	
number	1976	481	149	35	
5	1268	986	28	29	
9	1273	1019	19	25	
K	1358	970	31	31	
10	1366	1003	49	29	
a	1084	1015	26	29	
7	1088	1048	17	27	
?!	1450	957	55	62	
8	1181	1035	17	24	
7	1550	943	17	26	
12	1550	970	54	33	
1-	992	1032	27	29	
4.	808	1095	25	24	
5	903	1080	16	25	
&	993	1063	26	32	
2	624	1125	20	29	
3	716	1108	19	28	
4	808	1095	25	29	
There	594	717	115	34	
is	724	721	31	30	
a	767	729	23	23	
general	807	720	142	41	
scale	968	721	98	31	
in	1078	721	35	32	
which	1126	721	117	33	
the	1261	722	59	32	
tones	1334	725	101	30	
extends	1453	721	147	34	
not	1617	727	61	28	
only	1695	724	84	40	
from	1791	724	91	31	
one	1900	733	68	23	
to	1982	728	34	28	
eight	2031	724	96	43	
but	462	761	64	34	
from	543	762	93	33	
one	654	773	69	22	
to	734	768	36	28	
fifteen;	786	763	136	38	
This	970	764	87	32	
is	1074	766	33	32	
called	1125	766	115	33	
The	853	806	160	47	
Extended	1038	805	381	50	
Scale.	1452	807	225	49	
Number	596	863	163	35	
eight	777	864	96	44	
of	891	865	36	32	
the	945	865	59	32	
first	1019	865	78	33	
octave	1115	872	129	28	
is	1257	869	29	31	
number	1299	868	150	32	
one	1460	877	68	22	
of	1539	868	34	32	
the	1591	869	59	32	
second	1662	869	133	32	
octave,	1812	874	140	33	
viz:	1972	871	67	33	
13	1674	958	48	27	
So	599	1189	49	32	
the	666	1189	59	33	
first	742	1189	78	34	
octave	837	1195	129	27	
numbers	985	1190	170	34	
from	1171	1191	93	32	
“one	1283	1190	96	33	
to	1392	1196	34	27	
eight’’	1444	1190	124	42	
and	1587	1192	68	31	
the	1673	1191	59	33	
second	1750	1190	133	34	
octave	1899	1195	127	27	
from	2037	1191	92	33	
‘eight	472	1230	114	44	
to	602	1237	36	29	
fifteen’’and	654	1233	237	35	
the	905	1234	60	33	
third	983	1235	93	32	
from	1090	1235	94	32	
“fifteen	1204	1234	153	33	
to	1373	1240	36	28	
twenty-two”	1428	1233	249	43	
ect.	1710	1240	69	29	
In	1829	1235	38	32	
the	1896	1235	61	32	
general	1987	1234	143	43	
scale,	463	1276	109	41	
in	589	1279	36	29	
the	641	1278	59	32	
sam	712	1289	78	22	
way	800	1289	81	32	
with	896	1280	85	31	
ail	1000	1281	46	31	
addiiional	1063	1279	188	35	
tones	1268	1283	102	30	
or	1385	1289	40	23	
octaves,	1441	1284	162	34	
fifteen	1620	1282	124	31	
being	1760	1281	107	41	
number	1883	1280	151	33	
one	2062	1290	68	23	
of	465	1322	36	32	
the	520	1321	59	34	
third	592	1323	91	32	
octave,	702	1327	139	33	
twenty-two	862	1328	216	37	
number	1096	1325	151	32	
one	1259	1334	68	23	
of	1345	1325	38	30	
the	1396	1323	59	33	
third	1474	1324	91	34	
octave	1581	1330	128	28	
ect.	1726	1330	66	27	
On	598	1367	54	33	
the	667	1368	59	33	
staff,	745	1369	95	37	
at	860	1374	35	27	
the	914	1369	58	32	
beginning	985	1369	194	42	
are	1190	1379	61	23	
placed	1263	1369	126	41	
characters	1405	1369	207	32	
called	1627	1370	115	31	
clefs,	1759	1370	101	37	
G,	1887	1366	47	38	
C,	1954	1364	45	40	
and	2019	1367	68	34	
F	2106	1369	25	32	
clefs.	464	1407	101	41	
A	612	1413	31	32	
clef	660	1414	69	31	
is	742	1416	31	29	
a	784	1424	22	22	
character	822	1414	184	31	
used	1025	1413	86	33	
to	1131	1418	33	28	
determine	1179	1413	199	33	
the	1392	1413	58	32	
name	1469	1423	107	23	
and	1592	1414	70	32	
pitch	1672	1414	96	40	
of	1782	1415	36	32	
notes	1867	1418	103	27	
on	1996	1423	44	23	
the	2073	1412	58	34	
staff	465	1455	86	36	
to	568	1461	34	27	
which	613	1456	115	33	
it	745	1460	25	30	
is	787	1460	29	30	
prefixed;	835	1458	169	40	
The	598	1501	74	33	
the	687	1502	59	33	
letters	763	1502	122	34	
are	902	1513	60	22	
placed	978	1502	125	41	
on	1120	1514	44	20	
the	1184	1502	60	34	
staff,	1262	1503	95	37	
according	1374	1503	192	42	
to	1583	1507	34	28	
the	1633	1503	59	32	
G	1710	1504	29	31	
clef,	1757	1503	81	37	
thus:	1860	1502	92	33	
G	2021	1546	28	33	
F	1914	1592	25	31	
E	1801	1637	26	31	
D	1701	1693	30	29	
C	1578	1734	30	34	
B	1423	1783	26	29	
A	1272	1828	28	29	
G	1149	1871	27	30	
F	1011	1915	24	30	
E	871	1959	26	30	
D	737	2004	29	30	
G	825	2060	30	32	
is	870	2061	31	31	
on	918	2070	45	21	
the	975	2059	60	32	
second	1049	2058	136	34	
line,	1198	2059	81	38	
when	1297	2059	103	33	
the	1415	2059	59	32	
G	1487	2057	33	33	
clef	1541	2059	70	32	
is	1624	2062	30	29	
used.	1671	2058	101	34	
A	2028	2129	29	30	
G	1902	2170	30	31	
F	1759	2227	24	30	
E	1630	2272	25	30	
D	1525	2316	29	30	
C	1388	2358	30	33	
B	1280	2406	26	29	
A	1141	2450	29	29	
G	1008	2491	31	32	
F	840	2539	25	30	
E	697	2584	26	32	
C,	560	2638	46	38	
is	620	2642	33	32	
on	669	2650	45	23	
the	727	2639	62	34	
third	803	2638	94	33	
line	906	2639	72	31	
when	987	2636	105	33	
the	1104	2637	61	33	
C	1178	2638	29	31	
clef	1217	2638	72	32	
is	1305	2638	31	33	
used.	1350	2636	101	36	
B	1978	2702	28	32	
A	1834	2748	29	31	
G	1668	2791	32	34	
F	1562	2840	24	30	
E	1367	2915	28	32	
D	1245	2961	32	31	
C	1099	3003	30	36	
B	942	3053	27	30	
A	786	3098	30	32	
G	664	3144	29	32	
When	654	3232	113	36	
the	793	3232	58	34	
F	869	3233	25	34	
def	911	3232	70	35	
is	998	3233	30	33	
used,	1047	3229	97	42	
F	1166	3232	25	30	
is	1208	3233	29	34	
on	1254	3240	45	26	
the	1319	3229	58	36	
fourth	1394	3228	116	36	
line	1528	3229	73	33	
and	1620	3228	69	33	
space	1710	3236	108	33	
below.	1835	3226	124	33	
Musical	2741	438	311	50	
Notes.	3086	442	243	47	
There	2298	497	117	35	
are	2444	510	60	25	
characters	2532	503	202	36	
in	2753	509	33	29	
music	2818	510	115	31	
called	2946	508	115	35	
notes;	3078	514	112	33	
the	3211	510	60	33	
notes	3298	514	104	30	
a;	3420	521	31	23	
e	3462	521	19	22	
placed	3499	508	128	46	
on	3644	519	44	24	
the	3708	509	60	35	
staff	3784	506	85	36	
and	2204	551	70	34	
are	2291	563	61	24	
representatives	2370	556	296	45	
of	2691	562	36	31	
musicai	2754	564	154	31	
sounds	2924	563	133	35	
or	3073	575	39	22	
tones,	3141	570	112	32	
and	3274	566	70	33	
are	3361	574	60	25	
placed	3435	564	125	43	
on	3579	576	44	21	
the	3642	565	59	34	
staff	3719	565	89	33	
so	3827	573	40	23	
arranged	2206	608	172	45	
as	2395	622	40	23	
to	2452	617	34	28	
make	2505	614	104	34	
the	2627	616	59	33	
tune	2703	620	84	30	
desired.	2804	618	148	33	
The	3000	619	76	33	
position	3089	622	150	40	
of	3259	621	36	31	
the	3309	619	59	35	
notes	3384	624	104	32	
on	3504	631	45	22	
the	3564	620	58	33	
staff	3635	620	86	35	
iswhat	3736	618	133	35	
's	2206	664	30	34	
known	2252	665	126	35	
in	2395	670	35	29	
music	2449	669	117	35	
as	2584	681	40	22	
pitch	2640	672	97	41	
of	2755	674	36	31	
tones.	2808	678	110	29	
18.	2300	722	47	32	
What	2376	721	106	35	
are	2513	735	60	24	
these	2596	726	99	33	
notes	2719	731	102	30	
called?	2850	728	146	35	
Give	3044	729	93	34	
the	3166	731	59	34	
names	3250	741	127	23	
of	3394	731	37	33	
them	3456	731	97	33	
in	3570	733	35	31	
each	3625	729	91	36	
system	3732	735	136	38	
whether	2206	775	157	36	
f	2380	777	15	32	
ur	2415	788	44	22	
or	2478	789	36	23	
seven	2531	791	110	25	
notes	2660	787	103	29	
are	2780	794	60	22	
used.	2858	785	101	33	
In	2297	832	37	33	
four	2359	833	78	34	
headed	2460	834	137	37	
notes	2620	843	102	28	
they	2747	839	82	42	
are	2855	851	60	22	
called	2939	841	120	34	
Mi	3084	844	50	31	
,Fa	3180	843	71	37	
,	3297	868	7	11	
Sol	3318	840	60	35	
,	3422	868	7	12	
La	3444	845	49	30	
,	3536	868	8	12	
four	3562	843	79	32	
in	3657	844	35	32	
number.	3706	842	162	34	
In	2203	889	42	30	
round,	2262	887	123	39	
or	2407	900	38	23	
seven	2461	901	110	26	
shaped	2589	893	134	42	
notes,	2741	900	112	34	
they	2874	897	83	35	
are	2974	908	61	24	
called	3048	899	115	32	
Do	3179	900	53	30	
,	3279	924	6	11	
Ray	3307	899	80	38	
,	3436	922	7	14	
,	3496	924	7	11	
Fa	3526	899	49	32	
,	3616	924	7	10	
Sol	3636	898	62	33	
,	3745	923	7	12	
La	3768	899	49	31	
,	3859	922	9	13	
See	2208	943	70	33	
[by	2303	940	61	46	
some]	2382	941	116	47	
Tee	2523	949	73	32	
,	2646	975	7	11	
however	2674	948	164	36	
all	2871	953	46	31	
tones	2937	957	103	29	
can	3068	964	66	21	
be	3166	955	45	31	
played	3235	953	129	41	
or	3388	963	38	22	
sung	3444	962	94	33	
to	3554	958	34	28	
four	3606	954	80	32	
or	3703	963	38	22	
seven	3757	963	112	23	
notes,	2208	1002	113	34	
whether	2339	997	156	37	
they	2514	1003	83	41	
be	2614	1005	44	31	
rouud	2673	1006	112	32	
or	2800	1015	38	22	
shaped.	2849	1006	146	43	
The	2297	1054	74	34	
following	2399	1056	180	45	
examples	2604	1061	183	40	
shows	2814	1062	117	33	
the	2949	1064	59	33	
position	3025	1067	149	38	
of	3193	1066	35	31	
the	3258	1065	59	33	
notes	3330	1070	102	28	
on	3448	1077	44	21	
the	3512	1066	59	34	
staff	3587	1066	86	34	
when	3689	1065	101	34	
the	3810	1065	59	32	
four	2208	1111	78	31	
shape	2302	1109	111	44	
system	2432	1117	135	39	
is	2586	1117	30	30	
used.	2627	1116	99	33	
.	2750	1144	12	5	
TENOR	2608	1192	161	34	
OR	2793	1195	65	32	
TREBLE	2881	1197	185	32	
STAFF.	3092	1199	157	32	
(G.	3279	1196	61	44	
Clef.)	3361	1196	107	45	
G	3384	1253	30	33	
Sol	3464	1256	62	33	
Space	3621	1252	115	45	
above	3753	1255	115	33	
F	3257	1312	25	29	
F;	3507	1311	33	32	
a	3539	1320	16	23	
Fifth	3678	1310	94	34	
line	3798	1310	72	34	
E	3142	1379	25	30	
La	3382	1377	49	33	
Fourth	3599	1376	130	36	
space	3758	1385	111	35	
D	3024	1435	29	29	
Sol	3425	1433	60	32	
Fourth	3643	1432	129	35	
line	3800	1433	70	34	
C	2880	1487	28	33	
Fa	3468	1490	48	31	
Third	3636	1488	107	35	
space	3761	1493	109	39	
B	2767	1544	26	29	
Me	3411	1546	57	31	
Third	3594	1541	104	38	
line	3711	1546	70	33	
A	2660	1598	29	30	
La	3401	1600	49	33	
Second	3571	1598	139	36	
space	3726	1611	108	32	
G	2554	1670	32	34	
Sol	3421	1678	62	33	
Second	3626	1677	141	34	
line	3801	1677	70	33	
F	2448	1729	24	30	
Fa	3406	1734	48	32	
First	3552	1735	90	31	
space	3660	1743	106	31	
E	2339	1785	26	33	
La	3412	1790	48	31	
First	3585	1789	89	32	
line	3691	1788	69	34	
D	2260	1843	30	31	
Sol	3402	1845	61	32	
Space	3557	1846	115	40	
belcw	3688	1844	112	33	
The	2305	1905	74	36	
C,	2397	1904	40	38	
or	2460	1915	37	22	
Alto	2513	1906	81	32	
clef	2612	1905	70	32	
shows	2698	1904	118	33	
the	2834	1903	58	33	
position	2910	1906	150	40	
of	3079	1907	35	32	
the	3132	1906	58	33	
notes	3206	1911	102	28	
as	3325	1919	39	21	
follows:	3381	1909	147	34	
A	3425	1966	29	31	
La	3480	1967	48	31	
Space	3606	1962	114	44	
above	3736	1965	115	33	
G	3292	2017	32	35	
Sol	3422	2021	60	34	
Fifth	3625	2020	90	33	
line	3733	2020	70	32	
r	3196	2087	19	19	
Fa	3421	2074	49	35	
Fourth	3547	2076	130	34	
space	3690	2086	108	31	
E	3110	2129	25	33	
La	3415	2132	48	32	
Fourth	3590	2131	131	35	
lino	3737	2131	67	32	
D	2990	2184	29	32	
Sol	3403	2187	60	33	
