content	x	y	w	h	
IS	17	460	29	118	
179	1841	505	88	56	
Cone	4	1069	86	86	
•	-5	1167	10	69	
Pach	32	1173	43	73	
IDIS	4	1251	77	79	
mæ	-8	1364	62	53	
,	57	1367	11	52	
Seù	831	620	111	94	
in	974	619	54	94	
ipfo	1051	618	121	94	
ætatis	1201	617	169	94	
flore	1401	615	138	94	
Florum	661	704	224	83	
omnium	935	704	257	83	
pulcherrimum	1233	704	447	83	
,	1719	704	24	83	
Ac	746	796	90	80	
ſuaviſſimum	864	795	379	78	
demeſſuit	1291	792	304	79	
.	1600	790	24	81	
Et	549	872	101	91	
ut	645	872	84	91	
dimidium	741	872	300	91	
vitæ	1093	872	108	91	
ſuperſtiti	1241	872	290	91	
Principi	1549	872	273	91	
Mortem	750	964	260	90	
rapuiffe	1056	963	242	90	
crederes	1321	961	257	90	
,	1591	960	26	91	
Cum	557	1040	150	95	
Conjugem	749	1040	317	95	
amatiſſimam	1111	1040	384	95	
eripuit	1556	1040	202	95	
.	1766	1040	27	95	
Ultrà	423	1140	177	85	
quadragefimum	622	1138	495	83	
fecundum	1164	1133	305	84	
ætatis	1510	1129	179	86	
annum	1711	1128	198	85	
FERDINANDUM	538	1220	787	71	
MARIAM	1381	1212	421	74	
In	603	1308	47	87	
terris	682	1308	159	86	
vivere	864	1307	204	86	
fata	1080	1306	134	86	
non	1238	1305	112	87	
permiſerunt	1379	1304	397	86	
.	1771	1303	25	87	
Uterquè	537	1399	299	90	
tamen	851	1395	188	92	
vixit	1087	1391	140	93	
quantùm	1258	1388	265	90	
debuit	1586	1383	199	92	
,	1809	1379	29	95	
Quia	797	1483	158	73	
dimidium	979	1480	294	69	
tantùm	1323	1474	196	71	
.	1563	1469	22	75	
Unicum	706	1560	249	81	
fuerat	1007	1563	193	80	
utriusque	1211	1565	315	81	
cor	1543	1568	100	79	
,	1656	1569	22	79	
Unicus	742	1652	251	76	
Amor	1001	1649	197	77	
,	1212	1646	24	79	
unica	1247	1646	175	77	
Vita	1455	1643	116	78	
,	1596	1642	24	79	
Hanc	970	1733	188	68	
Natura	1161	1731	234	68	
Suprà	567	1825	193	90	
octoginta	794	1821	304	88	
rarò	1120	1815	119	91	
protrahit	1267	1812	287	88	
annos	1567	1807	203	88	
,	1776	1803	29	92	
Uterquè	530	1911	288	85	
circiter	858	1905	228	86	
quadrageſimum	1131	1900	487	81	
vixit	1673	1889	146	88	
.	1823	1886	28	90	
Neutri	568	1999	236	84	
Mors	803	1996	194	83	
eripuit	1017	1991	206	84	
,	1236	1987	27	87	
quod	1277	1986	147	84	
deberetur	1450	1983	308	81	
,	1773	1977	27	87	
Quia	470	2087	154	87	
Ambo	654	2082	208	86	
fimul	885	2077	185	86	
,	1087	2071	28	90	
quod	1149	2070	151	87	
Natura	1330	2066	234	84	
concedit	1599	2058	287	84	
,	1895	2051	28	90	
Explerunt	1019	2162	333	81	
.	1348	2158	25	85	
Licèt	589	2247	184	88	
ambo	781	2244	171	87	
,	979	2240	28	90	
ut	1013	2239	67	90	
integerrimè	1101	2238	377	83	
viverent	1481	2230	279	86	
Vitam	720	2333	174	75	
in	938	2328	46	77	
terris	1018	2326	158	75	
dimidiaverint	1203	2321	451	68	
.	1648	2311	25	78	
Æternam	542	2411	285	88	
in	880	2407	52	90	
Calis	971	2405	188	89	
jam	1189	2403	78	90	
integrare	1312	2401	283	87	
credas	1616	2396	191	89	
.	1809	2394	27	91	
Id	524	2503	53	89	
utriuſque	610	2501	314	83	
mores	934	2494	206	85	
,	1151	2488	28	90	
&	1233	2486	28	90	
Amores	1305	2484	255	85	
produnt	1589	2478	275	84	
.	1849	2471	28	90	
Sperate	830	2587	243	79	
,	1071	2580	28	86	
qui	1105	2578	103	84	
fic	1225	2575	68	84	
amatis	1303	2572	219	80	
.	1519	2565	28	86	
Phænicio	818	2675	312	71	
huic	1162	2666	144	75	
Amori	1335	2662	219	72	
Nihil	694	2759	197	88	
eſt	903	2756	80	90	
vitaliùs	992	2754	242	86	
,	1242	2749	28	91	
quàm	1295	2748	143	88	
mori	1476	2745	168	89	
.	1645	2742	28	91	
Malè	571	2891	106	62	
admiſſa	682	2888	150	61	
,	842	2883	20	64	
