content	x	y	w	h	
T	174	84	31	107	
&	238	84	31	107	
D	336	84	31	107	
5/10/71	3134	98	348	92	
S	722	584	22	81	
-	772	585	22	81	
IVB	825	585	115	82	
MNVR	1001	586	185	82	
TO	1267	588	75	81	
SEP	1404	589	137	82	
ATT	1599	591	150	81	
:	1764	592	22	81	
TB7	1907	593	126	81	
+	2108	594	22	81	
15	2215	595	57	81	
MIN	2331	596	137	81	
.	2510	597	22	81	
SEP	706	780	146	83	
ATT	912	780	140	83	
R	1245	748	37	131	
359	1307	749	390	133	
porr	1712	751	561	134	
320	2273	754	314	133	
EXTR	711	990	178	75	
ATT	963	990	138	75	
R	1220	952	48	159	
30	1313	951	262	157	
LP	1572	950	176	157	
25zroyo	1796	948	816	154	
CABIN	712	1128	225	102	
PRESS	1015	1132	222	102	
~	1307	1136	28	99	
5.7	1347	1137	140	100	
psi	1552	1139	153	102	
cb	707	1836	87	97	
DOCKING	866	1837	320	98	
PROBE	1254	1839	240	97	
(	1516	1840	28	97	
2	1555	1840	28	97	
)	1605	1840	28	97	
-	1702	1841	28	97	
close	1808	1841	235	98	
COAS	704	1940	193	80	
PWR	955	1942	134	79	
&	1168	1943	22	79	
CHK	1259	1944	123	79	
DAP	713	2028	137	98	
1110	923	2030	176	98	
101111	1154	2031	280	99	
-	1503	2033	27	97	
V46E	1609	2034	168	98	
N17	695	2130	148	106	
(	918	2132	29	105	
SEP	953	2132	134	106	
)	1109	2133	29	105	
N22	1249	2134	136	106	
(	1469	2136	29	105	
DOCK	1493	2136	193	106	
)	1702	2137	29	105	
V63	700	2240	147	78	
DOCK	714	2340	171	91	
PROBE	958	2344	225	91	
EXTD	1254	2347	181	91	
/	1458	2350	25	89	
REL	1494	2350	139	91	
RETRACT	1794	2350	338	79	
SM	711	2425	74	105	
RCS	852	2429	144	107	
tb	1063	2435	74	105	
(	1171	2437	27	104	
8	1203	2438	27	104	
)	1265	2440	27	104	
-	1359	2443	27	104	
gray	1461	2446	184	107	
AUTO	711	2532	176	108	
RCS	959	2534	135	108	
(	1166	2536	30	107	
16	1212	2536	58	107	
)	1308	2537	30	107	
EMS	713	2642	132	94	
-100	907	2644	178	94	
,	1109	2646	26	93	
FDAI	1211	2647	188	94	
-5/1	1451	2649	180	94	
DET	709	2751	137	74	
59:30	954	2752	232	79	
MAN	705	2842	134	96	
ATT	907	2844	134	95	
(	1125	2845	26	95	
3	1163	2846	26	95	
)	1211	2846	26	95	
-	1307	2847	26	95	
RATE	1397	2847	192	96	
CMD	1651	2849	134	96	
LIMIT	697	2950	249	76	
CYCLE	998	2952	239	76	
OFF	1401	2953	134	91	
,	1558	2958	22	89	
DB	1644	2954	84	82	
MIN	1885	2956	130	90	
,	2051	2955	27	91	
RATE	2136	2954	187	90	
-	2391	2953	27	91	
LOW	2486	2952	117	91	
THC	721	3041	122	90	
PWR	913	3045	122	89	
-	1111	3049	23	87	
on	1202	3051	78	88	
RHC	714	3142	126	100	
-	916	3143	28	99	
NORM	1000	3144	176	100	
(	1266	3146	28	99	
2	1306	3146	28	99	
)	1356	3146	28	99	
NORM	995	3136	180	109	
(	1262	3139	30	107	
2	1304	3139	30	107	
)	1358	3140	30	107	
-	1454	3140	30	107	
DIRECT	1548	3141	292	110	
(	1910	3145	30	107	
2	1952	3145	30	107	
)	1996	3145	30	107	
ASCP	703	3248	189	89	
0	955	3250	24	87	
,	1009	3251	24	87	
180	1113	3252	123	88	
,	1255	3253	24	87	
0	1351	3254	24	87	
GDC	702	3350	135	79	
CMC	707	3450	135	88	
/	861	3451	24	87	
FREE	912	3452	176	88	
BMAG	715	3548	170	98	
(	971	3550	27	97	
3	1011	3550	27	97	
)	1059	3550	27	97	
-	1157	3551	27	97	
RATE	1248	3551	188	98	
2	1511	3552	27	97	
cb	715	3633	71	101	
RCS	852	3636	137	103	
LOGIC	1052	3641	224	105	
(	1367	3649	27	100	
2	1407	3650	27	100	
)	1457	3651	27	100	
-	1557	3653	27	100	
open	1640	3655	186	104	
TVC	709	3748	129	92	
SERVO	902	3750	230	93	
PWR	1197	3753	142	92	
#	1405	3755	25	91	
1	1451	3755	25	91	
-	1552	3756	25	91	
ACT	1651	3757	142	92	
/	1801	3759	25	91	
MNA	1828	3759	155	92	
FC	711	3848	72	80	
REAC	852	3850	182	80	
vlv	1100	3852	134	80	
-	1308	3854	22	79	
LATCH	1396	3855	230	80	
V49E	699	3948	191	84	
TO	954	3950	79	84	
F	1112	3952	23	83	
06	1201	3952	64	84	
22	1351	3954	76	83	
THC	707	4052	129	83	
&	912	4053	23	82	
RHC	1006	4054	129	82	
-	1211	4055	23	82	
ARMED	1294	4055	239	84	
cb	706	4152	79	83	
SECS	858	4153	182	84	
LOGIC	1103	4155	224	84	
/	1352	4157	23	83	
ARM	1392	4157	133	84	
-	1604	4159	23	83	
closed	1698	4159	282	85	
SECS	711	4241	182	106	
LOGIC	947	4244	235	107	
(	1265	4249	28	103	
2	1307	4250	28	103	
)	1359	4251	28	103	
-	1451	4252	28	103	
on	1539	4254	92	104	
RCS	705	4354	129	91	
CMD	912	4355	130	91	
,	1061	4355	26	91	
TAPE	1159	4356	173	91	
RCDR	1395	4357	185	91	
SECS	711	4455	183	80	
PYRO	948	4456	183	80	
ARM	1196	4458	124	79	
GDC	695	4560	136	69	
EMS	708	4656	138	92	
-	911	4660	25	89	
AV	1004	4661	81	91	
/	1109	4663	25	89	
NORM	1148	4663	167	92	
V62E	710	4764	174	73	
