content	x	y	w	h	
7/13/71	1533	96	331	87	
SCS	1608	236	276	115	
TVC	1357	404	134	91	
GMBL	1553	404	186	91	
DR	1801	404	84	91	
P	1954	404	26	91	
&	1998	404	26	91	
Y	2054	404	26	91	
-	2156	404	26	91	
2	2258	404	26	91	
SCS	1361	504	135	87	
TVC	1565	504	124	87	
-	1763	504	25	87	
RT	1853	504	80	87	
CMD	1995	504	137	87	
POWER	140	80	493	113	
LOSS	717	83	344	112	
G	553	248	34	115	
&	689	247	34	115	
N	793	246	34	115	
TVC	125	408	123	86	
GMBL	317	408	175	86	
DR	569	408	79	86	
P	722	408	25	86	
&	766	408	25	86	
Y	818	408	25	86	
-	922	408	25	86	
2	1018	408	25	86	
Reconfigure	515	497	540	113	
FDAI	513	653	198	92	
1	777	654	26	91	
MNA	65	748	362	120	
GMBL	509	755	190	129	
MTRS	764	750	194	129	
P1	1023	745	78	131	
&	1115	743	42	132	
Y11	1172	742	100	130	
AV	513	862	91	83	
THRUST	679	862	283	83	
A	1017	862	24	83	
GDC	516	964	142	96	
/	672	961	30	99	
Except	716	961	292	94	
RSI	1070	956	142	97	
BMAG	523	1067	186	99	
1	774	1056	35	106	
SCS	525	1140	126	132	
AUTO	720	1144	178	132	
AV	967	1148	92	131	
_	1125	1152	35	130	
*	1368	656	23	83	
cb	1419	657	57	83	
SPS	1556	659	129	84	
P2	1755	661	93	83	
&	1856	662	23	83	
Y2	1900	663	86	83	
open	2142	676	185	75	
FDAI	1357	758	189	93	
-	1617	758	27	93	
2	1711	758	27	93	
,	1767	758	27	93	
SOURCE	1855	758	286	93	
CMC	2295	765	136	76	
RHC	1358	860	129	84	
PWR	1567	861	129	84	
DIR	1751	862	129	84	
2	1960	863	24	83	
-	2064	864	24	83	
MNB	2151	864	130	84	
BMAGS	1367	948	233	109	
-	1662	951	30	107	
RATE	1751	951	192	108	
2	2006	953	30	107	
(	2114	954	30	107	
up	2155	954	80	108	
)	2256	955	30	107	
✓	1363	1052	24	87	
AV	1459	1053	97	87	
THRUST	1614	1054	282	89	
B	1961	1056	24	87	
-	2059	1057	24	87	
NORM	2150	1058	175	87	
AUTO	1352	1160	188	79	
RCS	1611	1160	135	79	
-	1816	1160	23	79	
MNB	1896	1160	146	79	
MNB	56	1366	351	116	
Reconfigure	515	1362	549	115	
SCS	1363	1362	134	86	
TVC	1563	1362	123	86	
-	1768	1362	25	86	
RT	1855	1362	95	86	
CMD	2010	1362	122	86	
FDAI	531	1512	186	85	
2	776	1515	23	83	
TVC	1371	1512	124	80	
GMBL	1563	1513	180	80	
DR	1811	1514	73	80	
P	1960	1515	23	79	
&	2008	1515	23	79	
Y	2060	1516	23	79	
-	2112	1516	23	79	
1	2160	1516	23	79	
GMBL	514	1608	187	87	
MTRS	755	1608	205	87	
P2	1014	1608	98	87	
&	1121	1608	25	87	
Y2	1166	1608	94	87	
*	1375	1608	25	87	
cb	1413	1608	80	87	
SPS	1565	1608	124	87	
P1	1754	1608	94	87	
&	1859	1608	25	87	
Y1	1902	1608	98	87	
open	2155	1635	170	77	
AV	522	1712	94	87	
THRUST	675	1712	285	87	
B	1023	1712	25	87	
RHC	1365	1712	135	87	
PWR	1569	1712	123	87	
DIR	1758	1712	135	87	
1	1967	1712	25	87	
-	2065	1712	25	87	
MNA	2142	1712	150	87	
GDC	519	1820	136	70	
BMAGS	1367	1804	235	104	
-	1671	1806	29	103	
RATE	1763	1807	180	103	
1	2015	1808	29	103	
(	2119	1809	29	103	
dn	2155	1809	76	103	
)	2253	1809	29	103	
BMAG	529	1918	169	79	
2	782	1918	23	79	
✓	1368	1912	23	79	
AV	1464	1913	87	79	
THRUST	1619	1913	276	80	
A	1960	1914	23	79	
-	2064	1915	23	79	
NORM	2144	1915	183	80	
AUTO	1356	2011	193	93	
RCS	1614	2011	132	93	
-	1817	2011	27	93	
MNA	1905	2011	133	93	
TVC	1374	2207	122	97	
SERVO	1571	2208	229	97	
1	1874	2210	27	96	
-	1971	2210	27	96	
AC2	2066	2211	135	97	
/	2214	2212	27	96	
MNB	2247	2212	135	97	
SCS	1375	2316	124	79	
TVC	1575	2316	113	79	
-	1772	2316	23	79	
RT	1860	2316	87	79	
CMD	2007	2316	135	79	
BMAGS	1374	2454	236	108	
-	1676	2457	30	106	
RATE	1770	2458	174	107	
2	2019	2460	30	106	
(	2115	2461	30	106	
up	2155	2461	78	106	
)	2265	2462	30	106	
FDAI	1370	2567	193	93	
-	1620	2567	27	93	
2	1723	2567	27	93	
,	1770	2567	27	93	
SOURCE	1872	2567	274	93	
-	2212	2567	27	93	
CMC	2305	2567	132	93	
TVC	149	2209	119	94	
SERVO	333	2210	222	94	
1	640	2211	27	93	
-	734	2212	27	93	
AC2	835	2212	133	94	
/	978	2213	27	93	
MNB	1019	2213	146	93	
Reconfigure	532	2308	530	106	
→	1177	2316	28	99	
FDAI	529	2468	198	83	
1	784	2471	22	81	
ACI	106	2496	299	114	
|	487	2556	33	113	
GDC	525	2556	145	113	
/	681	2556	33	113	
Except	735	2556	278	113	
RSI	1077	2556	146	113	
BMAG	535	2668	169	79	
1	788	2668	23	79	
MIN	519	2729	156	130	
IMPRT	751	2725	331	126	
CMD	1134	2717	134	130	
RHC	527	2872	141	80	
1	742	2870	24	81	
GPI1	972	2872	201	80	
SCS	539	2972	135	80	
AUTO	731	2973	177	80	
AV	976	2974	87	79	
AC2	82	3026	302	125	
EMS	534	3069	137	91	
AV	728	3072	96	92	
Ltg	869	3075	149	92	
*	1424	2868	23	79	
DURING	1467	2868	276	81	
CRIT	1808	2870	191	80	
BURNS	2059	2872	231	80	
:	2312	2873	23	79	
AFTER	1470	2972	224	85	
GMBL	1764	2972	173	85	
MTRS	2000	2972	186	85	
ON	2254	2972	78	85	
UM	211	3468	24	27	
CAX	356	3505	34	39	
Reconfigure	532	3272	542	107	
→	1173	3277	29	103	
TVC	1374	3274	130	83	
SERVO	1576	3274	218	83	
2	1875	3274	24	83	
ACT	2065	3274	135	95	
/	2211	3274	27	95	
MNA	2239	3274	149	95	
