content	x	y	w	h	
60	1091	322	124	97	
PIA	1500	326	164	97	
DESIDERIA	1731	327	504	100	
.	2250	332	29	96	
Aut	1123	445	108	96	
qualis	1261	447	165	96	
madidum	1431	448	272	97	
cùm	1741	451	95	95	
mergit	1873	452	210	96	
Aquarius	2102	453	258	97	
annum	2371	456	185	96	
,	2584	457	28	95	
Totaq	1207	551	175	89	
,	1378	553	26	88	
in	1406	553	50	88	
hybernas	1483	553	261	90	
astra	1750	556	142	89	
liquantur	1917	557	281	90	
aquas	2213	559	168	90	
;	2375	561	26	88	
Aut	1125	638	119	103	
potiùs	1253	639	178	104	
trepidas	1430	640	235	105	
qualis	1665	642	183	104	
ruit	1867	644	106	103	
imber	1996	645	154	104	
in	2183	646	40	103	
vrbes	2252	647	153	104	
,	2395	648	31	103	
Omnia	1216	735	194	98	
cùm	1447	737	97	97	
pluuio	1583	738	166	97	
claustra	1767	740	239	98	
recluſa	2029	742	190	97	
Ioui	2243	744	112	96	
.	2357	745	29	96	
Culminag	1118	838	305	95	
,	1422	841	27	92	
ég	1460	841	52	92	
turres	1553	842	182	93	
&	1747	844	27	92	
acuta	1820	844	170	93	
cacumina	1996	846	292	94	
,	2296	848	27	92	
cautes	2353	849	173	93	
,	2519	850	27	92	
Et	1229	935	52	92	
nemora	1301	936	213	93	
&	1544	938	27	91	
montes	1605	938	213	93	
,	1823	940	27	91	
nil	1859	941	78	91	
niſipontus	1961	941	297	94	
erant	2271	944	158	92	
.	2428	945	27	91	
Hos	1118	1026	124	96	
oculis	1252	1028	167	96	
voueam	1423	1029	207	96	
grauidis	1679	1031	225	97	
mibi	1923	1033	152	96	
currere	2089	1034	197	97	
nimbos	2309	1036	199	97	
,	2510	1038	28	95	
Et	1209	1127	68	92	
caput	1284	1128	170	92	
hoc	1460	1129	92	92	
,	1574	1130	27	91	
totus	1612	1131	149	91	
fiat	1793	1132	94	92	
vt	1912	1133	85	91	
Oceanus	2005	1134	239	92	
.	2243	1136	27	91	
Aut	1131	1230	101	87	
ſaltem	1257	1231	155	88	
in	1461	1232	48	87	
geminos	1540	1233	224	89	
fabefcere	1794	1235	252	89	
lumina	2080	1237	199	89	
riuos	2306	1239	149	88	
,	2453	1240	26	87	
Perpetuópe	1206	1319	318	103	
meas	1533	1322	163	101	
amne	1691	1323	177	101	
nafare	1869	1325	207	101	
genas	2095	1326	163	102	
.	2260	1328	30	100	
Necficcari	1120	1413	302	98	
oculos	1435	1416	165	96	
,	1606	1417	28	95	
nifi	1643	1418	111	96	
