content	x	y	w	h	
DATE	72	3068	77	159	
4/5/71	76	2811	78	247	
7/13/71	340	2752	82	283	
4/5177	423	2758	76	231	
DATE	452	3158	65	167	
1-19	632	2285	67	162	
35:00	821	2338	65	198	
IVT	988	2420	66	111	
TO	991	2246	65	60	
CSM	992	2122	66	110	
1	1161	3380	67	4	
DES	1156	3183	81	115	
02	1156	3023	81	91	
-	1156	2792	81	23	
CLOSE	1156	2715	81	197	
DES	1246	3183	69	114	
H20	1248	3022	68	116	
-	1248	2795	73	22	
CLOSE	1247	2708	71	194	
CABIN	1331	3187	72	201	
REPRESS	1331	2928	72	278	
-	1331	2580	72	20	
CLOSE	1331	2504	72	200	
CB	1416	3178	83	65	
(	1416	3083	83	24	
11	1416	3052	84	73	
)	1417	2963	83	24	
EPS	1417	2884	83	119	
:	1417	2755	83	24	
DC	1418	2677	83	80	
BUS	1418	2548	83	119	
VOLT	1418	2368	84	156	
-	1419	2163	83	24	
Open	1419	2081	84	152	
CB	1492	3174	91	67	
(	1492	3089	91	26	
16	1492	3042	91	51	
)	1493	2969	91	26	
ECS	1493	2883	91	116	
:	1493	2749	91	26	
CABIN	1493	2668	92	195	
REPRESS	1494	2423	92	282	
-	1495	2077	91	26	
Open	1495	2000	92	153	
Window	1578	3193	82	239	
Shades	1577	2881	83	237	
(	1577	2576	83	24	
3	1576	2544	83	24	
)	1576	2504	83	24	
-	1576	2420	83	24	
Close	1576	2329	83	189	
2	1753	3383	67	5	
FLOOD	1750	3181	76	204	
LIGHT	1750	2930	76	210	
-	1751	2668	76	22	
OFF	1751	2588	76	119	
w	1969	3407	14	51	
CABIN	1912	3183	91	193	
RELIEF	1914	2931	91	251	
&	1917	2629	89	25	
DUMP	1918	2541	90	149	
(	1919	2323	89	25	
OVHD	1920	2289	90	159	
)	1921	2125	89	25	
-	1922	2035	89	25	
Open	1922	1959	90	161	
IVT	2006	3181	83	118	
TO	2006	3013	83	76	
CSM	2006	2876	83	95	
,	2006	2748	83	24	
Close	2006	2681	83	206	
LM	2006	2421	83	60	
Hatch	2006	2303	83	203	
LM	2139	2536	78	88	
TO	2137	2365	78	74	
CSM	2135	2235	77	158	
TRANSFER	2132	1992	75	392	
LM	2211	3749	67	85	
ITEM	2257	2349	70	240	
ON	2339	3861	73	90	
CREW	2342	3691	76	211	
COMM	2357	2482	78	217	
CARRIERS	2359	2197	79	394	
:	2348	1816	128	41	
(	2346	1738	128	41	
?	2345	1699	128	41	
)	2344	1660	128	41	
ON	2472	3871	72	91	
CREW	2475	3697	75	218	
CWG	2500	2477	119	192	
ELECT	2497	2194	119	277	
.	2495	1924	121	36	
ADAPTERS	2494	1847	118	467	
(	2490	1338	121	36	
2	2490	1314	121	36	
)	2490	1278	121	36	
TEMPORARY	2589	3864	94	506	
STOWAGE	2601	3300	79	422	
JETTI	2635	2479	82	262	
SON	2638	2218	82	168	
BAG	2642	1957	81	179	
CSM	2275	720	71	161	
ON	2389	810	74	122	
CREW	2389	601	74	228	
CCU	2516	815	76	180	
CABLE	2518	554	76	275	
A2	2645	801	73	124	
IVT	3208	3798	65	112	
TO	3209	3632	65	72	
LM	3209	3517	66	83	
EPS	3289	3757	69	117	
ACT	3288	3592	69	118	
PDI	3238	2260	64	135	
-	3236	2114	67	20	
DAY	3235	2090	65	126	
PGNS	3196	759	71	164	
T	3196	538	71	20	
/	3196	502	71	20	
0	3195	458	71	20	
VHF	3278	714	71	113	
C	3279	541	71	20	
/	3279	499	71	20	
O	3279	463	71	20	
