content	x	y	w	h	
TA	1071	373	122	74	
FEREELEN	1209	373	499	74	
DER	1769	373	189	74	
Achtenzeventigſte	1145	537	485	87	
Tafereel	1679	537	212	87	
.	1894	537	25	87	
T	1042	706	22	71	
E	1144	704	22	71	
Keizer	1191	702	149	69	
houdt	1359	698	145	68	
den	1512	694	84	69	
ryken	1620	691	122	68	
hoed	1762	687	114	69	
,	1882	684	22	71	
En	1145	777	68	74	
treedt	1234	777	141	74	
d	1390	777	21	74	
'	1420	777	21	74	
Aartsbiſſchop	1438	777	305	74	
in	1769	777	28	74	
'	1817	777	21	74	
t	1840	777	21	74	
gemoed	1871	777	161	74	
Hoor	954	868	135	72	
,	1096	868	20	72	
zegt	1138	868	105	72	
hy	1255	868	53	72	
,	1315	868	20	72	
wat	1361	868	83	72	
wy	1464	868	65	72	
u	1549	868	20	72	
bevelen	1588	868	177	72	
Uit	1017	953	74	74	
kracht	1110	953	152	74	
van	1275	953	74	74	
onze	1383	953	104	74	
Majeſteit	1501	953	205	74	
;	1719	953	21	74	
Hervorm	1009	1044	198	64	
terſtond	1248	1044	174	64	
de	1450	1044	59	64	
geeſtlykheid	1531	1044	265	64	
Die	963	1132	73	64	
zich	1066	1132	83	64	
met	1172	1132	92	64	
zulk	1284	1132	90	64	
een	1411	1132	63	64	
pracht	1518	1132	145	64	
durft	1687	1132	107	64	
ſtreelen	1829	1132	159	64	
.	1994	1132	18	64	
Schaf	1013	1308	126	63	
dit	1156	1306	56	64	
misbruik	1227	1305	193	63	
der	1453	1303	73	64	
kled	1544	1302	93	64	
'	1645	1301	19	64	
ren	1666	1301	65	64	
af	1757	1300	36	64	
,	1801	1300	19	64	
Of	1004	1385	76	69	
anders	1089	1385	153	69	
zal	1257	1385	59	69	
ik	1334	1385	38	69	
,	1382	1385	20	69	
hen	1429	1385	69	69	
ten	1530	1385	59	69	
ſtraf	1621	1385	94	69	
,	1725	1385	20	69	
Hunn	950	1476	132	71	
'	1088	1475	21	72	
proven	1115	1474	154	71	
in	1296	1473	28	72	
myn	1350	1472	94	72	
fchatkiſt	1476	1471	191	71	
trekken	1681	1470	172	70	
;	1877	1468	21	72	
Opdat	1012	1563	132	71	
zy	1169	1562	54	71	
voor	1242	1561	102	71	
geen	1365	1560	106	71	
ydel	1497	1559	92	71	
kleed	1614	1557	117	71	
:	1747	1556	21	72	
Maar	995	1645	128	74	
op	1147	1645	54	74	
een	1225	1645	63	74	
beter	1309	1645	129	74	
wys	1448	1645	95	74	
beſteed	1559	1645	167	74	
,	1741	1645	21	74	
Ten	965	1733	69	70	
nut	1064	1733	81	70	
der	1163	1733	70	70	
kerk	1247	1733	101	70	
en	1379	1733	40	70	
'	1442	1733	20	70	
t	1464	1733	20	70	
ryk	1500	1733	71	70	
verſtrekken	1596	1733	265	70	
.	1868	1733	20	70	
Ô	1002	1916	19	64	
Schoone	1052	1915	196	62	
ſchimp	1269	1913	158	63	
!	1431	1911	19	64	
ô	1476	1911	19	64	
nutte	1518	1910	119	63	
laſt	1659	1909	75	63	
!	1743	1908	19	64	
Die	1001	1996	74	64	
eenen	1102	1996	116	64	
Chriſten	1248	1996	178	64	
Keizer	1456	1996	148	64	
paſt	1628	1996	81	64	
,	1721	1996	18	64	
Hoe	940	2084	103	72	
ſmaakte	1058	2084	179	72	
gy	1259	2084	54	72	
deez	1332	2084	102	72	
'	1437	2084	20	72	
klooſterlingen	1471	2084	312	72	
?	1802	2084	20	72	
Niet	993	2173	99	74	
veel	1119	2173	93	74	
:	1207	2173	21	74	
wyl	1255	2173	85	74	
zy	1356	2173	54	74	
uit	1434	2173	63	74	
hovaerdy	1513	2173	212	74	
,	1732	2173	21	74	
Door	993	2257	125	74	
kerkelyke	1128	2257	240	74	
heerſchappy	1375	2257	283	74	
,	1665	2257	21	74	
De	938	2348	64	73	
Ryksmonarchen	1014	2349	362	75	
willen	1405	2353	132	73	
dwingen	1567	2354	181	74	
.	1763	2356	19	72	
LXXVIII	1950	2602	289	62	
.	2239	2602	17	62	
