content	x	y	w	h	
IVT	168	3092	57	90	
TO	169	2960	57	54	
LM	169	2860	57	51	
HOUSEKEEPING	147	2330	61	396	
COMM	156	1574	63	119	
ACT	159	1406	62	94	
&	161	1272	61	16	
C	162	1204	61	16	
/	163	1166	61	16	
O	163	1136	61	16	
1-74	279	1647	57	82	
4	341	2715	46	0	
Check	332	2556	79	157	
BAT	339	2359	76	92	
and	344	2214	76	81	
BUS	348	2082	76	92	
Voltages	353	1948	81	262	
When	482	2558	69	116	
BUS	486	2390	69	95	
VOLT	489	2252	70	130	
<	492	2087	67	18	
27V	493	2014	70	85	
,	496	1910	67	18	
Select	497	1853	71	196	
HI	502	1625	68	73	
Voltage	504	1510	72	221	
Taps	509	1246	70	119	
CB	555	2487	70	50	
(	557	2415	69	19	
11	557	2382	70	50	
)	558	2324	69	19	
EPS	559	2259	70	98	
:	561	2149	69	19	
CROSS	562	2091	71	160	
TIE	565	1878	70	78	
BUS	568	1755	70	98	
-	570	1617	69	19	
Close	571	1551	71	160	
CB	626	2488	70	50	
(	627	2416	69	19	
16	627	2390	70	50	
)	628	2325	69	19	
EPS	629	2260	70	98	
:	630	2150	69	19	
CROSS	631	2092	71	160	
TIE	634	1888	70	96	
BUS	635	1756	70	88	
-	637	1618	69	19	
Close	638	1552	71	160	
BAT	691	2494	70	96	
1	694	2351	68	18	
HI	695	2296	70	73	
-	696	2220	68	18	
V	697	2186	68	18	
-	697	2151	68	18	
OFF	698	2119	69	86	
/	700	2020	68	18	
RESET	700	1991	71	165	
;	703	1813	68	18	
tb	704	1753	69	50	
-	706	1682	68	18	
bp	706	1659	69	61	
,	707	1579	68	18	
then	708	1518	70	118	
ON	711	1353	69	50	
;	713	1282	68	18	
tb	714	1215	68	50	
-	715	1144	68	18	
gray	716	1111	69	120	
BAT	756	2497	72	98	
4	759	2359	69	19	
HI	760	2293	71	62	
-	761	2219	69	19	
V	762	2184	69	19	
-	763	2149	69	19	
OFF	763	2125	70	87	
/	765	2016	69	19	
RESET	765	1993	73	168	
;	768	1813	69	19	
tb	770	1752	69	50	
-	771	1687	69	19	
bp	771	1666	71	75	
,	773	1582	69	19	
then	774	1511	70	110	
ON	777	1353	69	50	
;	778	1281	69	19	
tb	779	1213	70	50	
-	780	1141	69	19	
gray	781	1115	71	122	
CB	821	2493	76	55	
(	823	2422	75	20	
16	823	2389	75	39	
)	824	2323	75	20	
EPS	825	2257	77	95	
:	827	2156	75	20	
CROSS	828	2089	77	152	
TIE	832	1885	76	87	
BUS	834	1755	77	95	
-	836	1617	75	20	
Open	837	1549	77	114	
:	895	2153	71	19	
CROSS	897	2091	73	154	
TIE	901	1891	72	89	
BAL	903	1753	73	82	
LOADS	906	1623	75	163	
-	910	1418	71	19	
Open	911	1348	73	115	
5	1369	2732	57	4	
When	1025	2575	67	134	
BAT	1028	2394	66	91	
1	1030	2252	65	17	
AMP	1031	2188	66	83	
MTR	1033	2067	66	100	
INDICATES	1035	1917	69	288	
>	1040	1592	65	17	
30	1041	1511	65	35	
BAT	1092	2500	71	95	
2	1095	2356	69	18	
-	1097	2293	69	18	
ON	1099	2225	70	49	
;	1100	2153	69	18	
tb	1102	2092	71	49	
-	1104	2020	69	18	
gray	1105	1987	72	122	
When	1162	2570	63	121	
BAT	1165	2396	62	86	
4	1167	2262	61	16	
AMP	1168	2190	62	86	
MTR	1170	2071	62	106	
INDICATES	1172	1919	65	285	
>	1177	1586	61	16	
30	1177	1549	61	42	
BAT	1236	2500	55	89	
3	1239	2355	53	14	
ON	1236	2227	65	45	
;	1238	2155	64	16	
tb	1240	2093	65	45	
-	1242	2027	64	16	
gray	1243	1993	67	120	
Vocom	1296	878	84	186	
Cloonline	1307	563	60	196	
CB	1365	2566	68	48	
(	1366	2496	67	18	
11	1367	2466	67	61	
)	1368	2401	67	18	
COMM	1369	2328	69	119	
:	1371	2190	67	18	
SEC	1372	2133	68	94	
S	1374	1993	67	18	
-	1375	1959	67	18	
BD	1375	1929	68	60	
XMTR	1377	1824	69	119	
/	1379	1694	67	18	
RCVR	1380	1664	68	129	
Close	1384	1425	61	158	
77926	1405	832	58	128	
CB	1437	2571	70	62	
(	1438	2490	69	19	
16	1439	2461	69	37	
)	1440	2399	69	19	
COMM	1440	2331	71	113	
:	1442	2196	69	19	
DISP	1443	2131	70	116	
-	1445	1958	69	19	
Close	1446	1899	71	160	
:	1501	2194	67	18	
VHF	1502	2135	67	96	
