content	x	y	w	h	
CONTENTS	655	577	580	91	
Abide	160	898	115	39	
with	287	897	72	39	
me	381	896	66	39	
.	448	895	11	40	
.	468	895	11	40	
.	489	895	11	40	
.	509	895	11	40	
.	530	894	11	40	
.	550	894	11	40	
.	571	894	11	40	
.	587	894	11	40	
After	158	945	93	46	
a	275	945	13	46	
while	294	945	101	46	
.	407	945	13	46	
.	426	945	13	46	
.	445	945	13	46	
.	468	945	13	46	
.	487	945	13	46	
.	506	945	13	46	
Alas	157	992	93	46	
,	248	991	13	47	
and	279	990	67	47	
did	370	990	53	46	
my	448	989	59	46	
Saviour	527	988	164	45	
bleed	704	986	107	46	
.	815	985	13	47	
.	834	985	13	47	
47	864	984	43	47	
Almost	153	1045	141	46	
Persuaded	323	1045	201	46	
.	534	1045	13	46	
.	557	1045	13	46	
.	576	1045	13	46	
.	595	1045	13	46	
Amazing	153	1096	173	43	
Grace	343	1096	118	43	
!	468	1096	12	43	
how	490	1096	74	43	
sweet	589	1096	103	43	
.	697	1096	12	43	
.	719	1096	12	43	
.	749	1096	12	43	
Away	160	1148	105	43	
in	288	1148	24	43	
the	341	1148	56	43	
Kingdom	413	1148	167	43	
.	602	1148	12	43	
.	622	1148	12	43	
.	644	1148	12	43	
.	661	1148	12	43	
.	683	1148	12	43	
.	705	1148	12	43	
.	727	1148	12	43	
B	520	1213	9	60	
Better	160	1299	112	44	
Home	300	1299	123	44	
(	434	1299	12	44	
A	457	1299	12	44	
)	484	1299	12	44	
.	506	1299	12	44	
.	529	1299	12	44	
.	547	1299	12	44	
.	569	1299	12	44	
.	587	1299	12	44	
10	871	1298	28	37	
|	943	1304	6	35	
Let	979	893	64	47	
Jesus	1067	895	100	47	
fix	1186	897	38	46	
it	1251	898	25	46	
for	1298	899	53	46	
you	1371	900	64	47	
.	1453	901	12	46	
Lily	981	945	80	47	
of	1082	946	41	46	
the	1137	947	60	46	
Valley	1212	947	122	47	
(	1362	949	13	46	
The	1383	949	65	46	
)	1456	949	13	46	
.	1475	949	13	46	
.	1498	950	13	46	
.	1517	950	13	46	
.	1531	950	13	46	
.	1555	950	13	46	
.	1578	950	13	46	
.	1597	951	13	46	
.	1616	951	13	46	
.	1634	951	13	46	
.	1653	951	13	46	
Lord	982	992	90	48	
will	1099	994	71	47	
make	1179	994	111	48	
the	1306	996	60	47	
way	1378	997	80	47	
(	1486	998	12	47	
The	1507	998	66	47	
)	1577	999	12	47	
.	1596	999	12	47	
.	1620	999	12	47	
.	1639	999	12	47	
.	1659	999	12	47	
24	1697	1000	25	47	
M	1334	1077	14	44	
Marching	979	1147	193	50	
must	1184	1147	101	50	
be	1300	1147	45	50	
done	1361	1147	96	50	
.	1456	1147	14	50	
.	1476	1147	14	50	
Missionary	977	1195	230	50	
Band	1228	1200	103	47	
.	1338	1201	12	46	
.	1361	1202	12	46	
.	1380	1202	12	46	
.	1399	1202	12	46	
.	1422	1203	12	46	
.	1441	1203	12	46	
.	1560	1210	8	31	
.	1579	1210	8	31	
.	1602	1210	8	31	
.	1621	1210	8	31	
.	1640	1210	8	31	
12B	1661	1210	57	31	
My	974	1248	68	47	
Secret	1058	1248	125	47	
of	1200	1248	43	47	
Joy	1257	1248	67	47	
.	1332	1248	13	47	
14	1693	1257	28	38	
My	973	1299	75	47	
soul	1062	1300	83	47	
delights	1157	1301	158	48	
to	1330	1303	34	46	
sing	1387	1304	79	46	
.	1472	1304	13	46	
.	1491	1305	13	46	
.	1514	1305	13	46	
.	1533	1305	13	46	
.	1552	1305	13	46	
.	1575	1306	13	46	
.	1594	1306	13	46	
.	1613	1306	13	46	
.	1632	1306	13	46	
.	1655	1306	13	46	
38	1692	1307	34	46	
N	1344	1375	10	48	
Nothing	978	1445	163	49	
between	1159	1448	146	50	
.	1316	1451	12	47	
.	1335	1451	12	47	
.	1354	1452	12	47	
.	1373	1452	12	47	
о	1345	1526	15	54	
O	985	1599	12	46	
for	1032	1600	53	47	
a	1107	1602	12	46	
heart	1140	1602	107	48	
.	1262	1605	12	46	
.	1281	1605	12	46	
O	985	1651	12	46	
how	1023	1652	70	47	
happy	1122	1654	123	48	
are	1269	1656	65	47	
they	1353	1658	73	47	
.	1439	1659	12	46	
Our	977	1701	78	47	
Father	1072	1702	131	48	
'	1213	1704	12	46	
s	1228	1704	12	46	
Church	1267	1705	133	47	
.	1411	1707	12	46	
.	1434	1707	12	46	
.	1453	1707	12	46	
11	870	1451	32	38	
Christian	162	1452	173	41	
Seaman	353	1452	151	41	
.	526	1452	11	41	
.	547	1452	11	41	
.	568	1452	11	41	
.	589	1452	11	41	
.	598	1452	11	41	
.	606	1452	11	41	
Consolation	156	1501	237	42	
.	402	1501	11	42	
.	424	1501	11	42	
.	441	1501	11	42	
.	462	1501	11	42	
.	484	1501	11	42	
.	501	1501	11	42	
Depth	159	1663	106	48	
of	288	1663	43	48	
Mercy	343	1663	122	48	
(	492	1663	13	48	
Seymour	513	1663	177	48	
)	693	1663	13	48	
.	712	1663	13	48	
.	732	1663	13	48	
.	756	1663	13	48	
.	776	1663	13	48	
.	796	1663	13	48	
.	815	1663	13	48	
.	830	1663	13	48	
29	868	1663	36	48	
43	863	1828	42	32	
Forever	160	1825	152	50	
here	330	1825	84	50	
my	421	1825	72	50	
rest	505	1825	77	50	
.	593	1825	14	50	
From	159	1875	93	50	
youth	290	1875	110	50	
to	418	1875	38	50	
old	496	1875	57	50	
age	569	1875	72	50	
.	655	1875	14	50	
.	680	1875	14	50	
.	701	1875	14	50	
.	859	1877	12	37	
2	882	1875	12	37	
3	917	1873	12	37	
Pilgrim	986	1853	133	48	
'	1146	1855	12	46	
s	1160	1856	12	46	
song	1195	1856	95	47	
(	1315	1858	12	46	
The	1336	1858	70	47	
)	1409	1859	12	46	
.	1432	1859	12	46	
Pilgrim	987	1904	131	48	
Stranger	1154	1907	178	49	
.	1342	1910	12	46	
.	1361	1910	12	46	
.	1380	1911	12	46	
.	1403	1911	12	46	
Promised	981	1955	186	48	
Land	1191	1955	103	48	
.	1299	1955	13	48	
.	1319	1955	13	48	
.	1338	1955	13	48	
.	1363	1955	13	48	
.	1382	1955	13	48	
G	522	1974	10	38	
Go	158	2036	65	51	
wash	233	2036	99	51	
in	353	2036	29	51	
that	405	2036	78	51	
beautiful	495	2036	185	51	
stream	694	2036	123	51	
.	837	2036	14	51	
13	871	2036	38	51	
God	161	2087	78	48	
be	256	2089	50	47	
with	318	2091	78	47	
you	423	2093	65	47	
.	496	2094	12	46	
.	534	2095	12	46	
.	557	2095	12	46	
.	575	2106	10	35	
.	597	2105	10	35	
.	615	2104	10	35	
.	629	2104	10	35	
.	651	2103	10	35	
.	669	2102	10	35	
.	690	2102	10	35	
.	712	2101	10	35	
.	730	2100	10	35	
.	752	2099	10	35	
.	770	2099	10	35	
.	791	2098	10	35	
.	809	2097	10	35	
.	831	2097	10	35	
33	866	2095	40	33	
God	159	2141	79	46	
will	261	2141	73	46	
provide	353	2141	148	46	
for	517	2141	59	46	
me	585	2141	68	46	
.	650	2141	13	46	
.	673	2141	13	46	
.	692	2141	13	46	
cole	865	2174	48	61	
Rock	980	2097	98	50	
of	1108	2097	36	50	
Ages	1159	2097	98	50	
.	1262	2097	14	50	
.	1282	2097	14	50	
.	1303	2097	14	50	
.	1323	2097	14	50	
.	1342	2097	14	50	
.	1561	2113	8	31	
.	1580	2113	8	31	
.	1599	2113	8	31	
.	1622	2113	8	31	
.	1641	2113	8	31	
.	1660	2113	8	31	
51	1686	2113	46	31	
H	510	2231	11	42	
Heavenly	165	2301	177	48	
Union	360	2304	120	47	
(	508	2305	12	46	
The	533	2306	65	46	
)	602	2306	12	46	
.	634	2307	12	46	
.	653	2307	12	46	
He	163	2352	54	45	
saved	232	2354	103	45	
me	350	2357	62	45	
.	415	2358	11	43	
.	433	2359	11	43	
.	455	2359	11	43	
.	472	2360	11	43	
.	494	2360	11	43	
Home	166	2403	113	50	
of	291	2403	45	50	
the	346	2403	57	50	
soul	425	2403	90	50	
.	513	2403	14	50	
.	534	2403	14	50	
.	554	2403	14	50	
.	574	2403	14	50	
.	595	2403	14	50	
.	615	2403	14	50	
Hymn	163	2455	116	48	
for	296	2455	55	48	
Baptism	368	2455	155	48	
.	552	2455	13	48	
.	576	2455	13	48	
.	596	2455	13	48	
.	615	2455	13	48	
