content	x	y	w	h	
INTRODUCTORY.	1458	432	691	51	
On	274	551	51	32	
the	347	550	59	31	
8th	430	549	61	31	
day	515	549	69	40	
of	609	548	39	32	
September,	671	549	216	40	
1906,	913	549	93	39	
the	1030	549	60	30	
United	1115	549	133	31	
Sacred	1273	549	129	31	
Harp	1429	549	98	39	
Musical	1552	549	151	30	
Association,	230	602	232	38	
in	490	601	37	30	
Atlanta,	555	601	161	39	
Ga.,	747	601	72	39	
passed	847	602	127	39	
resolutions,	1000	602	222	39	
directing	1251	602	177	39	
the	1455	601	59	30	
appoint-	1544	601	159	39	
ment	230	657	94	30	
of	349	654	39	31	
a	414	664	21	20	
committee	463	654	199	30	
on	691	663	44	21	
the	763	654	60	30	
revision	850	653	156	31	
of	1034	654	38	31	
the	1099	654	59	30	
Sacred	1188	655	129	30	
Tlarp.	1345	654	109	39	
This	1506	653	83	30	
com-	1618	663	86	21	
mittee	230	709	121	29	
was	383	716	72	20	
appointed	486	706	193	39	
and	710	707	70	30	
proceeded	811	706	194	40	
with	1037	706	88	30	
the	1157	706	60	30	
work	1249	707	98	29	
specified	1379	705	164	40	
in	1576	705	36	30	
the	1645	705	59	30	
resolutions,	228	759	220	39	
but	477	758	66	31	
was	571	767	72	21	
hindered	672	758	171	31	
in	871	758	38	30	
one	937	767	63	22	
way	1032	767	79	30	
and	1140	759	69	30	
another	1239	758	148	31	
from	1417	761	93	27	
carrying	1540	757	165	40	
out	230	815	59	28	
the	311	812	59	30	
resolutions	392	811	211	30	
above	626	811	112	30	
mentioned.	762	811	213	30	
Several	1021	810	144	31	
attempts	1188	813	171	37	
have	1381	811	90	29	
been	1493	811	89	29	
made	1605	810	100	30	
within	229	865	125	30	
the	376	864	60	30	
last	458	863	70	30	
two	549	865	71	28	
or	643	872	38	21	
three	704	863	99	30	
years	825	872	103	30	
to	951	865	36	28	
revise	1009	863	115	30	
the	1148	863	60	30	
Sacred	1231	863	130	30	
Harp	1384	862	99	40	
by	1506	862	49	40	
others,	1577	862	128	38	
but	229	918	64	30	
the	315	917	59	30	
work	396	916	98	30	
was	516	924	73	21	
done	613	916	87	30	
in	723	915	37	29	
such	782	915	85	30	
a	889	924	21	21	
way	930	924	80	30	
this	1032	914	71	31	
committee	1127	915	199	30	
could	1351	914	100	31	
not	1475	916	62	28	
endorse	1560	914	145	30	
and	231	969	68	31	
accept	328	970	124	37	
the	482	968	59	30	
same,	572	977	105	29	
although	710	967	170	39	
their	911	967	94	30	
names	1036	976	118	21	
are	1186	976	59	21	
attached	1276	966	169	31	
to	1475	968	37	29	
some	1544	975	91	21	
of	1668	965	39	31	
these	230	1021	97	31	
books	349	1021	110	30	
as	482	1029	39	21	
endorsing	545	1020	190	39	
them.	758	1019	105	30	
This,	910	1019	94	38	
however,	1028	1019	173	39	
,	1213	1044	3	4	
is	1226	1019	30	30	
without	1279	1018	151	31	
authority	1455	1018	183	40	
by	1660	1019	48	38	
the	230	1073	59	31	
members	317	1072	170	30	
of	516	1071	39	31	
the	582	1071	60	30	
committee.	673	1071	210	31	
The	937	1071	71	30	
endorsement	1039	1071	244	30	
could	1314	1070	101	31	
not	1444	1072	62	28	
be	1534	1070	43	30	
made	1605	1070	101	30	
because	229	1126	147	30	
the	403	1124	59	31	
revisors	488	1124	154	30	
of	669	1123	39	31	
these	734	1123	98	31	
volumes	861	1123	157	31	
did	1044	1122	60	32	
not	1130	1125	62	28	
comply	1219	1122	136	40	
with	1380	1122	87	30	
the	1494	1122	59	30	
resolu-	1580	1122	126	30	
tions	230	1178	93	30	
under	345	1177	110	31	
which	478	1176	114	30	
the	615	1176	59	30	
committee	699	1175	200	31	
was	922	1185	73	21	
appointed,	1016	1175	203	40	
and	1242	1175	70	30	
after	1335	1176	96	29	
all	1453	1174	48	30	
efforts	1525	1173	122	32	
to	1670	1175	37	29	
get	230	1232	59	38	
a	318	1239	20	21	
book	366	1230	92	29	
published	486	1228	187	40	
as	700	1237	39	21	
specified	768	1227	165	40	
and	961	1229	69	29	
required	1058	1227	163	40	
in	1248	1227	38	30	
the	1312	1227	60	30	
resolutions	1399	1226	211	31	
had	1638	1226	69	31	
failed,	228	1282	125	38	
and	384	1282	70	29	
no	486	1290	44	21	
