content	x	y	w	h	
Tov	4130	651	153	87	
,	4314	656	21	83	
32	4046	1276	48	45	
G	3438	1525	55	14	
Η	3044	1531	52	14	
.	3044	1556	52	14	
48	3529	2273	86	45	
o	4552	2316	77	256	
43	4125	2455	73	56	
o	4666	2615	28	7	
Test	4573	2629	70	118	
M	4158	2727	48	12	
24	3631	2725	43	40	
o	4645	2701	3	43	
22	1858	2887	49	30	
33	2333	3018	39	54	
..	2384	3027	7	48	
22	1878	3097	31	43	
*	2911	3047	12	56	
72	2935	3049	48	56	
Zit	3677	3056	44	43	
02	4438	3042	27	62	
с	6994	3043	13	49	
L	5346	3090	38	8	
Per	5051	3192	63	88	
50	5053	3063	64	56	
33	5272	3128	65	35	
22	4363	3135	58	27	
11	4519	3194	46	22	
-20	1885	3268	28	51	
YT	2097	3228	28	26	
TOUT	4493	3297	22	87	
ya	4624	3230	46	34	
Per	5144	3311	58	48	
22	5227	3316	49	47	
ng	1914	3352	34	62	
22	4497	3364	48	26	
C	2765	3493	35	8	
.12	3364	3568	47	29	
24	4144	3683	66	47	
2	4592	3658	55	17	
y	4593	3722	54	17	
z	4595	3738	54	16	
337	3571	3868	65	120	
G	3445	3836	41	11	
T	3922	3996	317	93	
A	2918	4063	45	12	
Per	4397	4430	66	58	
-	4402	4357	63	13	
19	4404	4340	65	42	
ΈI	3040	4592	41	38	
203	3264	4659	46	115	
G	3448	4652	38	9	
27	3583	4719	41	69	
,	3095	4869	58	17	
9	3097	4905	58	17	
Terme	3619	5058	318	243	
di	4020	5070	125	240	
Vespasiano	4233	5077	625	257	
Aument	7451	5408	177	69	
1120	7644	5425	54	27	
