content	x	y	w	h	
ENLARGED	729	690	257	54	
EDITION	1033	690	190	54	
Soul	521	818	340	201	
Echoes	1008	818	454	201	
A	786	1070	16	58	
COLLECTION	838	1070	282	58	
OF	1142	1070	53	58	
.	443	1181	29	101	
.	463	1181	29	101	
Songs	501	1181	177	101	
For	736	1181	87	101	
Religious	864	1181	283	101	
Meetings	1193	1181	287	101	
.	1484	1181	29	101	
.	1504	1181	29	101	
NO	758	1365	228	125	
.	1006	1365	36	125	
2	1133	1365	36	125	
.	1209	1365	36	125	
EDITED	647	1698	170	62	
AND	849	1698	88	62	
COMPILED	977	1698	231	62	
BY	1249	1698	69	62	
Bishop	449	1825	203	74	
J	677	1823	23	76	
.	701	1822	23	76	
S	747	1822	23	76	
.	770	1822	23	76	
Caldwell	814	1821	243	74	
,	1062	1819	23	76	
D	1116	1818	23	76	
.	1155	1818	23	76	
D	1201	1818	23	76	
.	1240	1817	23	76	
Bishop	571	1923	196	77	
L	794	1923	22	77	
.	825	1923	22	77	
J	872	1923	22	77	
.	896	1923	22	77	
Coppin	945	1923	198	77	
,	1153	1923	22	77	
D	1200	1923	22	77	
.	1239	1923	22	77	
D	1286	1923	22	77	
.	1325	1923	22	77	
Bishop	630	2028	191	64	
G	851	2028	18	64	
.	896	2028	18	64	
L	935	2028	18	64	
.	968	2028	18	64	
Blackwell	996	2028	281	64	
,	1280	2028	18	64	
D	1325	2028	18	64	
.	1364	2028	18	64	
D	1403	2028	18	64	
.	1442	2028	18	64	
Rev	739	2115	121	85	
.	858	2115	24	85	
C	910	2115	24	85	
.	944	2115	24	85	
A	996	2115	24	85	
.	1039	2115	24	85	
Tindley	1115	2115	218	85	
,	1332	2115	24	85	
D	1383	2115	24	85	
.	1426	2115	24	85	
D	1461	2115	24	85	
Soul	579	2353	109	70	
Echoes	719	2355	158	70	
Publishing	922	2357	235	71	
Company	1181	2359	209	71	
420	695	2426	81	71	
South	800	2426	122	71	
Eleventh	983	2426	186	71	
St	1199	2426	53	71	
.	1244	2426	20	71	
Philadelphia	781	2501	264	65	
,	1056	2501	18	65	
Pa	1102	2501	71	65	
.	1168	2501	18	65	
Copyright	875	2700	137	43	
,	1008	2700	12	43	
1999	1030	2700	50	43	
Soul	566	2748	71	48	
Echoes	670	2750	109	48	
Publishing	799	2752	174	49	
Company	1000	2754	153	49	
For	449	2827	52	46	
Sale	513	2828	71	46	
at	606	2828	25	46	
A	652	2828	13	46	
.	671	2828	13	46	
M	704	2829	13	46	
.	737	2829	13	46	
E	769	2829	13	46	
.	788	2829	13	46	
Z	816	2829	13	46	
.	835	2829	13	46	
Publication	877	2830	174	46	
House	1082	2831	101	46	
,	1183	2831	13	46	
Charlotte	1213	2831	161	47	
,	1376	2832	13	46	
N	1409	2833	13	46	
.	1432	2833	13	46	
C	1460	2833	13	46	
.	1484	2833	13	46	
