content	x	y	w	h	
SATURN	177	182	427	91	
BOOST	723	190	415	86	
7/1/71	1273	195	254	74	
JULY	1113	275	157	65	
26827	1321	276	200	65	
VI	741	336	120	79	
H	1052	334	23	83	
H	1351	343	23	81	
DET	187	336	206	84	
ө	526	338	22	94	
0	1113	489	6	59	
00:00	179	478	195	71	
:	276	568	19	63	
30	310	567	59	62	
1:30	223	730	146	64	
2	229	817	18	63	
2:16	220	900	137	63	
2:30	221	986	152	63	
2:39	225	1064	155	67	
3	237	1158	5	59	
3:30	228	1236	143	65	
4	226	1321	18	63	
4:30	216	1404	158	66	
5	233	1487	5	63	
5:30	213	1570	161	66	
6	224	1659	18	61	
6:30	211	1738	160	67	
90	511	482	73	66	
1341	724	484	156	67	
86	514	568	57	62	
1396	731	568	135	69	
314	1018	570	114	63	
68	500	651	87	63	
1892	725	654	156	69	
857	1016	655	116	64	
48	507	734	78	62	
3123	729	736	153	69	
|	932	736	20	69	
1542	985	736	149	69	
34	521	812	62	66	
5226	713	821	156	66	
2321	982	819	155	66	
29	512	901	80	62	
6763	715	910	173	64	
2794	975	907	159	63	
26	518	987	54	59	
8073	727	990	161	63	
3095	986	990	142	62	
24	513	1070	68	62	
9014	733	1075	152	63	
1	939	1073	18	64	
3307	984	1073	151	63	
24	513	1152	69	64	
9222	729	1158	158	66	
|	936	1155	20	68	
2904	986	1154	149	66	
19	520	1237	66	61	
9763	730	1234	164	68	
2437	978	1237	149	67	
17	516	1321	68	64	
10424	682	1319	196	67	
|	934	1319	19	67	
1958	981	1319	149	67	
16	515	1405	58	61	
11191	687	1400	195	69	
1517	979	1402	157	69	
14	515	1487	72	66	
12063	684	1486	208	69	
1	936	1486	20	69	
1115	985	1486	143	69	
12	515	1568	76	69	
1	634	1567	20	69	
13041	690	1567	195	68	
757	1023	1568	119	69	
14133	687	1648	201	68	
448	1020	1654	115	65	
1535	694	1736	141	65	
]	864	1738	17	63	
193	1022	1738	115	64	
16713	692	1819	193	67	
2	562	1904	20	70	
18244	692	1904	189	70	
-102	980	1904	156	70	
5	561	1987	19	68	
1	636	1988	19	68	
19709	694	1988	189	69	
-117	977	1987	151	66	
359	480	2072	112	64	
21016	689	2070	190	64	
-98	1016	2067	116	66	
356	473	2158	107	62	
22439	688	2154	202	67	
-32	1019	2154	117	63	
356	483	2247	97	62	
22918	679	2247	194	62	
10	1061	2246	68	64	
353	475	2335	122	61	
23178	674	2332	202	63	
-56	1019	2329	107	66	
350	477	2418	103	65	
23703	683	2416	202	65	
-	984	2415	19	66	
108	1017	2414	114	66	
348	476	2501	116	66	
24252-125	680	2499	446	64	
346	479	2584	108	68	
|	637	2583	20	69	
24824	679	2583	202	67	
-101	970	2581	166	68	
345	484	2673	103	62	
/	633	2670	20	65	
25420	688	2668	190	60	
-33	1015	2666	114	64	
345	484	2749	101	64	
25599	692	2749	192	64	
-	1061	2745	17	65	
1	1108	2746	17	65	
.0	1358	484	58	61	
.7	1358	568	59	64	
3.5	1310	650	114	67	
9.4	1309	740	116	60	
18.9	1273	822	162	60	
25.5	1271	900	150	66	
32.4	1275	988	141	62	
37.0	1273	1072	151	63	
47.8	1265	1154	159	64	
61.0	1252	1237	172	70	
71.8	1266	1316	165	69	
80.4	1267	1406	151	66	
86.9	1269	1488	155	67	
91.5	1264	1573	154	70	
94.4	1275	1656	158	68	
96.0	1271	1738	159	71	
96.4	1279	1826	151	64	
96.2	1276	1908	150	64	
95.5	1273	1990	150	67	
95.0	1276	2076	152	63	
94.7	1270	2156	156	67	
94.7	1266	2239	155	69	
94.6	1271	2332	148	65	
93.1	1271	2417	167	63	
93.5	1269	2504	157	65	
93.0	1270	2587	155	64	
92.6	1274	2670	148	62	
92.6	1269	2752	145	62	
9	568	1656	7	65	
7	562	1739	5	59	
5	561	1825	7	59	
7	232	1820	5	73	
5	1114	1824	5	61	
7:30	220	1908	155	65	
8	229	1991	5	59	
8:30	214	2074	157	65	
9	228	2159	19	63	
9:10	216	2242	157	67	
9:30	213	2328	156	62	
10	182	2412	66	62	
10:30	176	2493	199	70	
11	177	2570	78	71	
11:30	181	2660	191	67	
11:39	182	2742	196	73	
