content	x	y	w	h	
WARNING	1046	1619	556	78	
The	853	1728	80	61	
words	948	1727	149	61	
and	1111	1726	80	62	
music	1230	1725	139	62	
of	1407	1724	46	62	
the	1492	1724	71	61	
hymns	1593	1723	165	61	
in	1788	1722	34	62	
the	1870	1721	71	62	
collection	743	1795	216	60	
are	978	1796	77	60	
copyrighted	1118	1796	276	60	
.	1397	1796	17	60	
Any	1483	1796	94	60	
person	1614	1796	158	60	
print	1808	1796	137	60	
ing	745	1868	71	62	
any	837	1868	80	62	
part	944	1867	96	62	
of	1058	1866	45	62	
words	1136	1866	146	61	
of	1301	1865	57	62	
music	1378	1864	145	62	
without	1559	1863	180	61	
written	1770	1862	164	61	
consent	747	1944	182	53	
of	962	1943	40	54	
the	1033	1943	78	53	
owners	1130	1942	171	53	
will	1337	1941	86	53	
be	1438	1940	50	54	
held	1519	1940	99	53	
amenable	1642	1939	215	53	
to	1904	1937	30	54	
the	747	2015	72	46	
law	838	2015	59	46	
.	912	2014	13	46	
