content	x	y	w	h	
re	3032	307	33	89	
a	3072	307	26	89	
pre	3104	307	51	90	
porta	3011	442	110	51	
ut	3101	408	61	70	
hebbe	3026	524	93	79	
il	3114	517	40	83	
tua	3019	645	68	78	
di	3076	640	53	79	
H	3124	636	31	81	
falo	3015	743	67	118	
con	3092	742	67	117	
Tilvalo	3023	871	131	81	
non	3013	1011	60	52	
meri	3077	1009	90	49	
Sozilah	3016	1100	128	109	
gifungo	3015	1214	135	102	
**	791	156	118	122	
DELL'ANTICHITA	959	155	1104	116	
DI	2093	148	182	122	
ROMA	2295	147	391	120	
di	781	270	91	121	
queſte	879	270	232	121	
io	1133	270	45	121	
ne	1209	270	88	121	
ho	1336	270	66	121	
moſtrate	1444	270	324	121	
tre	1798	270	104	121	
in	1951	270	45	121	
e	2039	270	35	121	
diſegno	2044	270	270	117	
poco	2334	272	161	116	
auanti	2533	274	252	116	
,	2778	275	32	115	
quando	798	390	269	119	
ragionai	1076	388	333	118	
del	1415	385	123	120	
Tempio	1545	384	282	119	
di	1868	381	91	121	
Gioue	1961	381	228	119	
ftatore	2215	379	252	119	
.	2492	376	36	121	
Si	2557	376	67	121	
vede	2653	375	160	120	
ne	769	508	110	118	
tempi	899	507	228	117	
noſtri	1134	505	216	117	
ſopra	1395	503	183	117	
la	1607	501	67	119	
ſua	1715	500	120	118	
steſſa	1871	499	204	117	
baſe	2094	497	168	118	
vna	2291	495	120	118	
colonna	2435	494	292	117	
di	2747	491	67	119	
ordine	781	612	244	119	
corinthio	1062	612	342	119	
molto	1408	612	224	119	
antica	1669	612	244	119	
;	1936	612	35	119	
laquale	1986	612	282	119	
per	2293	612	119	119	
non	2437	612	119	119	
hauer	2593	612	203	119	
accompagnatura	791	747	620	111	
attorno	1434	738	277	115	
da	1734	734	90	117	
altri	1866	732	181	116	
edifici	2075	729	236	116	
,	2336	725	37	118	
fi	2387	724	68	118	
crede	2471	723	205	115	
che	2687	720	121	116	
dal	770	850	142	124	
popolo	926	849	232	124	
Romano	1193	848	324	124	
foſſe	1561	847	153	124	
drizzata	1757	846	340	124	
a	2126	845	36	125	
Duellio	2206	844	269	124	
,	2491	843	36	125	
per	2539	843	125	125	
che	2682	842	124	125	
egli	777	968	148	112	
con	965	967	114	112	
battaglia	1131	966	342	111	
nauale	1515	964	267	111	
haueua	1815	962	267	111	
vinto	2135	960	192	112	
l'armata	2371	959	323	111	
de	2715	957	85	112	
Cartagineſi	785	1080	425	119	
.	1216	1077	36	121	
Dall'uno	1280	1077	341	119	
de	1644	1075	71	121	
lati	1743	1075	141	120	
del	1895	1074	123	120	
plinto	2030	1073	220	120	
,	2277	1072	36	121	
ouero	2329	1071	201	120	
orlo	2573	1070	141	120	
ſi	2747	1069	48	121	
veggono	787	1195	302	113	
lettere	1145	1192	233	112	
che	1427	1189	131	113	
doucuano	1587	1187	352	111	
dichiarare	1978	1182	382	112	
l'ordine	2421	1178	270	112	
di	2722	1174	85	115	
Colonna	427	1312	290	113	
quella	782	1309	224	114	
vittoria	1043	1308	287	113	
col	1379	1306	103	114	
valore	1526	1305	230	113	
del	1807	1303	115	114	
detto	1954	1302	188	114	
C.	2186	1300	89	115	
Duellio	2309	1300	254	113	
,	2585	1298	34	115	
delle	2631	1298	154	114	
di	417	1410	77	135	
Ceſare	494	1410	229	135	
.	715	1410	39	135	
quali	785	1410	191	135	
(	1001	1410	39	135	
per	1071	1410	115	135	
eſſer	1221	1410	169	135	
tutte	1425	1410	196	135	
dal	1650	1410	136	135	
tempo	1825	1410	219	135	
conſumate	2097	1410	381	135	
)	2510	1410	39	135	
non	2581	1410	114	135	
ſi	2748	1410	48	135	
puo	776	1536	142	122	
trarre	931	1535	247	122	
coſtrutto	1195	1534	326	122	
alcuno	1532	1533	254	122	
.	1784	1532	36	123	
Et	1858	1532	88	122	
appreſſo	1970	1531	307	122	
alla	2311	1530	126	122	
detta	2471	1529	178	123	
co	2683	1528	104	123	
lonna	777	1640	197	124	
ne	996	1641	95	123	
hebbe	1115	1641	207	124	
vn'altra	1334	1642	307	124	
di	1670	1644	88	123	
marmo	1755	1644	284	124	
numidico	2054	1645	343	124	
C.	2426	1646	88	124	
Ceſare	2534	1647	235	124	
;	2760	1648	36	123	
asam	530	1756	208	128	
laquale	777	1757	282	128	
dicono	1092	1758	249	128	
eſſere	1383	1760	214	127	
stata	1623	1761	186	127	
d'altezza	1859	1762	351	128	
venti	2232	1763	205	128	
piedi	2450	1764	191	128	
;	2645	1765	36	127	
&	2695	1765	36	127	
haueua	759	1891	277	101	
vn	1074	1885	80	105	
titolo	1185	1883	201	103	
o	1351	1877	36	123	
nella	1398	1877	180	123	
ſua	1614	1877	123	123	
ſteſſa	1768	1877	174	123	
baſe	1968	1877	156	123	
,	2132	1877	36	123	
che	2184	1877	123	123	
diceua	2316	1877	239	123	
PA	2586	1877	190	123	
TRI	771	1978	264	120	
.	1011	1980	32	117	
PATRIAE	1083	1982	585	124	
.	1666	1989	32	117	
oltra	1751	1990	185	119	
che	1975	1993	116	119	
il	2117	1995	62	117	
popolo	2194	1996	246	120	
Romano	2452	1999	334	121	
drizzò	772	2104	257	127	
al	1070	2104	70	127	
medeſimo	1146	2104	378	127	
Ceſare	1564	2104	244	127	
vna	1849	2104	140	127	
ſtatua	2021	2104	224	127	
a	2285	2104	37	127	
cauallo	2366	2104	254	127	
con	2670	2104	112	127	
vna	776	2220	130	131	
cometa	942	2220	256	131	
in	1233	2220	52	131	
tefta	1321	2220	147	131	
,	1504	2220	38	131	
laquale	1562	2220	278	131	
Staua	1883	2220	192	131	
nello	2108	2220	164	131	
iſteſſo	2319	2220	211	131	
modo	2546	2220	208	131	
,	2758	2220	38	131	
come	778	2336	201	119	
dimoſtrano	977	2336	412	119	
le	1414	2336	66	119	
ſue	1498	2336	119	119	
antiche	1637	2336	280	119	
medaglie	1928	2336	344	119	
.	2288	2336	35	119	
Et	2345	2336	88	119	
Vitruuio	2444	2336	344	119	
ragionando	765	2452	424	119	
delle	1214	2452	174	119	
ſtatue	1423	2452	210	119	
antiche	1653	2452	280	119	
dice	1941	2452	160	119	
,	2112	2452	35	119	
come	2174	2452	189	119	
nel	2373	2452	119	119	
Foro	2517	2452	172	119	
ne	2697	2452	88	119	
fu	763	2560	65	127	
drizzata	870	2561	342	128	
vn'altra	1240	2562	308	128	
a	1577	2564	36	127	
C.	1659	2564	65	127	
Mennio	1743	2564	289	128	
,	2039	2566	36	127	
ilquale	2095	2566	252	128	
vinſe	2385	2567	187	128	
i	2601	2568	36	127	
La	2648	2568	126	128	
tini	764	2674	149	126	
;	913	2675	35	125	
oltra	965	2676	186	126	
che	1167	2678	124	125	
ci	1305	2679	69	125	
ſi	1399	2679	46	126	
vedeua	1463	2680	268	127	
,	1732	2682	35	125	
come	1779	2683	215	127	
vuole	2011	2685	195	126	
Dioniſio	2245	2687	288	127	
,	2538	2689	35	125	
la	2583	2689	46	126	
pi	2679	2690	95	126	
la	763	2784	69	128	
de	860	2785	94	128	
gli	993	2786	90	128	
Horatij	1095	2787	279	129	
,	1387	2790	36	127	
che	1431	2790	122	128	
teneua	1581	2791	244	129	
di	1867	2794	65	127	
ſopra	1965	2794	200	129	
al	2199	2796	69	128	
ſuo	2285	2797	129	128	
coperchio	2427	2798	348	130	
il	759	2908	67	121	
ritratto	845	2909	285	122	
di	1143	2910	90	122	
quelle	1241	2911	214	122	
ſpoglie	1483	2912	228	123	
che	1758	2914	121	121	
con	1893	2915	103	121	
glorioſa	2041	2916	268	122	
vittoria	2356	2917	274	123	
ac	2663	2919	105	122	
quiſtarono	764	3019	376	127	
de	1167	3021	91	126	
tre	1273	3022	106	125	
fratelli	1404	3023	247	126	
Curiati	1689	3024	270	126	
,	1951	3025	35	125	
Albani	2024	3026	250	126	
;	2279	3027	35	125	
quando	2344	3028	258	126	
com	2634	3029	106	125	
batterono	765	3120	369	134	
inſieme	1161	3123	300	133	
in	1482	3126	51	131	
campo	1569	3126	249	133	
chiuſo	1833	3128	232	133	
per	2080	3130	113	132	
la	2229	3131	72	131	
libertà	2327	3132	253	132	
,	2599	3134	37	131	
che	2670	3134	112	132	
ciaſcuno	761	3244	313	126	
cercana	1099	3247	282	125	
di	1406	3250	87	123	
acquiſtare	1488	3250	384	126	
alla	1903	3254	112	123	
ſua	2055	3255	118	124	
patria	2198	3256	234	125	
.	2436	3258	35	123	
Era	2480	3259	124	123	
an	2647	3260	107	125	
Comitio	388	3376	281	134	
cora	766	3374	141	134	
,	922	3373	40	135	
come	965	3373	196	134	
habbiamo	1163	3372	380	133	
di	1565	3370	74	135	
ſopra	1645	3369	198	135	
raccontato	1877	3368	402	133	
,	2268	3366	40	135	
nel	2313	3366	114	135	
Foro	2444	3365	157	135	
Ro	2653	3364	119	135	
doue	385	3480	160	123	
era	562	3480	86	123	
.	659	3480	36	123	
mano	742	3480	229	123	
il	982	3480	66	123	
Comitio	1065	3480	283	123	
,	1351	3480	36	123	
c	1415	3480	36	123	
in	1513	3480	73	123	
quel	1625	3480	155	123	
luogo	1802	3480	190	123	
ſteſſo	2013	3480	193	123	
,	2207	3480	36	123	
doue	2240	3480	177	123	
Tito	2437	3480	163	123	
Ta	2637	3480	126	123	
tio	769	3596	83	117	
a	942	3596	34	117	
Romulo	1044	3596	316	117	
conuennero	1416	3596	408	117	
fra	1869	3596	102	117	
loro	2006	3596	148	117	
delle	2192	3596	174	117	
conditioni	2404	3596	381	117	
della	741	3702	183	123	
lega	959	3704	135	122	
,	1122	3706	34	121	
che	1175	3706	118	122	
fecero	1309	3707	223	123	
inſieme	1553	3709	288	125	
;	1842	3712	34	121	
Ø	1904	3713	34	121	
queſto	2012	3714	211	122	
veniua	2256	3716	261	123	
a	2538	3718	34	121	
eſſe	2600	3719	156	123	
no	3008	1336	73	109	
offer	3084	1335	65	110	
Pitagor	3019	1445	128	105	
grandi	3015	1567	110	102	
chi	3008	1679	58	95	
,	3051	1677	32	96	
che	3076	1677	61	94	
e	3129	1675	32	96	
Ho	2999	1788	61	107	
Rufo	3061	1788	65	108	
Romulo	3008	1914	133	92	
sendo	3011	2017	96	120	
ego	3115	2022	43	116	
vittoria	3016	2140	129	87	
to	3012	2246	25	103	
di	3063	2252	23	103	
0.1	3115	2258	27	103	
tempi	3008	2372	91	108	
no	3118	2377	34	105	
San	3006	2478	46	105	
Gimu	3061	2484	84	109	
quario	3000	2601	108	105	
di	3132	2604	24	103	
pio	3007	2698	51	128	
vna	3078	2709	52	127	
della	3003	2826	68	89	
cito	3095	2833	59	88	
di	3012	2938	24	119	
quei	3051	2943	64	122	
te	3136	2951	18	117	
trarre	3011	3072	76	80	
con	3121	3093	31	71	
nell'ordina	3009	3172	153	107	
&	3008	3283	12	103	
dal	3053	3291	39	107	
fu	3126	3304	12	103	
a	2997	3402	11	86	
Dio	3022	3406	46	91	
che	3102	3419	45	90	
va	2991	3522	29	115	
;	3030	3526	20	114	
perche	3060	3529	99	122	
titia	3002	3637	43	94	
di	3079	3652	31	91	
con	2993	3767	31	69	
mano	3051	3779	93	82	
re	2678	3868	80	57	
