content	x	y	w	h	
RDOT	541	5270	64	157	
X1	541	4860	57	77	
ZI	539	4543	67	85	
X2	540	4220	64	79	
Z2	546	3946	63	80	
X3	550	3584	61	80	
Z3	548	3270	63	91	
CDH	557	2286	67	109	
BACKUP	554	2131	66	230	
TABLE	552	1842	66	184	
NOMINAL	637	2255	67	278	
ASCENT	632	1931	67	238	
DATE	522	220	154	93	
4/21/71	744	226	307	97	
-50.0	709	5260	64	192	
-51.0	790	5254	63	185	
-52.0	870	5255	65	184	
-53.0	950	5257	67	184	
-54.0	1031	5258	66	185	
-55.0	1111	5257	65	184	
-56.0	1190	5261	68	192	
-57.0	1272	5261	69	193	
-58.0	1354	5256	67	190	
-59.0	1434	5258	64	180	
-60.0	1520	5258	60	186	
-61.0	1595	5257	62	184	
-62.0	1673	5258	67	180	
-63.0	1756	5256	66	185	
-	1836	5255	65	18	
64.0	1836	5222	65	147	
-65.0	1920	5254	61	185	
-66.0	1996	5260	63	192	
-67.0	2072	5256	71	187	
-68.0	2153	5266	65	196	
-69.0	2238	5257	61	182	
-	2318	5255	64	18	
70.0	2318	5222	64	150	
-71.0	2398	5260	65	182	
-72.0	2476	5257	66	181	
-73.0	2557	5257	64	182	
-74.0	2636	5257	64	185	
-75.0	2719	5262	63	192	
-	2795	5251	68	19	
76.0	2795	5213	70	143	
-77.0	2878	5262	64	185	
-78.0	2959	5258	64	191	
-79.0	3042	5256	65	182	
-80.0	3124	5258	61	187	
-81.0	3199	5255	66	186	
-82.0	3284	5257	63	182	
-83.0	3362	5263	63	185	
-84.0	3445	5257	61	184	
-85.0	3522	5257	65	184	
-86.0	3605	5255	61	183	
-87.0	3684	5258	64	187	
-88.0	3768	5258	58	185	
-89.0	3846	5261	62	185	
-90.0	3925	5260	65	187	
-91.0	4003	5258	66	180	
-92.0	4087	5261	68	183	
-93.0	4172	5264	63	198	
67.3	710	4943	66	155	
67.6	791	4948	63	158	
68.0	874	4950	63	154	
68.3	953	4948	60	168	
68.7	1031	4949	66	162	
69.0	1110	4951	69	160	
69.4	1193	4949	65	164	
69.7	1273	4948	67	163	
70.1	1351	4938	70	156	
70.4	1432	4936	67	147	
70.8	1513	4942	69	151	
71.1	1594	4942	67	164	
71.5	1674	4943	65	148	
71.8	1754	4946	69	152	
72.2	1836	4939	65	157	
72.5	1916	4942	63	144	
72.9	1998	4940	64	153	
73.2	2074	4939	68	153	
73.6	2156	4946	64	148	
73.9	2236	4938	65	142	
74.3	2318	4940	63	156	
74.6	2400	4940	63	140	
75.0	2477	4936	65	143	
75.3	2556	4936	65	147	
75.7	2634	4937	66	146	
76.0	2716	4937	68	146	
76.4	2794	4933	69	142	
76..7	2875	4940	70	139	
77.1	2958	4942	65	160	
77.4	3035	4937	68	147	
77.8	3119	4939	66	151	
78.1	3198	4942	70	169	
78.5	3281	4943	66	146	
78.8	3359	4939	66	152	
79.2	3439	4943	65	152	
79.5	3521	4940	65	142	
