content	x	y	w	h	
INTRODUCTORY	1462	418	672	73	
.	2141	416	21	74	
On	274	544	53	48	
the	353	543	54	48	
8th	434	543	54	48	
day	516	543	69	48	
of	609	543	43	48	
September	679	542	196	48	
,	881	542	13	48	
1906	919	542	67	48	
,	999	542	13	48	
the	1032	542	61	47	
United	1114	541	137	48	
Sacred	1275	541	126	48	
Harp	1435	540	87	48	
Musical	1555	540	154	48	
Association	234	596	213	49	
,	453	595	14	50	
in	493	595	29	50	
Atlanta	562	595	138	49	
,	708	594	14	50	
Ga	742	594	56	50	
.	799	594	14	50	
,	815	594	14	50	
passed	854	594	119	50	
resolutions	1001	594	211	49	
,	1218	593	14	50	
directing	1249	593	180	49	
the	1455	592	65	50	
appoint	1547	592	159	50	
ment	227	649	100	46	
of	353	648	34	47	
a	416	648	13	47	
committee	468	648	194	47	
on	692	647	43	47	
the	766	647	60	47	
revision	852	647	150	47	
of	1039	647	35	46	
the	1102	646	60	47	
Sacred	1191	646	123	47	
Harp	1345	646	100	46	
.	1448	645	13	47	
This	1513	645	78	47	
com	1620	645	82	47	
mittee	224	705	129	42	
was	384	704	75	43	
appointed	490	704	182	43	
and	714	703	68	43	
proceeded	815	703	189	43	
with	1042	702	79	43	
the	1160	702	62	43	
work	1251	702	92	43	
specified	1378	702	163	42	
in	1578	701	31	43	
the	1649	701	55	43	
resolutions	234	749	209	47	
,	441	749	13	47	
but	481	749	67	48	
was	576	750	73	47	
hindered	673	750	166	47	
in	878	751	26	47	
one	937	751	67	47	
way	1036	751	74	47	
and	1146	751	60	47	
another	1240	752	144	47	
from	1425	752	74	47	
carrying	1543	752	162	48	
out	228	805	66	51	
the	313	804	59	51	
resolutions	396	804	210	51	
above	630	804	111	50	
mentioned	759	803	206	51	
.	970	803	14	51	
Several	1024	803	149	50	
attempts	1192	802	173	51	
have	1382	802	92	50	
been	1497	801	79	51	
made	1602	801	108	51	
within	233	861	113	42	
the	376	860	62	43	
last	463	860	65	43	
two	552	860	73	43	
or	645	860	39	43	
three	708	859	99	43	
years	827	859	101	43	
to	955	859	31	43	
revise	1016	859	112	42	
the	1153	858	61	43	
Sacred	1232	858	130	43	
Harp	1389	858	89	42	
by	1505	857	48	43	
others	1584	857	110	43	
,	1699	857	12	43	
but	227	905	67	47	
the	316	905	61	47	
