content	x	y	w	h	
IOT	1908	330	58	22	
Colonnette	332	308	194	42	
di	543	309	32	42	
Grazito	592	310	132	42	
al	737	311	29	41	
Porfone	787	311	127	42	
,	920	312	11	41	
e	956	312	11	41	
Staux	985	312	103	42	
di	1107	313	29	41	
Silvano	1157	313	119	42	
alle	1289	314	59	42	
Scale	1366	315	87	41	
del	1465	315	53	42	
Palazzo	1530	316	134	42	
Panfili	1681	317	106	41	
delle	165	365	86	50	
Fenestre	282	366	141	50	
,	433	367	14	49	
che	474	367	56	50	
nel	545	368	56	49	
secondo	617	368	131	50	
Piano	772	370	91	49	
,	878	370	14	49	
per	912	371	56	49	
adattarle	987	371	144	50	
all'esterna	1159	372	184	51	
Simmetria	1367	374	164	50	
della	1562	375	72	50	
Facciata	1657	376	134	50	
,	1803	377	14	49	
sono	1844	377	69	50	
troppo	170	414	108	57	
alte	292	414	60	57	
,	364	414	16	57	
o	406	414	16	57	
troppo	443	414	98	57	
basse	555	414	84	57	
,	654	414	16	57	
e	696	414	16	57	
perciò	729	414	100	57	
assai	859	414	79	57	
incomode	951	414	155	57	
,	1118	414	16	57	
per	1162	414	48	57	
chi	1235	414	59	57	
vi	1311	414	33	57	
abita	1349	414	87	57	
.	1450	414	16	57	
Sono	260	460	82	51	
osservabili	364	461	180	51	
le	572	461	20	51	
quattro	612	462	124	51	
Colonnette	754	462	177	52	
di	959	463	29	51	
Granito	1002	463	131	52	
,	1146	464	14	51	
nelle	1179	464	82	51	
quali	1292	465	80	51	
è	1396	465	14	51	
scolpita	1438	465	122	52	
la	1597	466	18	51	
Colomba	1636	466	137	52	
coll’Olivo	1790	467	172	51	
in	171	507	18	49	
bocca	227	507	96	50	
,	333	508	14	49	
e	373	508	14	49	
che	402	508	56	49	
stanno	474	509	104	49	
innanzi	599	509	127	50	
al	739	510	27	49	
Portone	782	510	121	50	
,	913	511	14	49	
e	953	511	14	49	
Cantonate	985	511	173	50	
di	1174	512	27	49	
questo	1224	512	97	50	
Palazzo	1349	513	124	49	
,	1488	513	14	49	
essendo	1522	514	128	49	
Sorelle	1667	514	114	50	
delle	1797	515	72	49	
altre	1894	515	74	50	
sedici	163	550	101	51	
,	271	551	14	50	
che	313	551	57	51	
circondano	395	552	177	51	
l'Obelisco	601	554	161	51	
Vaticano	773	555	154	51	
(	940	556	14	50	
1	960	556	14	50	
)	975	557	14	50	
,	1001	557	14	50	
e	1042	557	14	50	
che	1081	557	57	51	
furono	1155	558	107	51	
tolte	1282	559	74	50	
da	1382	560	38	50	
quella	1440	560	99	51	
vecchia	1556	561	117	51	
Basilica	1693	562	128	51	
,	1837	563	14	50	
come	1877	564	91	50	
ci	169	600	34	48	
scuopre	223	600	127	49	
il	370	601	27	48	
presente	409	601	135	49	
racconto	567	602	139	48	
,	723	602	13	48	
fatto	763	602	70	49	
da	868	603	36	48	
Mons	922	603	95	48	
.	1022	604	13	48	
Lodovico	1044	604	149	48	
Sergardi	1206	604	149	49	
,	1365	605	13	48	
nel	1395	605	56	48	
suo	1473	605	55	48	
Discorso	1542	606	139	48	
sopra	1708	606	88	49	
il	1821	607	26	48	
nuovo	1862	607	107	48	
Ornato	166	644	118	48	
della	298	645	75	47	
Guglia	399	646	120	47	
di	533	646	34	48	
S.Pietro	588	647	128	47	
(	735	648	13	47	
2	750	648	13	47	
)	769	648	13	47	
.	798	648	13	47	
Innocenzo	841	648	170	48	
X	1033	650	13	47	
volendo	1070	650	126	47	
abbellire	1210	651	151	47	
le	1375	652	25	47	
Navate	1412	652	125	48	
laterali	1552	653	120	47	
del	1698	654	48	47	
Tempio	1764	654	126	48	
Va	1908	655	55	47	
ticano	165	691	103	52	
,	283	692	14	51	
fece	321	692	59	51	
colla	409	692	75	52	
direzione	511	693	163	52	
,	684	694	14	51	
e	720	694	14	51	
opera	768	695	80	51	
del	875	695	59	51	
Cav	951	696	59	51	
.	1017	696	14	51	
Bernini	1041	696	127	52	
levare	1184	697	106	52	
da	1312	698	38	51	
quelle	1376	698	94	52	
molte	1485	699	91	51	
