content	x	y	w	h	
MITOSTI	2054	2096	116	87	
1.	1012	2914	30	54	
Dureptis	1055	2914	175	54	
,	1231	2914	16	54	
ucensisque	1244	2914	224	54	
castris	1493	2914	118	54	
,	1608	2914	15	54	
clementissimus	1636	2914	277	54	
Princeps	1923	2914	144	54	
Marcus	2078	2914	149	54	
supplicibus	2234	2914	219	54	
parcit	2463	2914	117	54	
,	2577	2914	15	54	
finemque	2607	2914	179	54	
2.	1006	2974	36	63	
Armenta	1061	2974	180	63	
,	1250	2974	18	63	
et	1278	2974	34	63	
pecora	1332	2974	136	63	
ex	1498	2974	23	63	
preda	1558	2974	107	63	
ad	1693	2974	49	63	
Imperatorem	1769	2974	243	63	
adducuntur	2060	2974	231	63	
,	2303	2974	9	63	
3.	2983	2911	42	56	
Regulus	3035	2911	160	56	
cum	3217	2911	64	56	
vxore	3317	2911	126	56	
captiuus	3467	2911	159	56	
ducitur	3651	2911	132	56	
,	3789	2911	15	56	
manibus	3809	2911	186	56	
ad	4020	2911	40	56	
sinum	4090	2911	95	56	
laqueo	4232	2911	128	56	
obstrictis	4385	2911	181	56	
:	4575	2911	16	56	
qui	4597	2911	64	56	
nos	4675	2911	87	56	
adligandi	3045	2947	218	56	
Reges	3271	2947	128	56	
,	3394	2947	16	56	
ducésque	3419	2947	191	56	
captiuos	3626	2947	164	56	
,	3780	2947	16	56	
obseruatur	3820	2947	216	56	
in	4073	2947	21	56	
antiquw	4119	2947	166	56	
Simulacris	4296	2947	229	56	
,	4532	2947	10	56	
4.	2977	2982	33	57	
Mardiis	3023	2982	150	59	
consiſkt	3202	2984	150	59	
in	3379	2985	32	58	
flumin	3440	2986	117	60	
uinis	3513	2988	83	45	
ripa	3619	2988	89	45	
,	3704	2988	11	45	
vt	3732	2988	42	45	
u	3801	2988	12	45	
sequenti	3863	2988	163	45	
,	4042	2988	7	45	
18	4850	3057	24	35	
