content	x	y	w	h	
PARTE	647	343	230	43	
II	925	336	35	48	
.	965	335	9	49	
CA	1025	333	87	46	
P.	1147	330	71	46	
II	1251	327	35	48	
.	1291	326	9	49	
43	1629	341	50	43	
il	249	413	25	61	
Tevere	295	413	144	59	
venivano	457	411	186	59	
quà	671	408	78	61	
gertati	781	407	130	60	
,	925	405	12	61	
facessero	969	405	182	59	
crescere	1179	402	166	60	
questo	1363	400	140	60	
Monte	1521	398	136	60	
.	1673	396	10	61	
Io	250	479	44	58	
per	322	478	66	57	
altro	420	476	95	57	
senza	544	474	109	57	
riferire	677	472	140	56	
maggiori	846	469	184	56	
opinioni	1064	466	176	55	
direi	1272	462	93	57	
,	1383	460	11	58	
che	1428	460	68	57	
nei	1536	458	60	57	
se	1632	456	53	57	
coli	253	532	81	56	
bassi	362	531	93	56	
,	473	531	10	56	
avendo	519	530	145	55	
Roma	695	529	119	55	
cambiato	846	527	187	55	
di	1063	525	37	56	
sito	1130	525	70	55	
,	1213	524	10	56	
il	1258	524	24	56	
popolo	1312	523	146	55	
per	1491	522	66	55	
ren	1600	521	86	56	
dere	253	593	90	58	
fruttifero	373	592	190	56	
lo	593	588	38	59	
spazioso	659	587	170	57	
sito	861	584	72	58	
ripieno	973	582	146	58	
di	1153	580	38	58	
rovine	1225	579	134	57	
di	1395	576	38	59	
fabbriche	1461	575	201	56	
,	1673	572	14	59	
e	256	657	20	56	
di	311	656	38	56	
sepolcri	378	655	159	54	
ripieni	572	652	133	54	
di	733	649	38	56	
Olle	803	648	84	55	
,	905	646	11	56	
e	951	646	19	56	
vasi	1003	645	76	55	
di	1111	643	38	55	
libazioni	1178	642	182	53	
vennero	1390	638	172	54	
tutti	1599	635	89	54	
quelli	257	713	114	58	
trasportati	397	711	212	56	
,	625	708	12	59	
forse	669	707	98	58	
per	791	706	68	58	
ordine	879	704	136	58	
del	1047	702	60	58	
Senato	1137	701	141	57	
,	1293	698	12	59	
in	1337	698	40	59	
questa	1409	697	132	57	
pianu	1565	695	127	56	
ra	258	771	38	56	
alla	330	770	66	56	
riva	427	769	76	55	
del	530	768	60	55	
Tevere	611	767	145	54	
.	778	764	9	56	
Ed	824	764	57	55	
infatti	907	763	122	54	
essendo	1058	761	159	54	
state	1246	758	93	55	
a	1369	757	19	56	
piedi	1404	756	102	55	
,	1520	754	11	56	
ed	1566	754	46	56	
all	1631	753	55	55	
intorno	259	833	158	53	
di	447	830	38	55	
questo	513	829	136	54	
colle	677	827	98	54	
scavate	805	825	144	53	
grotte	973	822	126	54	
per	1137	820	66	54	
conservarvi	1247	818	243	52	
il	1519	814	22	55	
vino	1573	813	90	54	
,	1678	812	13	55	
vi	259	891	38	55	
furono	328	890	139	54	
trovati	496	888	136	54	
de’vasi	665	886	137	53	
stretti	833	884	116	54	
,	962	882	11	55	
e	1008	882	19	55	
lunghi	1052	881	133	53	
di	1215	879	38	55	
terra	1290	878	95	54	
cotta	1414	876	103	54	
intieri	1544	875	124	53	
.	1686	873	9	55	
Inoltre	259	951	144	56	
ci	440	949	33	57	
assicura	505	948	156	55	
l'Antiquario	695	945	257	54	
Ficoroni	994	940	187	55	
,	1193	937	13	58	
che	1236	936	73	57	
in	1349	934	38	58	
occasione	1428	933	200	55	
di	1659	930	39	57	
questi	265	1009	120	58	
scavi	411	1007	100	58	
vi	551	1006	32	58	
fu	613	1005	38	58	
trovato	677	1004	150	57	
sotto	851	1002	100	58	
detto	983	1000	108	58	
monte	1121	998	130	58	
a	1283	996	20	59	
i	1323	996	10	59	
piedi	1363	995	102	58	
un	1495	993	52	59	
sepol	1578	992	128	58	
cro	265	1067	67	59	
della	367	1066	96	58	
famiglia	495	1064	162	57	
Rusticella	677	1061	204	57	
,	893	1058	10	59	
e	937	1058	18	59	
l'iscrizione	991	1057	236	56	
viene	1269	1053	110	58	
riportata	1421	1051	182	57	
dal	1622	1048	78	58	
Fabretti	265	1127	164	55	
(	453	1125	16	57	
1	479	1125	10	57	
)	497	1124	14	57	
,	531	1124	12	57	
la	573	1123	34	57	
qual	637	1122	90	56	
cosa	761	1121	88	56	
è	885	1119	20	57	
un	937	1118	52	57	
chiaro	1013	1117	128	56	
argomento	1177	1115	222	55	
,	1417	1112	12	57	
che	1461	1112	68	56	
antica	1564	1110	136	56	
mente	267	1189	126	57	
non	427	1186	78	59	
era	531	1185	60	58	
in	617	1183	38	59	
questo	685	1182	136	57	
luogo	849	1179	122	57	
tal	997	1177	48	58	
