content	x	y	w	h	
PREFACE.	1565	797	397	51	
The	381	965	85	37	
composing	488	962	240	47	
and	751	962	81	37	
compiling	856	960	225	47	
of	1103	960	45	38	
sacred	1168	960	146	38	
tune	1334	964	101	33	
and	1458	959	82	37	
song	1563	970	103	35	
books	1688	958	129	37	
in	1841	957	44	36	
the	1908	958	71	36	
United	2005	957	153	37	
States	2185	956	138	38	
has	2348	954	74	40	
grown	2448	968	143	35	
to	2616	959	43	36	
great	2686	960	117	45	
proportions,	2828	957	277	50	
but	3131	959	74	40	
the	3230	962	69	38	
credit	226	1057	133	39	
for	383	1057	68	36	
such	474	1057	100	37	
productions	598	1054	272	48	
tn	888	1050	48	40	
the	960	1055	70	36	
published	1054	1053	221	46	
histories	1299	1051	193	38	
of	1516	1051	45	37	
both	1585	1052	100	36	
hymn	1710	1052	127	44	
and	1866	1051	82	37	
tune	1977	1054	99	34	
books	2106	1050	128	37	
has	2263	1051	74	36	
been	2366	1051	102	36	
decidedly	2499	1050	217	47	
sectional.	2746	1052	209	37	
While	3011	1053	135	39	
many	3176	1067	122	33	
valuable	224	1152	193	37	
hymns	438	1153	147	44	
and	606	1150	82	37	
sacred	709	1149	144	38	
music	873	1148	129	37	
books	1025	1148	129	37	
have	1174	1149	105	36	
been	1299	1147	103	37	
composed	1424	1145	218	47	
and	1665	1145	82	37	
published	1766	1144	221	47	
in	2008	1143	43	37	
the	2071	1145	70	37	
South	2163	1143	131	38	
and	2316	1144	82	37	
West	2418	1144	117	38	
by	2557	1144	54	47	
authors	2632	1146	170	37	
of	2824	1146	44	37	
undoubted	2888	1146	242	39	
ability	3153	1149	146	45	
as	226	1257	44	25	
musicians,	291	1243	235	46	
if	548	1243	35	36	
mentioned	603	1242	238	38	
at	864	1246	42	33	
all	930	1242	55	36	
in	1006	1241	43	36	
these	1069	1241	116	37	
histories,	1208	1239	204	46	
it	1434	1238	34	38	
has	1490	1239	73	36	
been	1586	1238	103	37	
done	1712	1238	105	37	
in	1835	1237	43	37	
such	1896	1238	100	36	
condensed	2015	1237	233	37	
form	2268	1236	107	37	
as	2395	1249	44	26	
to	2457	1242	42	32	
give	2520	1236	92	47	
but	2630	1238	74	37	
little	2722	1238	109	38	
idea	2849	1238	93	38	
of	2960	1239	46	37	
the	3022	1241	70	37	
contents	3111	1245	188	34	
(	225	1352	11	24	
f	253	1339	16	36	
the	290	1340	70	36	
works	382	1338	138	37	
mentioned.	542	1335	250	38	
It,	847	1334	53	47	
however,	923	1335	204	43	
is	1150	1333	34	37	
gratifying	1209	1330	235	48	
that	1466	1331	92	37	
the	1581	1332	70	35	
music	1675	1330	127	37	
writers	1825	1329	163	38	
of	2010	1329	45	38	
