content	x	y	w	h	
7471	337	288	71	43	
7/14/71	425	288	125	43	
EQUIPMENT	78	400	205	40	
PREP	310	400	83	40	
EVA	425	400	58	40	
1	518	400	11	40	
EVA	1304	397	61	39	
1	1404	397	11	39	
PREP	1440	397	87	39	
PLSS	1950	446	82	36	
COMM	2064	447	79	36	
CHECK	2175	447	105	36	
Verify	1953	534	129	49	
Powerdown	2108	536	193	49	
CB	2333	538	43	48	
Configuration	2402	539	286	50	
(	1999	582	12	43	
White	2009	582	115	43	
Dots	2151	582	87	43	
Out	2266	582	69	43	
)	2338	582	12	43	
COMM	1948	628	81	39	
:	2042	629	11	39	
MODULATE	2102	629	178	40	
-	2314	630	11	39	
FM	2356	630	36	39	
PWR	1949	672	61	37	
AMP	2038	673	64	37	
-	2133	673	10	37	
PRIM	2176	674	80	37	
Verify	1949	718	125	43	
Voice	2107	718	105	43	
Comm	2244	718	80	43	
With	2351	718	83	43	
Hou	2461	718	68	43	
H.	2743	590	28	33	
0	2748	636	8	31	
U	2744	682	8	32	
&	2746	753	10	33	
С	2749	820	8	31	
D	2746	865	8	32	
R	2747	910	8	31	
Stow	83	490	83	45	
PGA	196	490	64	45	
Gas	279	490	72	45	
Conn	380	490	80	45	
Plugs	486	490	112	45	
In	634	490	25	45	
Purse	696	490	104	45	
Empty	83	536	107	44	
PGA	221	535	64	45	
Pockets	313	534	150	45	
Into	497	533	79	45	
Purse	607	533	102	44	
PLSS	993	539	83	36	
DONNING	1104	540	150	36	
PGA	84	582	61	39	
Relief	174	583	135	39	
Valve	336	584	105	39	
Cap	472	584	56	40	
In	565	585	29	39	
Pkt	628	585	61	40	
Verify	84	629	129	45	
Watch	237	628	115	45	
On	382	626	33	46	
PGA	448	626	59	46	
*	1085	627	10	39	
*	1133	628	10	39	
LMP	1175	629	60	40	
1st	1267	631	60	39	
:	1337	632	10	39	
*	1381	632	10	39	
Set	996	672	60	40	
PLSS	1084	673	84	40	
On	1196	675	35	39	
Mid	1261	676	60	39	
-	1334	677	10	39	
Step	1354	677	81	40	
CDR	83	716	65	41	
Move	170	716	87	41	
To	293	716	31	41	
Aft	353	716	64	41	
Cabin	447	716	103	41	
Area	579	716	86	41	
Verify	993	718	131	44	
OPS	1151	720	61	43	
Reg	1243	721	61	43	
Decay	1329	721	107	44	
Unstow	991	762	125	43	
02	1153	762	39	43	
Nozzle	1219	762	132	43	
&	1380	762	12	43	
Antenna	1421	762	157	43	
Lead	1601	762	85	43	
Unstow	86	808	125	47	
CDR	242	809	61	47	
Boots	334	809	108	47	
,	452	809	13	47	
Purge	492	810	110	47	
Valve	632	810	105	47	
To	768	811	34	47	
Purse	835	811	108	47	
Secure	998	811	127	48	
Flaps	1156	812	104	47	
CDR	85	856	59	36	
Don	175	857	59	35	
Boots	265	858	107	36	
Unstow	80	902	128	38	
CDR	240	903	64	37	
OPS	333	903	64	38	
Attach	991	902	129	41	
OPS	1152	903	58	40	
To	1244	903	36	40	
PLSS	1308	904	89	40	
Connect	993	946	155	43	
OPS	1173	946	61	43	
Antenna	1266	946	156	43	
Lead	1445	946	84	43	
To	1563	946	31	43	
PLSS	1627	946	83	43	
Remove	82	990	135	45	
Pallet	246	990	124	45	
,	385	990	12	45	
Stow	423	990	81	45	
On	540	990	32	45	
Cabin	608	990	97	45	
Fan	740	990	58	45	
Verify	991	994	130	46	
Sublimator	1153	994	218	46	
Exhausts	1402	994	169	46	
Clear	1602	994	108	46	
Perform	78	1038	150	39	
OPS	265	1038	62	39	
Check	357	1038	106	39	
Install	998	1038	147	40	
PLSS	1173	1039	84	40	
Tool	1289	1040	87	39	
Harness	1395	1041	159	39	
Restow	80	1080	129	39	
OPS	240	1080	67	39	
Unstow	991	1127	129	49	
PLSS	1153	1128	80	48	
Straps	1264	1129	133	48	
&	1425	1129	13	48	
Hoses	1465	1130	113	48	
LMP	81	1172	67	43	
Move	173	1172	88	43	
To	294	1172	31	43	
Aft	358	1172	61	43	
Cabin	446	1172	101	43	
Area	582	1172	84	43	
Remove	991	1174	134	48	
Elect	1150	1175	110	47	
Dust	1291	1176	84	47	
Cap	1399	1176	60	47	
,	1474	1177	13	47	
Stow	1514	1177	80	47	
In	1634	1177	25	47	
Purse	1692	1178	110	47	
Verify	993	1219	129	47	
AUX	1155	1220	59	46	
H20	1235	1220	66	46	
,	1315	1220	13	46	
DIVERTER	1355	1221	171	46	
,	1541	1221	13	46	
02	1580	1222	42	46	
,	1630	1222	13	46	
&	1672	1222	13	46	
Unstow	83	1264	130	45	
LMP	246	1264	59	45	
Boots	333	1264	110	45	
,	449	1264	12	45	
Purge	494	1264	102	45	
Valve	627	1264	109	45	
To	766	1264	32	45	
Purse	828	1264	110	45	
PRIM	1034	1267	85	38	
H20	1146	1268	64	37	
-	1224	1268	10	37	
OFF	1239	1268	64	38	
Stow	84	1308	80	41	
IV	203	1309	32	41	
Gloves	264	1309	132	42	
In	431	1310	29	41	
Bot	491	1310	64	42	
Boot	583	1311	87	41	
Comp	699	1312	81	41	
Connect	995	1310	155	46	
Battery	1173	1311	150	45	
Cable	1359	1312	104	45	
LMP	86	1355	59	37	
Don	177	1356	59	37	
Boots	268	1356	103	38	
Verify	990	1402	135	45	
The	1154	1402	64	45	
Following	1246	1402	198	45	
Locked	1464	1402	135	45	
:	1610	1402	12	45	
Unstow	83	1445	124	41	
LMP	242	1445	65	41	
OPS	335	1445	59	41	
PLSS	1035	1448	87	43	
Battery	1149	1448	154	43	
Connection	1337	1448	213	43	
Remove	82	1491	133	43	
Pallet	242	1491	132	43	
,	385	1491	12	43	
Stow	427	1491	79	43	
On	537	1491	39	43	
Cabin	609	1491	95	43	
Fan	746	1491	55	43	
OPS	1035	1493	67	42	
Antenna	1126	1494	156	42	
Lead	1304	1495	88	42	
To	1422	1495	39	42	
PLSS	1493	1496	80	42	
Perform	79	1536	153	38	
OPS	265	1537	61	38	
Check	354	1538	106	38	
OPS	1037	1540	63	37	
To	1135	1541	27	37	
PLSS	1198	1541	79	38	
&	422	1586	13	46	
Ancillary	459	1586	151	46	
Container	626	1586	167	46	
Stow	85	1627	84	46	
LMP	200	1628	65	46	
OPS	287	1628	66	47	
On	383	1629	33	46	
Eng	447	1629	65	46	
Cover	543	1630	99	46	
Don	993	1630	55	43	
PLSS	1081	1630	87	43	
