content	x	y	w	h	
276	749	381	133	116	
BESCHOUWING	1062	380	1304	114	
Gelyk	841	543	238	111	
een	1141	546	110	110	
hongerige	1312	548	383	114	
gaſt	1761	554	123	110	
,	1913	556	33	109	
Die	848	671	138	96	
ſteeds	1029	673	217	97	
op	1263	676	88	95	
zyne	1393	677	173	97	
buiten	1593	680	231	97	
paſt	1868	683	136	96	
,	2016	685	28	95	
Na	758	790	130	102	
zyn	933	792	114	101	
gevang	1115	794	250	104	
'	1369	797	30	100	
ne	1392	797	94	102	
toe	1533	799	115	102	
geſchooten	1697	801	401	104	
:	2127	806	30	100	
Dan	858	915	144	101	
weerd	1046	917	215	103	
men	1296	920	157	102	
zich	1514	923	131	101	
met	1688	925	159	102	
hand	1886	927	171	103	
en	2102	930	58	100	
voer	2221	931	155	102	
,	2384	933	30	100	
En	846	1044	104	93	
is	1007	1048	53	92	
beangſtigd	1101	1050	394	101	
van	1548	1061	119	94	
gemoet	1734	1066	267	97	
,	2018	1073	28	92	
Men	745	1159	170	119	
wouw	951	1163	221	120	
het	1219	1168	121	119	
warnet	1364	1172	271	122	
graag	1674	1179	190	120	
ontwringen	1910	1184	409	125	
.	2331	1193	37	117	
Men	838	1298	161	104	
heeft	1047	1300	187	105	
de	1266	1303	96	105	
goede	1390	1304	221	107	
raad	1638	1307	145	105	
veracht	1831	1310	264	105	
,	2114	1313	31	103	
En	851	1424	99	108	
met	984	1426	153	107	
de	1180	1428	79	106	
wysheid	1290	1429	284	109	
maar	1610	1433	185	108	
gelacht	1850	1436	262	109	
,	2121	1439	32	106	
Om	748	1535	123	110	
vrolyk	937	1539	222	113	
in	1216	1545	44	109	
de	1318	1548	83	110	
bogt	1423	1551	202	112	
te	1652	1556	63	110	
ſpringen	1751	1558	294	115	
.	2068	1566	34	109	
Maar	831	1667	201	97	
wie	1067	1672	150	96	
dit	1256	1676	95	95	
klaar	1389	1679	175	97	
voor	1598	1684	170	98	
oogen	1811	1689	204	98	
ſtaat	2074	1695	149	97	
,	2230	1699	29	94	
Die	842	1792	133	94	
zie	1021	1796	94	94	
,	1134	1799	28	92	
hoe	1208	1801	146	95	
'	1385	1805	28	92	
t	1413	1806	28	92	
met	1461	1807	147	96	
het	1649	1813	120	94	
vliegje	1802	1816	232	98	
gaat	2076	1824	158	94	
,	2240	1828	28	92	
Dat	751	1915	143	101	
hy	911	1919	111	99	
de	1049	1921	75	100	
vrye	1159	1924	155	101	
uitvlucht	1349	1927	335	106	
ſchroome	1723	1935	353	105	
,	2081	1943	30	99	
En	847	2031	108	119	
houw	993	2033	181	118	
zich	1229	2036	158	118	
zelven	1435	2038	208	119	
binnen	1689	2041	236	120	
paal	1973	2044	154	119	
,	2129	2046	35	117	
Op	847	2154	115	105	
dat	1002	2156	104	104	
zyn	1149	2158	120	104	
herte	1302	2159	194	105	
niet	1533	2162	140	105	
en	1716	2164	78	104	
dwaal	1842	2166	210	105	
,	2064	2169	31	103	
Om	734	2273	134	107	
in	940	2277	59	105	
het	1046	2279	121	108	
looze	1213	2282	189	109	
net	1456	2288	121	106	
te	1617	2291	79	106	
komen	1739	2294	237	109	
,	2009	2300	32	105	
Want	839	2397	229	103	
ſchoon	1092	2403	232	104	
al	1368	2410	76	100	
ziet	1482	2413	132	102	
gy	1658	2418	76	99	
geen	1784	2421	156	102	
gevaar	1998	2427	222	103	
,	2240	2433	31	99	
Het	825	2527	158	100	
herten	1020	2529	230	101	
-	1268	2532	30	99	
leed	1299	2532	132	101	
komt	1473	2535	213	101	
achter	1699	2537	237	102	
naar	1973	2541	141	100	
.	2126	2542	30	99	
JOB	1271	2735	162	104	
XVIII	1464	2737	212	105	
:	1694	2740	30	102	
8	1756	2741	30	102	
,	1797	2741	30	102	
9	1839	2742	30	102	
,	1870	2742	30	102	
10	1923	2743	58	102	
.	1995	2744	30	102	
N	825	2903	27	91	
ant	954	2904	105	92	
met	1081	2906	132	92	
zyne	1259	2908	148	92	
voeten	1433	2910	189	93	
zal	1679	2913	105	92	
by	1814	2915	86	91	
in	1933	2916	52	91	
'	2015	2917	27	91	
t	2043	2917	27	91	
net	2093	2918	92	92	
geworpen	2227	2920	297	94	
worden	730	2994	241	98	
,	1002	2997	29	96	
en	1082	2998	54	96	
zal	1184	2999	111	97	
in	1324	3001	54	96	
het	1413	3002	111	97	
werre	1541	3003	210	99	
-	1749	3006	29	96	
garen	1776	3006	165	98	
wandelen	1978	3009	312	99	
.	2312	3013	29	96	
De	827	3091	106	98	
ſtrik	958	3092	129	98	
zal	1122	3094	124	97	
[	1264	3096	29	96	
hem	1300	3096	97	97	
]	1448	3098	29	96	
by	1504	3099	72	96	
de	1588	3100	88	97	
verſene	1689	3101	236	99	
vatten	1956	3104	198	98	
:	2185	3107	29	96	
de	2228	3108	88	96	
ſtruik	2323	3109	211	99	
roover	720	3194	217	94	
zal	981	3197	118	93	
hem	1124	3198	106	93	
overweldigen	1292	3200	427	97	
.	1740	3206	27	92	
Zyn	832	3282	118	103	
touw	1006	3284	147	103	
is	1235	3287	58	102	
in	1339	3288	58	102	
de	1439	3289	78	103	
aarde	1553	3291	191	103	
verborgen	1782	3293	308	106	
;	2160	3298	30	102	
en	2275	3299	58	103	
zyne	2381	3300	165	104	
valle	727	3382	179	119	
op	946	3384	67	119	
het	1060	3386	103	119	
pad	1203	3387	120	119	
.	1337	3389	35	118	
SPREU	2196	3492	323	91	
