content	x	y	w	h	
L	1295	121	14	51	
2-1	1260	184	98	57	
BOOST	746	324	161	61	
PREPARATION	950	320	373	58	
-20	303	470	90	56	
:	413	468	17	57	
00	434	468	66	56	
Change	742	456	206	73	
X	999	453	22	75	
STABLE	1065	452	196	73	
MEMBER	1298	450	206	73	
AZIMUTH	1540	447	235	73	
,	1789	444	22	75	
if	1863	443	56	75	
necessary	1951	442	313	72	
:	2275	439	22	75	
BOOST	2457	644	55	164	
*	1936	722	8	30	
*	1098	596	15	55	
178E	1132	595	129	55	
*	1099	654	22	75	
F	1137	653	22	75	
06	1206	652	45	74	
29	1311	650	57	75	
X	1449	648	22	75	
SM	1515	647	56	74	
AZ	1621	645	57	74	
(	1730	643	22	75	
.01	1748	643	108	73	
°	1859	641	22	75	
)	1889	641	22	75	
*	1927	640	22	75	
*	1100	730	17	59	
V21E	1130	730	137	59	
*	1102	800	18	61	
Load	1128	799	137	60	
new	1302	797	97	60	
Azimuth	1446	795	230	59	
*	1106	873	16	54	
PRO	1133	872	94	54	
*	1102	940	18	61	
ALIGN	1137	939	163	57	
GDC	1337	935	97	60	
.	1956	852	32	8	
*	1956	872	32	8	
*	1957	941	32	8	
AUTO	926	1072	137	75	
RCS	1107	1069	91	76	
A	1251	1067	23	77	
/	1281	1066	23	77	
C	1313	1066	23	77	
ROLL	1381	1065	129	75	
(	1563	1062	23	77	
4	1593	1062	23	77	
)	1625	1061	23	77	
-	1695	1060	23	77	
OFF	1763	1059	99	76	
(	1905	1057	23	77	
verify	1935	1057	199	74	
)	2139	1054	23	77	
AUTO	934	1151	127	60	
RCS	1104	1147	99	60	
B	1247	1145	18	62	
/	1285	1144	18	62	
D	1317	1144	18	62	
ROLL	1381	1142	128	60	
BI	1558	1139	58	61	
&	1663	1137	18	62	
B2	1728	1136	59	61	
-	1839	1134	18	62	
MNA	1898	1133	99	59	
AUTO	927	1218	133	62	
RCS	1108	1214	95	63	
B	1252	1211	19	65	
/	1284	1211	19	65	
D	1318	1210	19	65	
ROLL	1386	1209	127	62	
Dl	1558	1206	59	63	
&	1667	1204	19	65	
D2	1728	1202	61	64	
-	1839	1200	19	65	
MNB	1900	1199	95	63	
AUTO	935	1289	131	55	
RCS	1109	1286	99	55	
PITCH	1245	1283	165	54	
A3	1456	1279	64	55	
&	1567	1277	17	57	
C4	1633	1276	53	56	
MNB	1794	1272	98	57	
AUTO	937	1355	131	60	
RCS	1110	1352	96	59	
PITCH	1244	1350	167	59	
C3	1459	1346	55	61	
&	1568	1345	18	61	
A4	1633	1343	55	61	
MNA	1794	1341	99	55	
AUTO	934	1428	138	56	
RCS	1108	1424	94	58	
YAW	1246	1422	94	58	
B3	1384	1419	66	58	
&	1498	1417	18	59	
14	1558	1416	66	58	
MNA	1727	1416	102	55	
AUTO	935	1496	131	55	
RCS	1115	1493	90	56	
YAW	1255	1491	82	56	
D3	1393	1488	62	57	
&	1497	1487	17	57	
B4	1561	1486	62	56	
MNB	1729	1486	103	52	
BOOST	2431	1613	55	172	
PREPARATION	2426	1402	50	368	
-15	320	1646	92	59	
:	434	1646	17	59	
00	460	1646	54	59	
DATE_7	161	2539	55	258	
/	137	2286	78	30	
9	134	2254	78	30	
/	131	2222	78	30	
71	128	2195	73	80	
CTE	772	1638	90	60	
UPDATE	904	1635	203	59	
VERIFICATION	1150	1631	408	54	
DC	944	1702	59	62	
IND	1054	1700	91	61	
sel	1187	1697	100	61	
-	1332	1695	19	63	
BAT	1389	1694	100	61	
C	1536	1691	19	63	
DC	1011	1768	62	64	
VOLTS	1117	1767	168	64	
ind	1332	1765	85	65	
-	1472	1764	19	65	
37-37.5	1548	1763	221	63	
vdc	1818	1761	101	64	
DC	941	1840	70	59	
IND	1058	1838	88	59	
sel	1192	1835	88	60	
-	1334	1833	18	61	
MNA	1390	1832	105	58	
FDAI	949	1908	139	64	
-	1089	1905	20	67	
1	1123	1905	20	67	
total	1195	1903	165	64	
att	1397	1900	96	66	
R	1537	1898	20	67	
=	1571	1897	20	67	
90	1610	1896	50	67	
+	1680	1895	20	67	
AZ	1712	1895	50	66	
,	1782	1893	20	67	
P	1850	1892	20	67	
=	1884	1892	20	67	
90	1914	1891	63	67	
,	1989	1890	20	67	
Y	2061	1889	20	67	
=	2088	1888	20	67	
0	2122	1888	20	67	
FDAI	950	1978	139	61	
SCALE	1122	1976	162	61	
-	1338	1973	19	63	
5/5	1395	1972	91	62	
RATE	949	2051	126	54	
HIGH	1187	2048	133	52	
TRANS	953	2112	166	72	
CONTR	1167	2108	154	73	
PWR	1374	2105	87	74	
-on	1509	2103	86	74	
(	1617	2101	22	75	
up	1645	2101	56	74	
)	1715	2100	22	75	
(	1791	2099	22	75	
verify	1819	2098	194	73	
)	2027	2095	22	75	
RHCPWR	950	2184	243	64	
DIRECT	1227	2180	211	64	
(	1445	2176	20	67	
2	1479	2176	20	67	
)	1513	2175	20	67	
-MNA	1545	2175	131	65	
/	1683	2173	20	67	
MNB	1703	2173	106	65	
CMC	955	2258	93	56	
MODE	1093	2255	129	56	
-	1270	2252	18	59	
FREE	1339	2250	121	57	
BMAG	955	2323	125	68	
MODE	1124	2320	135	67	
(	1312	2316	21	70	
3	1341	2316	21	70	
)	1376	2315	21	70	
-	1447	2314	21	70	
RATE	1507	2313	137	67	
1	1689	2309	21	70	
RHC	951	2398	99	54	
#	1102	2395	17	57	
2	1137	2394	17	57	
-	1207	2392	17	57	
ARMED	1265	2391	168	53	
ASTRO	783	2468	168	55	
LAUNCH	996	2464	193	56	
OPERATIONS	1236	2459	342	52	
VOICE	1622	2452	157	56	
CHECK	1824	2448	157	57	
LMP	958	2532	98	58	
S	1106	2529	18	61	
BD	1171	2528	55	60	
SW	1279	2526	44	61	
-	1378	2524	18	61	
OFF	1442	2523	105	59	
CDR	960	2602	94	58	
VHF	1101	2599	102	57	
AM	1239	2597	55	59	
SW	1349	2595	44	59	
-	1452	2594	18	59	
OFF	1515	2592	102	57	
VOICE	790	2674	161	60	
CHECK	1003	2670	160	60	
WITH	1195	2666	140	61	
MCCH	1378	2663	123	61	
LMP	961	2738	96	64	
S	1106	2736	19	65	
BD	1174	2735	61	65	
SW	1282	2734	48	64	
-	1389	2732	19	65	
T	1455	2732	19	65	
/	1488	2731	19	65	
R	1521	2731	19	65	
CDR	961	2808	100	62	
VHF	1104	2806	101	62	
AM	1239	2804	59	63	
SW	1350	2803	48	62	
-	1454	2801	19	63	
T	1531	2800	19	63	
/	1556	2800	19	63	
R	1588	2799	19	63	
SPS	966	2870	95	72	
THRUST	1109	2867	199	71	
-	1355	2864	22	73	
NORMAL	1421	2863	197	70	
(	1666	2859	22	73	
locked	1693	2859	197	70	
)	1903	2855	22	73	
AV	960	2947	79	69	
THRUST	1084	2944	189	67	
(	1327	2939	21	71	
2	1356	2939	21	71	
)	1384	2938	21	71	
-	1456	2937	21	71	
OFF	1526	2935	93	69	
a	970	3016	18	65	
/	1010	3016	18	65	
PC	1038	3015	60	65	
IND	1152	3015	84	64	
SW	1285	3014	47	65	
-	1392	3013	18	65	
a	1458	3013	18	65	
LAUNCH	2472	2434	60	198	
TRAJECTORY	2471	2179	60	329	
NEAR	2455	3261	56	129	
INSERTION	2456	3082	56	292	
ABORT	2518	3156	57	165	
