content	x	y	w	h	
REPORT	1562	678	213	57	
OF	1798	676	64	58	
SUB	1889	676	100	57	
-	1993	675	16	58	
COMMITTEE	2013	675	309	56	
ON	2361	672	53	58	
REVISION	2450	672	255	56	
.	2719	670	16	58	
We	736	831	61	48	
,	797	831	13	48	
the	832	831	54	48	
undersigned	907	831	223	48	
sub	1159	831	62	48	
-	1223	831	13	48	
committee	1237	831	191	48	
appointed	1456	831	184	48	
by	1666	831	45	48	
the	1737	831	62	48	
general	1825	831	137	48	
committee	1987	831	192	48	
on	2202	831	36	48	
revision	2266	831	147	48	
of	2442	831	36	48	
the	2503	831	54	48	
Sacred	2582	831	120	48	
Harp	2730	831	96	48	
,	2830	831	13	48	
respectfully	2864	831	223	48	
submit	3119	831	131	48	
the	3270	831	63	48	
work	3355	831	87	48	
performed	3474	831	195	48	
by	652	883	43	48	
us	722	883	36	48	
in	778	883	27	48	
this	835	883	68	48	
volume	926	883	137	48	
,	1061	883	13	48	
to	1097	883	25	48	
the	1149	883	62	48	
general	1230	883	146	48	
committee	1394	883	192	48	
,	1586	883	13	48	
and	1624	883	62	48	
believe	1703	883	138	48	
it	1866	883	26	48	
will	1919	883	69	48	
in	2013	883	26	48	
its	2072	883	48	48	
present	2141	883	143	48	
form	2305	883	75	48	
answer	2418	883	132	48	
the	2569	883	63	48	
great	2653	883	99	48	
demand	2773	883	148	48	
of	2945	883	43	48	
the	3006	883	62	48	
music	3083	883	115	48	
people	3221	883	119	48	
of	3363	883	36	48	
this	3424	883	66	48	
country	3515	883	144	48	
.	3663	883	13	48	
We	646	932	76	51	
believe	738	932	126	51	
it	890	932	29	51	
contains	946	932	159	51	
more	1123	932	87	51	
sacred	1245	932	106	51	
songs	1382	932	106	51	
and	1505	932	66	51	
hymns	1599	932	130	51	
than	1754	932	77	51	
any	1859	932	66	51	
other	1962	932	91	51	
sacred	2079	932	121	51	
tune	2228	932	76	51	
and	2330	932	65	51	
song	2419	932	87	51	
book	2519	932	87	51	
yet	2634	932	58	51	
published	2720	932	177	51	
,	2903	932	14	51	
and	2930	932	66	51	
will	3021	932	77	51	
do	3119	932	38	51	
its	3184	932	44	51	
work	3250	932	94	51	
in	3372	932	27	51	
the	3426	932	59	51	
religious	3509	932	170	51	
field	652	988	68	43	
of	746	988	40	43	
music	797	988	108	43	
wherever	933	988	167	43	
rendered	1127	988	154	43	
.	1290	988	12	43	
