content	x	y	w	h	
EMER	1305	208	133	55	
1-15	1305	275	132	57	
SM	403	383	52	58	
RCS	500	383	100	58	
THRUSTER	652	383	259	58	
FAILED	954	383	197	58	
ON	1196	383	64	58	
SM	2476	674	66	61	
RCS	2475	576	66	104	
.BMAG	449	512	151	79	
MODE	635	512	145	79	
(	824	512	23	79	
3	856	512	23	79	
)	888	512	23	79	
-	960	512	23	79	
RATE	1030	512	130	79	
2	1208	512	23	79	
CHG	469	593	92	59	
TO	613	592	54	59	
OTHER	715	592	164	58	
SC	925	591	54	59	
CONT	1027	591	137	58	
MODE	1201	590	126	59	
ROT	464	654	107	75	
CONT	612	654	138	75	
PWR	790	654	96	75	
DIR	920	654	96	75	
(	1070	654	21	75	
2	1101	654	21	75	
)	1139	654	21	75	
-	1207	654	21	75	
MNA	1273	654	96	75	
/	1381	654	21	75	
MNB	1410	654	97	75	
STOP	471	724	129	67	
SPACECRAFT	649	724	338	67	
RATES	1027	724	164	67	
WITH	1228	724	131	67	
DIRECT	1406	724	207	67	
RCS	1653	724	96	67	
AUTO	475	795	120	73	
RCS	642	795	94	73	
SEL	785	795	94	73	
(	935	795	21	73	
16	966	795	41	73	
)	1031	795	21	73	
-	1105	795	21	73	
OFF	1170	795	94	73	
IF	474	940	58	63	
CONDITION	576	939	304	62	
PERSISTS	922	937	269	62	
AUTO	468	1066	134	83	
RCS	643	1066	95	83	
SEL	785	1066	96	83	
(	931	1066	24	83	
16	965	1066	46	83	
)	1031	1066	24	83	
-	1107	1066	24	83	
ON	1163	1066	62	83	
(	1275	1066	24	83	
AS	1308	1066	60	83	
REQ'D	1407	1066	171	83	
)	1585	1066	24	83	
MAN	465	1144	94	73	
ATT	606	1144	104	73	
(	758	1144	21	73	
3	788	1144	21	73	
)	825	1144	21	73	
-	899	1144	21	73	
ACCEL	954	1144	170	73	
CMD	1171	1144	94	73	
STOP	469	1214	126	65	
SPACECRAFT	650	1214	335	65	
RATES	1031	1214	159	65	
cb	469	1277	65	72	
SCS	580	1278	92	73	
DIR	716	1279	92	73	
ULL	858	1280	92	73	
(	1006	1282	19	72	
2	1035	1282	19	72	
)	1065	1282	19	72	
(	1108	1283	19	72	
Pnl	1136	1283	102	72	
8	1276	1284	19	72	
)	1313	1284	19	72	
-	1386	1285	19	72	
open	1449	1285	129	73	
ROT	464	1354	105	73	
CONT	615	1354	135	73	
PWR	785	1354	94	73	
DIR	924	1354	94	73	
(	1069	1354	21	73	
2	1105	1354	21	73	
)	1135	1354	21	73	
-	1209	1354	21	73	
OFF	1270	1354	94	73	
ALARM	2488	1561	67	171	
CODES	2492	1344	66	162	
IF	474	1494	57	62	
CONDITION	575	1493	296	61	
PERSISTS	921	1492	275	61	
NEUTRALIZE	465	1640	341	54	
RHC	853	1638	96	55	
SM	477	1698	55	77	
RCS	576	1698	99	77	
PRPLNT	716	1698	201	77	
(	968	1698	22	77	
AFFECTED	987	1698	283	77	
QUAD	1310	1698	128	77	
)	1444	1698	22	77	
-	1522	1698	22	77	
OFF	1579	1698	99	77	
SM	368	1912	58	63	
RCS	470	1911	100	63	
LITE	609	1910	131	63	
SM	471	2044	55	77	
RCS	578	2044	88	77	
HE	707	2044	73	77	
(	830	2044	22	77	
2	862	2044	22	77	
)	892	2044	22	77	
-	962	2044	22	77	
CLOSE	1030	2044	160	77	
SEE	470	2120	98	61	
RCS	606	2120	95	61	
1	754	2120	17	61	
4/15/71	179	2345	62	247	
SM	365	2326	63	69	
RCS	471	2326	97	69	
QUAD	613	2326	121	69	
SECURE	788	2326	194	69	
DATE	201	2567	57	128	
SM	465	2456	62	81	
RCS	574	2456	93	81	
He	697	2456	91	81	
1	830	2456	23	81	
&	888	2456	23	81	
2	960	2456	23	81	
(	1034	2456	23	81	
AFFECTED	1055	2456	276	81	
QUAD	1376	2456	127	81	
)	1518	2456	23	81	
(	1592	2456	23	81	
2	1625	2456	23	81	
)	1658	2456	23	81	
-	1732	2456	23	81	
CLOSE	1796	2456	156	81	
SM	472	2532	54	73	
RCS	574	2532	94	73	
PRIM	717	2532	121	73	
PRPLNT	884	2532	201	73	
(	1141	2532	21	73	
AFFECTED	1166	2532	273	73	
QUAD	1479	2532	127	73	
)	1621	2532	21	73	
-	1695	2532	21	73	
CLOSE	1761	2532	157	73	
Fire	468	2604	139	77	
one	651	2604	91	77	
jet	791	2604	87	77	
in	934	2604	40	77	
affected	1032	2604	269	77	
quad	1344	2604	126	77	
-	1524	2604	22	77	
2	1586	2604	22	77	
sec	1653	2604	99	77	
continuously	1797	2604	407	77	
AUTO	466	2667	137	83	
RCS	643	2667	94	83	
SELECT	785	2667	196	83	
(	1030	2667	24	83	
AFFECTED	1063	2667	271	83	
QUAD	1373	2667	140	83	
)	1518	2667	24	83	
(	1593	2667	24	83	
4	1618	2667	24	83	
)	1652	2667	24	83	
-	1728	2667	24	83	
OFF	1793	2667	95	83	
(	1938	2667	24	83	
except	1970	2667	207	83	
BOOST	2213	2667	162	83	
)	2391	2667	24	83	
