content	x	y	w	h	
12198	374	293	258	100	
.	399	397	26	89	
368	442	397	128	89	
PREFACE	1150	1446	487	79	
A	816	1614	16	58	
long	864	1614	97	58	
felt	982	1614	74	58	
desire	1065	1614	140	58	
for	1230	1614	58	58	
songs	1304	1614	133	58	
with	1447	1614	92	58	
words	1571	1614	144	58	
of	1735	1614	42	58	
Hope	1789	1614	112	58	
,	1907	1614	16	58	
Cheer	1936	1614	136	58	
,	2078	1614	16	58	
Love	701	1686	112	54	
and	831	1686	78	54	
Pity	934	1686	86	54	
;	1031	1686	15	54	
for	1081	1686	62	54	
melodies	1158	1686	211	54	
that	1387	1686	97	54	
can	1495	1686	69	54	
sink	1596	1686	86	54	
to	1711	1686	40	54	
the	1772	1686	77	54	
depth	1878	1686	126	54	
of	2045	1686	50	54	
sorrow	705	1754	150	58	
and	880	1754	82	58	
rise	990	1754	84	58	
to	1088	1754	43	58	
the	1147	1754	74	58	
heights	1239	1754	175	58	
of	1436	1754	43	58	
joy	1497	1754	58	58	
,	1561	1754	16	58	
has	1598	1754	75	58	
had	1694	1754	74	58	
most	1804	1754	123	58	
to	1961	1754	43	58	
do	2036	1754	52	58	
with	701	1831	96	46	
the	825	1831	70	46	
publication	914	1831	259	46	
of	1193	1831	50	46	
this	1262	1831	81	46	
book	1360	1831	102	46	
.	1479	1831	13	46	
It	807	1901	36	50	
is	865	1901	27	50	
the	919	1901	71	50	
prayer	1007	1901	159	50	
of	1186	1901	47	50	
the	1249	1901	72	50	
publishers	1342	1901	248	50	
that	1606	1901	96	50	
these	1719	1901	121	50	
messages	1857	1901	227	50	
in	705	1966	32	58	
rhyme	767	1966	158	58	
shall	939	1966	111	58	
float	1070	1966	100	58	
from	1194	1966	90	58	
soul	1322	1966	98	58	
to	1428	1966	43	58	
soul	1499	1966	96	58	
until	1621	1966	113	58	
the	1764	1966	74	58	
hills	1877	1966	93	58	
and	2003	1966	83	58	
valleys	707	2038	156	58	
shall	883	2038	109	58	
awake	1010	2038	150	58	
into	1175	2038	87	58	
joyful	1287	2038	143	58	
singing	1446	2038	169	58	
.	1616	2038	16	58	
PUBLISHERS	1458	2112	285	51	
.	1745	2112	14	51	
