content	x	y	w	h	
14	869	248	73	127	
LOF	1116	254	305	132	
EN	1508	263	94	127	
VRUCHT	1696	267	710	141	
Ik	854	376	62	109	
was	972	378	157	112	
in	1177	383	43	108	
de	1285	385	102	111	
gevangeniſſe	1443	389	518	120	
,	1985	401	33	109	
en	2059	403	82	110	
gy	2202	406	82	110	
zyt	2341	410	140	111	
tot	2509	413	126	111	
my	992	496	151	105	
gekomen	1186	498	357	108	
.	1562	504	31	103	
Matth	1637	505	260	106	
:	1916	508	31	103	
XXV	2009	509	205	106	
:	2228	512	31	103	
36	2330	513	76	104	
.	2425	515	31	103	
By	809	1544	121	129	
ur	901	1569	275	169	
door	1160	1636	173	143	
Maat	1414	1702	173	143	
berei	1604	1753	206	150	
Die	999	687	125	98	
'	1164	691	29	96	
t	1193	691	29	96	
licht	1257	693	166	99	
des	1439	697	124	98	
levens	1602	701	227	100	
heeft	1842	706	203	100	
ontſtooken	2074	712	382	104	
,	2482	721	29	96	
In	939	786	53	93	
'	1050	788	28	93	
c	1087	789	28	93	
duiſter	1155	791	240	97	
hol	1430	797	133	95	
van	1613	801	108	95	
'	1756	804	28	93	
zondens	1778	805	310	99	
nacht	2131	813	208	97	
,	2342	818	28	93	
En	937	882	104	93	
met	1079	885	145	95	
zyn	1280	889	106	94	
hooge	1453	893	226	97	
liefdens	1729	900	294	98	
kracht	2057	907	245	97	
,	2314	913	28	92	
Der	827	970	163	107	
hellen	1026	975	224	108	
banden	1307	981	250	109	
heeft	1615	988	193	108	
gebrooken	1858	994	380	112	
,	2265	1003	32	104	
Op	920	1076	112	89	
dat	1084	1080	114	89	
de	1251	1084	82	88	
arme	1374	1087	202	90	
ziel	1607	1092	137	89	
weer	1782	1096	182	90	
vry	2021	1101	101	89	
Een	919	1172	137	91	
Erfgenaam	1124	1177	364	96	
des	1576	1187	113	90	
Hemels	1728	1191	291	93	
zy	2068	1199	82	89	
:	2170	1201	27	88	
Die	832	1258	120	105	
heeft	1003	1262	188	106	
na	1246	1268	79	104	
uw	1367	1271	97	104	
bezoek	1523	1274	253	108	
verlangen	1838	1281	349	110	
,	2215	1290	31	103	
Daar	908	1356	193	107	
hy	1149	1362	77	104	
in	1292	1365	41	102	
zyn	1398	1367	119	105	
geringe	1585	1372	266	108	
kuecht	1897	1379	256	108	
,	2160	1385	31	103	
In	930	1458	55	97	
boeje	1048	1460	189	101	
en	1308	1466	55	98	
banden	1426	1469	260	102	
vaſtgehecht	1750	1476	435	106	
,	2189	1486	30	97	
By	828	1551	89	98	
u	960	1554	30	97	
,	1018	1556	30	97	
op	1090	1557	89	98	
aarden	1229	1560	224	102	
zit	1520	1567	98	99	
gevangen	1662	1570	325	104	
,	2017	1579	30	97	
Waar	907	1644	205	108	
door	1160	1650	176	107	
uw	1378	1655	97	105	
laagte	1542	1659	219	108	
werd	1796	1664	194	108	
vergunt	2048	1670	285	110	
,	2340	1677	32	104	
Dat	916	1740	137	99	
gy	1107	1745	71	97	
zyn	1241	1748	111	98	
ſtaat	1422	1752	151	99	
bereiken	1610	1756	306	102	
kunt	1979	1765	172	99	
.	2144	1768	29	96	
Dieswegen	813	1834	400	104	
hebt	1271	1844	175	100	
gy	1482	1849	89	97	
groote	1630	1853	236	100	
reden	1908	1859	198	100	
Om	919	1932	105	98	
met	1086	1936	151	99	
een	1281	1941	111	98	
welbedacht	1443	1944	429	106	
gemoed	1920	1955	277	102	
,	2233	1963	29	96	
Dar	909	2028	137	99	
zier	1090	2032	140	99	
op	1268	2036	89	98	
een	1416	2040	110	98	
onzienlyk	1585	2044	354	103	
goed	1998	2053	171	99	
,	2196	2058	29	96	
Tor	824	2119	131	103	
zulk	991	2123	142	103	
een	1207	2128	101	102	
voordeel	1373	2132	329	107	
toe	1742	2140	116	102	
te	1898	2144	77	101	
treeden	2023	2147	265	105	
,	2315	2153	31	100	
Waar	900	2217	214	104	
door	1156	2223	170	103	
uw	1378	2228	93	101	
onvermogen	1544	2232	437	109	
wind	2038	2243	190	104	
,	2241	2248	31	100	
Te	910	2313	107	98	
werden	1056	2317	250	101	
Chriſtus	1388	2324	293	102	
tot	1726	2332	110	98	
een	1877	2336	112	97	
vrind	2042	2339	192	100	
,	2257	2344	29	96	
Die	803	2407	131	102	
zyne	994	2411	170	103	
vrienden	1206	2416	304	106	
ſchoon	1588	2425	233	104	
zal	1871	2431	117	102	
geeven	2034	2435	237	105	
Dat	798	2506	149	98	
eeuwig	1001	2510	241	101	
ongevangen	1308	2518	426	105	
leven	1792	2529	170	99	
.	1982	2533	29	96	
De	881	2597	98	90	
Heere	1006	2600	180	92	
geeve	1220	2605	166	91	
het	1404	2609	90	90	
huis	1520	2611	125	92	
van	1667	2615	115	91	
Oneziforus	1836	2619	347	96	
barmhertig	2205	2627	385	97	
heid	797	2678	116	90	
:	924	2681	27	88	
want	977	2682	171	91	
hy	1167	2686	82	89	
heeft	1256	2688	151	90	
my	1440	2693	98	89	
dikmaal	1562	2695	263	94	
verkwikt	1843	2702	293	94	
,	2152	2709	27	88	
en	2203	2710	67	89	
heeft	2301	2712	152	91	
zich	2461	2716	116	90	
myner	777	2761	210	89	
keten	1032	2767	145	88	
niet	1212	2771	123	87	
geſchaamd	1368	2775	330	91	
.	1701	2783	26	85	
Maar	1746	2784	200	88	
als	1971	2789	87	85	
hy	2079	2791	78	86	
te	2188	2794	48	84	
Romen	2274	2796	203	89	
ge	2495	2801	91	86	
komen	792	2845	185	85	
was	1004	2850	140	84	
,	1147	2853	25	82	
heeft	1194	2854	148	84	
hy	1355	2858	76	83	
my	1427	2859	121	84	
zeer	1560	2862	131	85	
naarſtelyk	1724	2866	319	89	
gezocht	2077	2874	240	87	
,	2320	2880	25	82	
en	2370	2881	46	81	
heeft	2449	2883	141	83	
[	798	2925	25	82	
my	817	2925	107	84	
]	920	2928	25	82	
gevonden	975	2929	272	87	
.	1272	2936	25	82	
De	1337	2937	91	83	
Heere	1452	2940	182	85	
geeve	1672	2945	172	85	
hein	1877	2950	104	83	
,	2010	2953	25	82	
dat	2063	2954	106	84	
hy	2194	2957	76	83	
barmher	2287	2959	298	88	
tigheid	790	3001	204	89	
vinde	1035	3006	181	90	
by	1233	3011	66	87	
den	1316	3013	99	87	
Heere	1467	3016	183	90	
,	1657	3021	26	86	
in	1710	3022	49	85	
dien	1801	3024	112	87	
dag	1960	3028	123	88	
:	2094	3031	26	86	
en	2148	3032	49	85	
hoe	2239	3034	98	88	
veel	2365	3037	124	87	
hy	2511	3040	80	87	
[	788	3082	29	95	
my	808	3082	105	97	
]	913	3085	29	95	
te	967	3086	37	94	
Efezen	1051	3088	205	99	
gediend	1295	3093	238	100	
beeft	1550	3099	168	98	
,	1728	3103	29	95	
weet	1776	3104	153	98	
gy	1957	3109	71	95	
zeer	2057	3111	122	97	
wel	2208	3114	123	98	
.	2324	3117	29	95	
2	2361	3118	29	95	
Tim	2422	3119	111	97	
:	2563	3122	29	95	
1	796	3167	27	88	
:	814	3167	27	88	
16	886	3169	51	89	
,	966	3171	27	88	
17	1029	3172	51	89	
,	1108	3174	27	88	
18	1162	3175	51	89	
.	1224	3177	27	88	
Ge	2444	3280	139	97	
heeft	1543	3100	189	118	
,	1695	3062	74	150	
reden	1761	3051	184	116	
dagoen	1953	3002	249	105	
hy	2180	2949	112	139	
bar	2267	2930	133	130	
