content	x	y	w	h	
PDI	558	3755	98	217	
2	557	3466	99	30	
ABORT	556	3349	96	402	
CARD	553	2870	97	291	
T2-2	714	2442	88	169	
(	715	2251	88	25	
PDI	715	2221	88	124	
2	715	2038	88	25	
+19	715	1961	89	175	
:	716	1771	88	25	
40	716	1717	88	96	
ABORT	715	1205	70	229	
PAD	714	929	69	133	
+	889	5676	11	41	
+	868	4902	46	13	
0	863	4768	59	4	
0	862	4638	60	4	
0	994	4639	63	7	
LOG	924	2773	73	117	
INSERTION	923	2579	72	383	
GET	922	2153	71	135	
=	920	2002	74	21	
+	1001	5704	46	14	
+	1000	4903	46	13	
o	1010	4740	15	54	
0	994	4504	63	7	
5	1009	1297	64	19	
0	1008	1118	63	19	
0	989	888	77	23	
0	986	706	78	23	
DATE	833	324	176	83	
6/10/71	1052	326	325	85	
+	1128	5701	44	13	
+	1122	4901	48	13	
+	1068	2173	48	13	
CSI	1146	2322	76	135	
GET	1144	2150	76	133	
=	1142	2004	78	23	
0	1114	4774	66	6	
o	1404	2467	16	57	
PDI	740	4818	73	141	
2	742	4621	71	20	
PAD	743	4542	72	121	
010	858	5599	67	181	
HRS	869	4098	88	130	
(	866	3946	90	27	
106	866	3912	89	107	
)	864	3773	90	27	
N33	874	3563	68	135	
000	992	5618	69	379	
MIN	998	4108	93	132	
(	998	3940	93	27	
22	998	3882	93	88	
)	998	3772	93	27	
PDI	1009	3557	69	134	
0	1115	5575	66	17	
SEC	1134	4098	85	121	
34.00	1133	3902	85	194	
)	1133	3674	85	24	
XIX	1265	5722	70	195	
X	1259	4900	67	20	
X	1259	4769	67	19	
TGO	1267	4090	90	129	
(	1267	3944	90	25	
11:04	1267	3899	90	198	
)	1266	3690	90	25	
N61	1266	3552	90	129	
X	1399	4084	90	26	
RANGE	1398	3997	90	210	
(	1398	3767	90	26	
+0.0	1397	3733	90	169	
)	1397	3556	90	26	
X	1541	5699	68	19	
1	1541	5628	68	19	
X	1541	5564	68	19	
1	1541	5490	68	19	
X	1541	5432	68	19	
R	1530	4090	93	24	
(	1534	3977	93	24	
000	1535	3948	95	116	
)	1540	3799	93	23	
FDAI	1541	3644	73	174	
X	1673	5695	68	19	
X	1674	5563	69	19	
X	1674	5431	69	19	
XIX	1675	4775	62	185	
P	1664	4084	90	27	
(	1663	3976	90	27	
111	1662	3932	90	117	
)	1661	3803	90	26	
AT	1674	3648	69	86	
TIG	1675	3509	69	104	
X	1810	5700	68	19	
X	1811	5561	68	19	
X	1811	5429	68	19	
XIX	1812	4784	62	185	
Y	1790	4082	102	31	
(	1788	3979	101	31	
310	1787	3941	98	121	
)	1783	3814	101	32	
DEDA	1942	4094	73	170	
231	1943	3871	73	128	
IF	1943	3686	73	64	
ROD	1943	3566	74	128	
(	2044	5485	87	25	
O	2044	5449	87	25	
<	2044	5396	87	25	
PDI	2044	5365	87	136	
2	2044	5174	87	25	
<	2042	5086	88	26	
9:16	2042	5014	88	169	
)	2042	4819	88	25	
ABORT	2042	4732	88	213	
PAD	2042	4469	88	113	
EARLY	2042	4288	87	213	
+	1406	2761	42	11	
0	1394	2629	59	4	
+	1397	1962	42	12	
N33	1402	622	68	135	
+	1520	2761	47	13	
010	1511	2663	64	189	
0	1514	2372	56	15	
+	1522	1962	42	11	
x	1565	4862	16	59	
X	1544	4760	60	4	
X	1547	4628	61	6	
TIG	1536	612	70	113	
+	1667	2758	45	13	
o	1675	2599	14	52	
+	1666	1960	39	12	
0	1654	1835	58	4	
X	1678	4894	62	7	
X	1814	4895	60	5	
010	1380	1859	69	182	
HRS	1392	1165	90	141	
(	1392	997	90	25	
106	1392	961	90	103	
)	1392	824	90	25	
000	1506	1886	64	349	
MIN	1520	1172	101	137	
(	1524	1003	98	26	
42	1525	940	99	86	
)	1528	826	97	26	
SEC	1660	1166	82	122	
(	1656	1012	85	26	
14.10	1655	961	82	204	
)	1651	740	85	25	
+10	1796	1979	65	173	
HRS	1772	1166	95	125	
(	1778	998	91	22	
109	1780	962	92	120	
)	1784	826	91	22	
01010	1927	1854	69	318	
MIN	1906	1181	93	137	
(	1904	998	95	28	
18	1903	923	95	71	
)	1902	830	95	28	
SEC	2038	1166	89	133	
(	2034	1001	92	28	
38.30	2033	956	88	199	
)	2028	739	92	28	
N69	2162	1669	73	138	
TARGET	2161	1477	73	248	
UPDATE	2160	1177	73	266	
o	1808	1667	15	54	
+	1842	2771	13	43	
0	1807	2498	59	4	
o	1853	2646	15	52	
010	1927	2515	67	185	
0	1937	2632	58	16	
+	1964	2731	13	43	
N37	1790	619	68	132	
ΤΡΙ	1907	622	79	123	
M	2008	564	114	32	
+	1944	1960	42	12	
+	2064	2756	44	11	
0	2057	2630	56	16	
+	2057	1957	44	11	
o	2100	1854	16	56	
LOG	2240	5694	77	121	
INSERTION	2240	5503	76	374	
GET	2239	5081	77	142	
=	2239	4921	77	22	
T	2251	4408	167	17	
0	2340	4031	72	21	
0	2354	4218	59	4	
0	2339	3828	73	6	
ADN	2314	1967	68	106	
RNG	2314	1805	68	118	
0	2346	3641	68	19	
+	2389	5099	48	14	
BOOST	2466	5339	77	218	
GET	2465	5081	78	146	
=	2464	4927	78	22	
AX	2446	1967	70	65	
RNG	2446	1848	69	121	
V25	2438	949	75	113	
ㅜ	2485	4369	170	39	
o	2588	4181	18	58	
o	2590	3794	14	52	
0	2573	4034	71	19	
0	2573	3635	74	15	
ARLS	2584	1975	66	172	
+	2611	5099	48	14	
HAM	2688	5248	73	125	
GET	2688	5070	73	136	
=	2688	4921	73	20	
1	2689	4415	165	16	
ADN	2716	1975	69	112	
RNG	2713	1799	69	122	
V21	2710	955	67	139	
o	2803	4183	15	57	
0	2791	4036	64	18	
0	2774	3834	79	21	
0	2776	3644	78	21	
CSI	2906	5245	78	134	
GET	2906	5070	78	131	
=	2906	4920	78	22	
ADN	2886	1979	68	115	
RNG	2885	1796	68	118	
AX	2987	1974	67	74	
RNG	2984	1840	67	109	
V24	2959	956	69	126	
o	3156	5383	15	54	
V23	3104	948	69	126	
+	3149	5676	58	6	
N37	3121	3557	70	129	
ARLS	3120	1975	65	173	
+	3163	4860	10	38	
0	3142	5550	66	6	
+	3278	5681	47	14	
+	3268	4883	48	13	
0	3257	4482	63	6	
ΤΡΙ	3253	3558	74	124	
0	3131	4757	68	19	
0	3131	4625	68	19	
HRS	3112	4090	95	133	
(	3113	3932	94	25	
111	3114	3900	95	119	
)	3115	3762	94	25	
01010	3264	5582	69	329	
00	3251	4800	76	243	
MIN	3248	4094	87	133	
(	3251	3926	85	22	
17	3252	3862	87	60	
)	3253	3763	86	23	
010	3380	4771	71	171	
SEC	3378	4082	90	128	
(	3378	3934	90	25	
04.20	3378	3900	90	206	
)	3378	3679	90	25	
T1-2	3527	5446	83	184	
(	3524	5254	85	25	
9:16	3524	5216	84	152	
<	3523	4986	85	25	
PDI	3522	4914	84	134	
2	3521	4727	85	25	
<	3520	4632	85	25	
15	3518	4540	85	65	
)	3518	4459	85	25	
ABORT	3517	4379	84	221	
PAD	3515	4111	85	122	
LATE	3514	3938	83	161	
+	3406	5678	46	14	
0	3390	5554	66	6	
+	3391	4878	48	14	
THROTTLE	3527	2496	69	339	
DOWN	3522	2101	72	157	
LOG	3678	5684	75	122	
INSERTION	3676	5494	71	376	
GET	3670	5060	75	131	
=	3668	4920	77	23	
5	3760	4226	77	22	
5	3758	4051	78	22	
0	3761	3833	78	21	
0	3764	3635	79	21	
+	3824	5090	47	14	
CSI	3900	5276	70	135	
TIG	3898	5093	70	103	
PAGE	3821	317	171	70	
5	4056	314	21	72	
010	4068	5573	69	192	
+	4066	4868	56	6	
+	4082	5672	47	14	
010	4057	4768	68	189	
N37	4045	3556	67	125	
+	4062	2738	47	13	
+	4063	1940	40	11	
000	4205	5594	62	374	
+	4190	4876	73	22	
0100	4188	4762	68	348	
+	4216	5671	47	14	
HRS	4033	4086	101	127	
(	4034	3935	100	28	
109	4036	3898	100	113	
)	4037	3767	100	28	
MIN	4165	4091	92	133	
(	4164	3923	92	27	
18	4164	3860	92	70	
)	4164	3755	92	27	
SEC	4309	4073	90	115	
(	4309	3934	90	26	
38.30	4309	3896	90	202	
)	4309	3679	90	25	
ΤΡΙ	4172	3547	69	113	
+	4193	2738	45	12	
0	4186	2476	61	4	
+	4190	1944	44	13	
0	4186	2345	61	5	
O	4231	2575	15	54	
T3-2	3877	2329	93	176	
(	3878	2093	92	26	
1	3878	2056	92	26	
REV	3878	1978	93	130	
)	3880	1834	91	26	
ABORT	3880	1756	92	212	
TIME	3881	1488	92	166	
0	4051	2620	69	20	
1	4051	2550	69	19	
0	4051	2480	69	19	
0	4044	1818	66	18	
0	4044	1691	66	18	
HRS	4020	1150	96	135	
(	4022	952	95	27	
108	4022	901	97	107	
)	4024	779	95	27	
N33	4032	565	65	136	
or	4027	377	68	67	
0	4164	1822	78	23	
0	4162	1687	77	23	
010	4172	1700	74	195	
MIN	4158	1163	90	144	
(	4154	937	91	27	
39	4154	893	91	67	
)	4153	808	91	28	
TIG	4162	554	72	103	
SEC	4278	1145	113	134	
(	4274	943	116	35	
10.00	4273	893	114	193	
)	4271	684	116	35	
N	4267	530	116	35	
PD12	4459	2530	83	167	
/	4459	2340	83	24	
PD12	4459	2315	84	168	
ABORT	4460	2086	83	215	
EXTRA	4469	1446	72	217	
ASTENT	4436	842	70	275	
/	4439	562	68	19	
UST	4439	523	68	137	
NOTES	4512	751	72	216	
LUNAR	4554	2546	76	226	
SURFACE	4556	2264	76	292	
P27	4559	1493	72	136	
PAD	4559	1306	71	123	
o	4310	1778	15	54	
o	4327	4709	16	56	
+	4306	1937	44	13	
+	4333	2714	11	41	
K	4278	3442	114	13	
+	4327	5666	61	5	
0	4321	5542	66	6	
O	4304	2597	58	5	
AGS	4465	5610	84	137	
SV	4463	5428	85	79	
/	4462	5335	85	25	
IMPACT	4462	5285	82	253	
P30	4555	5386	70	122	
TPF	4502	4824	80	123	
REL	4505	4642	79	123	
TRAJ	4507	4456	80	158	
NOM	4592	4874	77	118	
COEL	4595	4687	77	161	
RNDZ	4596	4469	78	166	
CSI	4487	3830	71	137	
CDH	4576	4090	80	116	
/	4576	3954	80	23	
PLANE	4574	3908	81	206	
CHANGE	4574	3649	79	257	
