content	x	y	w	h	
TIE	297	318	59	36	
A	370	318	25	36	
STRING	408	318	144	36	
AND	567	318	84	36	
BURY	666	318	106	36	
IT	787	318	30	36	
Blaustein	322	413	115	36	
,	441	413	7	36	
Richard	456	413	87	36	
.	548	413	1	36	
Moving	570	413	89	37	
Beyond	664	414	89	36	
Stereotypes	759	414	142	37	
in	920	415	16	36	
Herbal	332	453	77	32	
and	416	453	42	32	
Magical	466	453	92	32	
Medicine	565	453	105	32	
.	673	453	5	32	
Ed	688	453	24	32	
.	718	453	1	32	
James	729	453	76	32	
Kirkland	816	453	93	32	
et	919	453	20	32	
al	332	492	16	35	
.	353	492	1	35	
Durham	366	492	89	35	
and	467	492	39	35	
London	518	492	83	35	
:	606	492	1	35	
Duke	619	492	56	35	
University	685	492	117	35	
Press	811	492	61	35	
,	876	492	2	35	
1992	886	492	59	35	
.	949	492	1	35	
Baldwin	331	533	84	34	
,	418	533	2	34	
Karen	429	533	60	34	
.	493	533	1	34	
Folk	516	533	38	34	
Medicine	562	533	98	34	
in	667	533	16	34	
Contemporary	693	533	157	34	
America	857	533	92	34	
in	332	573	17	33	
Herbal	358	573	73	33	
and	436	573	42	33	
Magical	483	573	90	33	
Medicine	577	573	103	33	
.	680	573	5	33	
Ed	693	573	25	33	
.	722	573	1	33	
James	732	573	74	33	
Kirkland	815	573	88	33	
et	912	573	20	33	
al	331	612	15	33	
.	351	612	1	33	
Durham	362	612	86	33	
and	458	612	38	33	
London	506	612	80	33	
:	591	612	1	33	
Duke	602	612	54	33	
University	665	612	111	33	
Press	784	612	58	33	
,	845	612	2	33	
1992	854	612	57	33	
.	915	612	1	33	
Brady	331	654	67	33	
,	395	654	7	33	
Erika	411	654	56	33	
,	470	654	2	33	
Ed	483	654	25	33	
.	513	654	1	33	
Healing	527	654	87	32	
Logics	619	653	76	33	
:	696	653	9	33	
Culture	707	653	84	33	
and	800	653	42	32	
Medi	849	652	70	34	
cine	331	693	47	33	
in	386	693	19	33	
Modern	413	693	90	33	
Health	512	693	75	33	
Belief	597	693	69	33	
Systems	672	693	100	33	
.	769	693	9	33	
Logan	784	693	65	33	
:	850	693	7	33	
Utah	869	693	51	33	
State	332	733	61	33	
University	403	733	117	33	
Press	529	733	61	33	
,	594	733	2	33	
