content	x	y	w	h	
1886	2262	300	140	74	
clas	2294	376	94	74	
INDEX	1181	381	280	125	
OF	1510	381	115	125	
SUBJECTS	1691	381	458	125	
.	2160	381	36	125	
ACTIVITY	612	624	170	46	
.	785	623	13	47	
-	799	623	13	47	
11	890	623	34	47	
,	924	623	13	47	
30	952	622	34	47	
,	991	622	13	47	
49	1018	622	35	47	
,	1054	622	13	47	
80	1082	622	34	47	
,	1121	622	13	47	
109	1149	621	53	47	
,	1207	621	13	47	
112	1234	621	55	47	
,	1294	621	13	47	
127	1322	621	53	47	
,	1378	620	13	47	
128	1408	620	53	47	
,	1462	620	13	47	
156	1490	620	53	47	
,	1548	620	13	47	
167	1577	620	54	46	
,	1635	619	13	47	
|	1668	619	13	47	
INFANT	1710	619	139	46	
CLASS	1860	618	110	47	
.	1971	618	13	47	
-	1995	618	13	47	
21	2026	617	35	47	
,	2062	617	13	47	
24	2090	617	34	47	
,	2129	617	13	47	
92	2157	617	34	47	
,	2196	617	13	47	
96	2225	617	26	46	
,	2263	616	13	47	
148	2290	616	55	47	
.	2350	616	13	47	
238	693	677	52	46	
,	751	677	13	46	
246	778	677	52	46	
.	835	677	13	46	
JESUS	1709	672	100	51	
,	1810	672	14	51	
PRECIOUS	1837	672	175	51	
.	2013	672	14	51	
—	2033	672	14	51	
5	2065	672	14	51	
,	2085	672	14	51	
40	2112	672	28	51	
,	2148	672	14	51	
41	2172	672	38	51	
,	2215	672	14	51	
43	2240	672	37	51	
,	2278	672	14	51	
48	2302	672	38	51	
,	2340	672	14	51	
50	2372	672	28	51	
,	2408	672	14	51	
75	2432	672	38	51	
,	2475	672	14	51	
175	2508	672	50	51	
,	2559	672	14	51	
203	2591	672	58	51	
,	2647	672	14	51	
360	2680	672	52	51	
ANNIVERSARIES	608	732	295	37	
.	901	729	11	40	
-	918	729	11	40	
-	926	729	11	40	
142	958	729	58	39	
.	1016	728	11	40	
Joy	1712	725	65	50	
.	1775	725	14	50	
—	1800	725	14	50	
32	1830	725	36	50	
,	1872	725	14	50	
85	1895	725	38	50	
,	1933	725	14	50	
202	1961	725	58	50	
,	2025	725	14	50	
206	2056	725	43	50	
.	2111	725	14	50	
BIRTH	614	776	103	47	
OF	748	776	43	47	
CHRIST	816	776	127	47	
.	943	776	13	47	
-	967	776	13	47	
10	1000	776	34	47	
,	1039	776	13	47	
17	1067	776	34	47	
,	1102	776	13	47	
161	1136	776	54	47	
,	1188	776	13	47	
184	1216	776	53	47	
.	1275	776	13	47	
JESUS	1707	776	105	47	
,	1811	776	13	47	
OUR	1841	776	74	47	
FRIEND	1930	776	143	47	
.	2075	776	13	47	
-	2094	776	13	47	
-	2103	776	13	47	
61	2122	776	52	47	
,	2171	776	13	47	
98	2205	776	26	47	
,	2238	776	13	47	
163	2268	776	53	47	
,	2324	776	13	47	
170	2352	776	53	47	
.	2411	776	13	47	
BIBLE	610	824	107	51	
.	723	824	14	51	
—	744	824	14	51	
27	780	824	29	51	
,	817	824	14	51	
76	836	824	37	51	
,	879	824	14	51	
119	908	824	52	51	
,	967	824	14	51	
132	992	824	58	51	
.	1051	824	14	51	
JUDGMENT	1706	828	198	47	
DAY	1920	828	80	47	
.	2002	828	13	47	
-	2026	828	13	47	
143	2058	828	55	47	
,	2117	828	13	47	
205	2145	828	53	47	
.	2203	828	13	47	
BLOOD	615	880	110	46	
OF	749	879	43	46	
JESUS	821	878	101	46	
.	920	877	13	47	
-	939	877	13	47	
-	959	877	13	47	
20	977	876	34	47	
,	1016	876	13	47	
101	1044	876	53	46	
,	1103	875	13	47	
165	1132	875	54	47	
,	1189	874	13	47	
171	1217	874	53	47	
,	1275	874	13	47	
174	1302	873	55	47	
,	1362	873	13	47	
223	1390	872	53	47	
.	1448	872	13	47	
LOVE	1704	880	98	47	
OF	1816	880	43	47	
CHRIST	1877	880	134	47	
.	2011	880	13	47	
-	2038	880	13	47	
2	2074	880	13	47	
,	2088	880	13	47	
58	2116	880	34	47	
,	2155	880	13	47	
141	2183	880	54	47	
,	2242	880	13	47	
240	2270	880	53	47	
,	2328	880	13	47	
263	2358	880	53	47	
.	2415	880	13	47	
CHILDREN	613	932	181	43	
OF	814	932	48	43	
A	880	932	12	43	
KING	911	932	100	43	
.	1016	932	12	43	
-	1034	932	12	43	
9	1069	932	12	43	
.	1087	932	12	43	
LOVE	1704	932	98	47	
FOR	1826	932	60	47	
THE	1917	932	74	47	
CHURCH	2011	932	151	47	
.	2170	932	13	47	
—	2189	932	13	47	
268	2228	932	54	47	
.	2285	932	13	47	
CHRIST	608	981	131	48	
A	760	981	13	48	
Rock	801	981	85	48	
.	897	981	13	48	
-	921	981	13	48	
44	957	981	25	48	
,	990	981	13	48	
131	1025	981	54	48	
,	1078	981	13	48	
149	1107	981	55	48	
,	1161	981	13	48	
220	1190	981	55	48	
.	1250	981	13	48	
MISSIONARY	1703	980	230	51	
.	1929	980	14	51	
-	1950	980	14	51	
55	1986	980	37	51	
,	2028	980	14	51	
78	2052	980	38	51	
,	2091	980	14	51	
113	2120	980	59	51	
,	2179	980	14	51	
115	2208	980	52	51	
,	2267	980	14	51	
145	2292	980	58	51	
,	2351	980	14	51	
173	2385	980	59	51	
.	2444	980	14	51	
CLOSING	608	1033	147	46	
HYMN	774	1033	115	46	
.	895	1033	13	46	
-	913	1033	13	46	
198	950	1033	52	46	
.	1007	1033	13	46	
MISCELLANEOUS	1696	1032	313	51	
.	2007	1032	14	51	
-	2028	1032	14	51	
16	2066	1032	27	51	
,	2096	1032	14	51	
25	2130	1032	38	51	
,	2169	1032	14	51	
34	2198	1032	38	51	
,	2236	1032	14	51	
36	2274	1032	27	51	
,	2309	1032	14	51	
39	2340	1032	29	51	
,	2377	1032	14	51	
71	2402	1032	37	51	
,	2444	1032	14	51	
84	2474	1032	37	51	
,	2517	1032	14	51	
91	2541	1032	38	51	
,	2579	1032	14	51	
97	2610	1032	37	51	
,	2647	1032	14	51	
102	2678	1032	52	51	
,	2730	1032	14	51	
COMING	611	1088	135	45	
OF	764	1086	44	47	
CHRIST	825	1085	135	46	
.	959	1084	14	47	
-	983	1083	14	47	
121	1016	1083	54	46	
,	1075	1082	14	47	
180	1102	1082	55	46	
,	1161	1081	14	47	
231	1189	1081	54	46	
.	1247	1080	14	47	
104	1789	1088	55	43	
,	1846	1088	12	43	
122	1877	1088	55	43	
,	1930	1088	12	43	
123	1965	1088	48	43	
,	2018	1088	12	43	
137	2048	1088	55	43	
,	2106	1088	12	43	
153	2138	1088	55	43	
,	2189	1088	12	43	
177	2220	1088	55	43	
,	2277	1088	12	43	
178	2308	1088	55	43	
,	2365	1088	12	43	
196	2396	1088	42	43	
,	2449	1088	12	43	
209	2479	1088	55	43	
.	2537	1088	12	43	
COMING	608	1139	138	45	
TO	772	1138	33	46	
CHRIST	826	1138	125	45	
.	956	1137	13	46	
—	974	1137	13	46	
65	1005	1137	42	45	
,	1045	1136	13	46	
74	1072	1136	34	46	
,	1111	1136	13	46	
182	1143	1136	52	46	
,	1200	1135	13	46	
186	1227	1135	46	46	
,	1285	1135	13	46	
195	1312	1135	52	46	
,	1369	1135	13	46	
208	1401	1134	53	46	
,	1458	1134	13	46	
212	1491	1134	52	46	
,	1548	1133	13	46	
242	1575	1133	53	46	
.	1632	1133	13	46	
PARTING	1708	1144	157	51	
HYMNS	1881	1144	138	51	
.	2019	1144	14	51	
