content	x	y	w	h	
Prane	3986	2870	76	28	
Moreline	4075	2870	130	28	
,	4216	2870	4	28	
Tempio	1689	2893	170	73	
Di	1901	2893	67	73	
Bacco	2050	2892	139	73	
,	2182	2892	21	73	
ovvero	2213	2892	147	72	
delle	2387	2891	124	73	
Camene	2564	2891	218	72	
in	1703	2957	38	86	
oggi	1775	2957	119	86	
Chiesa	1947	2957	158	86	
di	2141	2957	50	86	
S.	2236	2957	48	86	
Urbano	2303	2957	156	86	
alla	2488	2957	100	86	
Caffarella	2608	2957	237	86	
Temple	2989	2893	185	80	
de	3205	2892	56	80	
Bacchus	3313	2892	231	79	
,	3530	2891	23	80	
ou	3597	2891	43	79	
des	3674	2890	65	80	
Camènes	3782	2890	211	78	
Eglise	2986	2953	162	82	
de	3182	2954	47	82	
Urbain	3381	2955	154	83	
à	3592	2957	29	82	
ta	3662	2958	46	82	
Caffarella	3768	2959	226	83	
