content	x	y	w	h	
a	152	266	19	45	
shock	182	266	103	45	
to	294	266	31	45	
everybody	338	266	180	45	
.	520	266	10	45	
”	529	266	10	45	
She	552	266	63	45	
recalled	626	266	139	45	
people	776	266	117	45	
were	904	266	83	45	
upset	1000	266	95	45	
and	1106	266	63	45	
many	1182	266	95	45	
were	1288	266	85	45	
crying	1384	266	111	45	
.	1495	266	9	45	
Blanding	153	315	154	44	
Drinkard	314	315	156	44	
remembered	479	315	218	44	
how	705	315	72	44	
he	784	315	39	44	
felt	832	315	56	44	
on	896	315	40	44	
hearing	945	315	131	44	
the	1082	315	54	44	
news	1145	315	86	44	
:	1236	315	3	44	
“	1250	315	7	44	
I	1269	315	7	44	
was	1285	315	65	44	
crushed	1360	315	136	44	
...	139	365	21	44	
We	170	365	56	44	
really	237	365	98	44	
felt	343	365	57	44	
like	409	365	62	44	
...	482	365	21	44	
something	515	365	185	44	
would	706	365	107	44	
come	824	365	91	44	
up	925	365	41	44	
that	976	365	71	44	
would	1055	365	107	44	
make	1172	365	92	44	
them	1273	365	90	44	
change	1374	365	121	44	
their	152	414	84	44	
minds	245	414	109	44	
.	352	414	8	44	
”	364	414	8	44	
LaVerne	382	414	146	45	
Foster	537	415	110	44	
remembered	656	415	220	45	
,	879	416	5	44	
“	894	416	5	44	
A	901	416	31	44	
lot	939	416	45	45	
of	992	417	35	44	
people	1032	417	112	44	
were	1152	417	84	44	
very	1244	418	75	44	
unhappy	1326	418	151	44	
,	1480	418	27	44	
very	151	465	77	44	
sad	239	465	55	44	
,	300	465	9	44	
”	309	465	9	44	
and	332	465	62	44	
Vera	405	465	82	44	
Edwards	497	465	156	44	
recalled	665	465	139	44	
the	815	465	55	44	
announcement	883	465	266	44	
day	1161	465	61	44	
as	1233	465	34	44	
a	1302	465	11	44	
black	1323	465	94	44	
day	1429	465	55	44	
.	1488	465	9	44	
Ishmael	151	517	140	42	
Hall	301	517	72	42	
remembered	383	517	222	42	
after	614	517	82	42	
the	703	517	55	42	
announcement	768	517	264	42	
that	1039	517	71	42	
“	1119	517	8	42	
alot	1137	517	67	42	
ofwomen	1214	517	167	42	
cried	1390	517	87	42	
...	1487	517	21	42	
well	152	566	71	45	
,	226	566	5	45	
everybody	242	566	179	45	
thought	428	566	137	45	
the	572	566	55	45	
world	636	566	101	45	
was	744	566	67	45	
coming	820	566	129	45	
to	956	566	31	45	
an	998	566	41	45	
end	1046	566	63	45	
.	1112	566	5	45	
You	1126	566	67	45	
figured	1200	566	123	45	
you'd	1330	566	91	45	
lose	1428	566	69	45	
yourjob	151	616	137	43	
-	303	616	9	43	
what	326	616	87	43	
were	421	616	85	43	
you	515	616	62	43	
going	586	616	95	43	
to	688	616	33	43	
do	732	616	39	43	
?	783	616	8	43	
”	796	616	8	43	
Overthe	202	666	138	44	
followingfive	348	666	220	44	
yearsthe	575	666	147	44	
base	729	666	74	44	
was	809	666	65	44	
gradually	881	666	155	44	
phased	1042	666	118	44	
out	1168	666	58	44	
,	1223	666	8	44	
with	1235	666	76	44	
employees	1319	666	176	44	
transferring	152	717	207	48	
to	366	717	32	48	
other	410	717	89	48	
bases	507	717	93	48	
,	602	717	5	48	
obtaining	618	717	162	48	
other	789	717	89	48	
employment	888	717	220	48	
,	1100	717	9	48	
or	1120	717	34	48	
retiring	1165	717	128	48	
.	1295	717	3	48	
Most	1310	717	87	48	
areas	1407	717	88	48	
continued	154	767	165	45	
to	325	767	31	45	
function	363	767	140	45	
with	509	767	75	45	
a	592	767	17	45	
reduced	615	767	131	45	
workforce	752	767	165	45	
.	922	767	8	45	
Blanding	936	767	147	45	
Drinkard	1090	767	149	45	
recalled	1247	767	128	45	
the	1381	767	52	45	
last	1440	767	58	45	
few	154	816	59	43	
years	218	816	87	43	
on	312	816	43	43	
his	360	816	47	43	
job	412	816	51	43	
with	470	816	77	43	
his	552	816	49	43	
Buildings	606	816	159	43	
and	772	816	61	43	
Grounds	840	816	143	43	
crew	990	816	68	43	
:	1072	816	5	43	
“	1086	816	10	43	
Everybody	1101	816	178	43	
did	1286	816	51	43	
whatever	1342	816	157	43	
had	153	867	60	42	
to	222	867	31	42	
be	263	867	38	42	
done	311	867	80	42	
,	394	867	5	42	
no	410	867	39	42	
matter	460	867	112	42	
who	580	867	71	42	
you	660	867	61	42	
were	729	867	82	42	
...	822	867	21	42	
We	852	867	55	42	
got	917	867	51	42	
down	977	867	92	42	
to	1077	867	32	42	
the	1118	867	53	42	
bone	1180	867	81	42	
...	1272	867	21	42	
I	1303	867	12	42	
wasn't	1324	867	110	42	
the	1442	867	53	42	
last	152	916	60	43	
one	220	916	58	43	
to	285	916	32	43	
walk	324	916	81	43	
offthe	412	916	101	43	
ship	522	916	69	43	
but	598	916	56	43	
Iwasthereʻtil	661	916	228	43	
it	905	916	15	43	
was	928	916	68	43	
very	1003	916	66	43	
dismal	1079	916	115	43	
...	1195	916	24	43	
dismal	1229	916	118	43	
'	1350	916	5	43	
is	1364	916	26	43	
a	1398	916	17	43	
kind	1422	916	74	43	
word	152	964	84	47	
...	245	964	22	47	
A	274	964	29	47	
little	308	964	77	47	
anger	394	964	95	47	
would	494	964	105	47	
get	606	964	49	47	
in	664	964	27	47	
-	711	964	9	47	
people	730	964	109	47	
were	846	964	83	47	
upset	938	964	89	47	
and	1036	964	61	47	
stressed	1106	964	131	47	
.	1243	964	8	47	
”	1255	964	8	47	
Virginia	199	1018	145	40	
Dewrell's	354	1018	162	40	
Office	529	1018	100	40	
of	642	1018	35	40	
Civilian	685	1018	138	40	
Personnel	834	1018	175	40	
Records	1021	1018	143	40	
was	1174	1018	67	40	
one	1253	1018	60	40	
of	1326	1018	36	40	
the	1368	1018	54	40	
last	1435	1018	62	40	
to	152	1064	33	43	
close	194	1064	87	43	
.	286	1064	3	43	
Virginia	298	1064	145	43	
herselfhad	450	1064	191	43	
the	650	1064	55	43	
distinction	714	1064	193	43	
ofbeing	914	1064	137	43	
the	1058	1064	55	43	
last	1120	1064	63	43	
civilian	1192	1064	131	43	
worker	1330	1064	125	43	
to	1462	1064	33	43	
leave	152	1114	89	43	
Brookley	252	1114	157	43	
in	418	1114	35	43	
1969.	464	1114	87	43	
Her	564	1114	65	43	
office	640	1114	93	43	
was	742	1114	67	43	
responsible	820	1114	203	43	
for	1034	1114	49	43	
all	1094	1114	41	43	
the	1144	1114	55	43	
transfers	1210	1114	159	43	
of	1380	1114	37	43	
staff	1422	1114	79	43	
to	152	1165	32	48	
other	196	1165	92	48	
bases	297	1165	96	48	
,	395	1165	5	48	
including	412	1165	166	48	
making	587	1165	130	48	
moving	726	1165	130	48	
arrangements	865	1165	243	48	
,	1110	1165	8	48	
filing	1127	1165	90	48	
paperwork	1225	1165	183	48	
,	1413	1165	9	48	
and	1434	1165	62	48	
taking	152	1218	110	42	
care	270	1218	70	42	
of	350	1218	35	42	
all	390	1218	39	42	
details	439	1218	113	42	
of	561	1218	39	42	
the	601	1218	60	42	
relocations	664	1218	197	42	
.	856	1218	8	42	
She	874	1218	62	42	
stated	946	1218	103	42	
duringthe	1059	1218	174	42	
final	1242	1218	74	42	
four	1325	1218	72	42	
years	1404	1218	90	42	
of	154	1267	37	44	
the	197	1267	55	44	
closure	266	1267	129	44	
her	408	1267	59	44	
office	480	1267	93	44	
typically	585	1267	157	44	
worked	752	1267	134	44	
ten	897	1267	57	44	
-	959	1267	10	44	
hour	973	1267	84	44	
days	1070	1267	81	44	
,	1147	1267	9	44	
seven	1170	1267	100	44	
days	1283	1267	78	44	
a	1374	1267	18	44	
week	1401	1267	93	44	
Those	165	1317	96	46	
last	271	1317	62	46	
four	342	1317	72	46	
years	422	1317	92	46	
were	523	1317	84	46	
a	618	1317	17	46	
nightmare	645	1317	188	46	
,	836	1317	5	46	
”	843	1317	5	46	
she	859	1317	56	46	
recalled	926	1317	138	46	
.	1068	1317	3	46	
Linda	202	1366	104	42	
Bracewell	318	1366	178	42	
was	507	1366	68	42	
a	589	1366	18	42	
temporary	617	1366	190	42	
worker	817	1366	128	42	
hired	958	1366	94	42	
on	1065	1366	42	42	
after	1121	1366	83	42	
the	1216	1366	55	42	
closure	1286	1366	128	42	
was	1427	1366	68	42	
announced	152	1416	187	43	
.	343	1416	8	43	
During	360	1416	121	43	
her	488	1416	57	43	
sixteen	554	1416	123	43	
months	686	1416	129	43	
of	824	1416	37	43	
employment	866	1416	215	43	
in	1090	1416	33	43	
Central	1132	1416	127	43	
Procurement	1268	1416	229	43	
Accounting	146	1464	196	43	
,	340	1464	9	43	
there	356	1464	87	43	
was	450	1464	63	43	
a	523	1464	12	43	
prevailing	548	1464	166	43	
sense	739	1464	87	43	
ofgloomand	834	1464	207	43	
doom	1048	1464	78	43	
”	1147	1464	8	43	
in	1164	1464	31	43	
the	1202	1464	53	43	
office	1262	1464	92	43	
,	1351	1464	9	43	
she	1368	1464	55	43	
said	1430	1464	63	43	
.	1496	1464	8	43	
“	139	1514	8	45	
It	158	1514	23	45	
was	190	1514	66	45	
so	267	1514	33	45	
sad	312	1514	56	45	
because	377	1514	136	45	
many	525	1514	95	45	
[	631	1514	9	45	
of	643	1514	35	45	
her	683	1514	57	45	
co	750	1514	36	45	
-	790	1514	10	45	
workers	803	1514	140	45	
]	945	1514	9	45	
were	966	1514	83	45	
faced	1060	1514	90	45	
with	1159	1514	78	45	
that	1246	1514	70	45	
dilemma	1329	1514	166	45	
were	152	1564	83	43	
they	242	1564	75	43	
going	324	1564	93	43	
to	424	1564	33	43	
transfer	466	1564	139	43	
or	612	1564	35	43	
were	654	1564	83	43	
they	746	1564	75	43	
going	828	1564	93	43	
to	928	1564	33	43	
retire	970	1564	94	43	
...	1072	1564	24	43	
they	1104	1564	75	43	
were	1186	1564	83	43	
all	1278	1564	39	43	
so	1326	1564	35	43	
sad	1372	1564	54	43	
.	1430	1564	9	43	
Several	202	1614	123	45	
of	334	1614	32	45	
the	373	1614	52	45	
interviewees	430	1614	215	45	
faced	652	1614	89	45	
problems	746	1614	159	45	
selling	912	1614	109	45	
their	1026	1614	81	45	
homes	1112	1614	111	45	
when	1230	1614	93	45	
they	1328	1614	73	45	
trans	1406	1614	101	45	
ferred	153	1667	102	41	
to	262	1667	31	41	
other	303	1667	89	41	
bases	399	1667	92	41	
.	494	1667	3	41	
LaVerne	506	1667	143	41	
Foster	658	1667	107	41	
stated	774	1667	96	41	
,	875	1667	9	41	
“	892	1667	5	41	
We	899	1667	63	41	
couldn't	971	1667	136	41	
sell	1115	1667	54	41	
our	1179	1667	55	41	
house	1242	1667	98	41	
when	1348	1667	94	41	
we	1448	1667	47	41	
left	152	1716	57	44	
...	215	1716	24	44	
We	248	1716	55	44	
had	313	1716	61	44	
started	384	1716	117	44	
buying	510	1716	116	44	
one	635	1716	58	44	
...	704	1716	21	44	
and	737	1716	60	44	
there	806	1716	87	44	
wasn't	902	1716	111	44	
any	1022	1716	60	44	
point	1090	1716	88	44	
in	1188	1716	32	44	
putting	1229	1716	123	44	
it	1361	1716	22	44	
on	1393	1716	41	44	
the	1442	1716	53	44	
market	154	1764	121	43	
...	284	1764	23	43	
we	316	1764	49	43	
ended	374	1764	103	43	
